[GPU 2] Starting: V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 0/60000 | loss 4.8602 | lr 9.90e-06 | 10s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 500/60000 | loss 0.3238 | lr 1.00e-03 | 75s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 1000/60000 | loss 0.0613 | lr 9.99e-04 | 142s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 1500/60000 | loss 0.0326 | lr 9.99e-04 | 203s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 2000/60000 | loss 0.0198 | lr 9.98e-04 | 265s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 2500/60000 | loss 0.0120 | lr 9.96e-04 | 327s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 3000/60000 | loss 0.0053 | lr 9.94e-04 | 389s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 3500/60000 | loss 0.0020 | lr 9.92e-04 | 451s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 4000/60000 | loss 0.0009 | lr 9.90e-04 | 514s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 4500/60000 | loss 0.0007 | lr 9.87e-04 | 581s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr5000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 5000/60000 | loss 0.0006 | lr 9.84e-04 | 648s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 5500/60000 | loss 0.0004 | lr 9.80e-04 | 710s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 6000/60000 | loss 0.0007 | lr 9.76e-04 | 772s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 6500/60000 | loss 0.0001 | lr 9.72e-04 | 838s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 7000/60000 | loss 0.0003 | lr 9.68e-04 | 906s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 7500/60000 | loss 0.0003 | lr 9.63e-04 | 974s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 8000/60000 | loss 0.0003 | lr 9.58e-04 | 1038s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 8500/60000 | loss 0.0005 | lr 9.52e-04 | 1099s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 9000/60000 | loss 0.0001 | lr 9.47e-04 | 1161s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 9500/60000 | loss 0.0004 | lr 9.41e-04 | 1223s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr10000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 10000/60000 | loss 0.0001 | lr 9.34e-04 | 1285s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 10500/60000 | loss 0.0002 | lr 9.28e-04 | 1348s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 11000/60000 | loss 0.0001 | lr 9.21e-04 | 1409s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 11500/60000 | loss 0.0001 | lr 9.13e-04 | 1472s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 12000/60000 | loss 0.0001 | lr 9.06e-04 | 1537s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 12500/60000 | loss 0.0003 | lr 8.98e-04 | 1603s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 13000/60000 | loss 0.0000 | lr 8.90e-04 | 1668s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 13500/60000 | loss 0.0001 | lr 8.82e-04 | 1734s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 14000/60000 | loss 0.0000 | lr 8.73e-04 | 1799s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 14500/60000 | loss 0.0000 | lr 8.64e-04 | 1864s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr15000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 15000/60000 | loss 0.0000 | lr 8.55e-04 | 1929s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 15500/60000 | loss 0.0001 | lr 8.46e-04 | 1991s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 16000/60000 | loss 0.0003 | lr 8.36e-04 | 2054s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 16500/60000 | loss 0.0001 | lr 8.26e-04 | 2116s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 17000/60000 | loss 0.0000 | lr 8.16e-04 | 2178s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 17500/60000 | loss 0.0003 | lr 8.06e-04 | 2241s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 18000/60000 | loss 0.0000 | lr 7.96e-04 | 2308s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 18500/60000 | loss 0.0000 | lr 7.85e-04 | 2375s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 19000/60000 | loss 0.0001 | lr 7.74e-04 | 2443s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 19500/60000 | loss 0.0001 | lr 7.63e-04 | 2506s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr20000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 20000/60000 | loss 0.0000 | lr 7.52e-04 | 2568s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 20500/60000 | loss 0.0001 | lr 7.40e-04 | 2632s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 21000/60000 | loss 0.0000 | lr 7.29e-04 | 2694s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 21500/60000 | loss 0.0001 | lr 7.17e-04 | 2755s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 22000/60000 | loss 0.0000 | lr 7.05e-04 | 2819s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 22500/60000 | loss 0.0000 | lr 6.93e-04 | 2886s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 23000/60000 | loss 0.0001 | lr 6.81e-04 | 2950s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 23500/60000 | loss 0.0001 | lr 6.69e-04 | 3012s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 24000/60000 | loss 0.0000 | lr 6.56e-04 | 3074s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 24500/60000 | loss 0.0001 | lr 6.44e-04 | 3136s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr25000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 25000/60000 | loss 0.0000 | lr 6.31e-04 | 3199s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 25500/60000 | loss 0.0000 | lr 6.19e-04 | 3265s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 26000/60000 | loss 0.0000 | lr 6.06e-04 | 3327s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 26500/60000 | loss 0.0000 | lr 5.93e-04 | 3392s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 27000/60000 | loss 0.0000 | lr 5.80e-04 | 3457s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 27500/60000 | loss 0.0000 | lr 5.67e-04 | 3523s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 28000/60000 | loss 0.0001 | lr 5.54e-04 | 3588s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 28500/60000 | loss 0.0000 | lr 5.41e-04 | 3651s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 29000/60000 | loss 0.0000 | lr 5.28e-04 | 3712s
