training:  19%|█▉        | 7740/40000 [01:17<05:20, 100.73it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861010 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.35s)
itr: 250 lr: 6.259e-05 train loss: 4.847160 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.50s)
itr: 500 lr: 1.000e-04 train loss: 4.675966 train token_acc: 0.0141 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 750 lr: 9.998e-05 train loss: 4.015581 train token_acc: 0.0310 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1000 lr: 9.994e-05 train loss: 3.284702 train token_acc: 0.0666 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1250 lr: 9.989e-05 train loss: 3.196277 train token_acc: 0.0753 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1500 lr: 9.981e-05 train loss: 3.139052 train token_acc: 0.0793 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1750 lr: 9.972e-05 train loss: 3.096483 train token_acc: 0.0790 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2000 lr: 9.960e-05 train loss: 3.063905 train token_acc: 0.0831 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2250 lr: 9.947e-05 train loss: 3.009483 train token_acc: 0.0905 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2500 lr: 9.931e-05 train loss: 2.967562 train token_acc: 0.0982 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2750 lr: 9.914e-05 train loss: 2.915705 train token_acc: 0.1062 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3000 lr: 9.895e-05 train loss: 2.855730 train token_acc: 0.1161 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3250 lr: 9.874e-05 train loss: 2.814641 train token_acc: 0.1220 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3500 lr: 9.851e-05 train loss: 2.764137 train token_acc: 0.1295 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3750 lr: 9.826e-05 train loss: 2.731342 train token_acc: 0.1335 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4000 lr: 9.799e-05 train loss: 2.692645 train token_acc: 0.1407 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4250 lr: 9.771e-05 train loss: 2.653634 train token_acc: 0.1437 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4500 lr: 9.740e-05 train loss: 2.626145 train token_acc: 0.1575 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4750 lr: 9.708e-05 train loss: 2.586263 train token_acc: 0.1584 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5000 lr: 9.674e-05 train loss: 2.554743 train token_acc: 0.1649 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5250 lr: 9.638e-05 train loss: 2.520093 train token_acc: 0.1718 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5500 lr: 9.600e-05 train loss: 2.500926 train token_acc: 0.1727 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5750 lr: 9.561e-05 train loss: 2.486466 train token_acc: 0.1809 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6000 lr: 9.519e-05 train loss: 2.501846 train token_acc: 0.1853 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6250 lr: 9.476e-05 train loss: 2.453394 train token_acc: 0.1884 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6500 lr: 9.432e-05 train loss: 2.437955 train token_acc: 0.1911 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6750 lr: 9.385e-05 train loss: 2.436269 train token_acc: 0.1844 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 7000 lr: 9.337e-05 train loss: 2.402755 train token_acc: 0.1903 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 7250 lr: 9.287e-05 train loss: 2.383922 train token_acc: 0.1947 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 7500 lr: 9.235e-05 train loss: 2.415421 train token_acc: 0.2065 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
