training:  19%|█▉        | 7740/40000 [01:17<05:20, 100.53it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861635 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.67s)
itr: 250 lr: 6.259e-05 train loss: 4.847754 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.53s)
itr: 500 lr: 1.000e-04 train loss: 4.655300 train token_acc: 0.0125 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 750 lr: 9.998e-05 train loss: 3.948992 train token_acc: 0.0265 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 1000 lr: 9.994e-05 train loss: 3.301524 train token_acc: 0.0612 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 1250 lr: 9.989e-05 train loss: 3.233258 train token_acc: 0.0721 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 1500 lr: 9.981e-05 train loss: 3.186714 train token_acc: 0.0778 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 1750 lr: 9.972e-05 train loss: 3.157599 train token_acc: 0.0792 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2000 lr: 9.960e-05 train loss: 3.117619 train token_acc: 0.0828 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2250 lr: 9.947e-05 train loss: 3.084689 train token_acc: 0.0885 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2500 lr: 9.931e-05 train loss: 3.045357 train token_acc: 0.0887 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2750 lr: 9.914e-05 train loss: 3.001941 train token_acc: 0.0972 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 3000 lr: 9.895e-05 train loss: 2.946993 train token_acc: 0.1004 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 3250 lr: 9.874e-05 train loss: 2.905783 train token_acc: 0.1096 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 3500 lr: 9.851e-05 train loss: 2.875000 train token_acc: 0.1145 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 3750 lr: 9.826e-05 train loss: 2.833272 train token_acc: 0.1205 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 4000 lr: 9.799e-05 train loss: 2.822881 train token_acc: 0.1215 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 4250 lr: 9.771e-05 train loss: 2.791415 train token_acc: 0.1332 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 4500 lr: 9.740e-05 train loss: 2.750927 train token_acc: 0.1357 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 4750 lr: 9.708e-05 train loss: 2.722018 train token_acc: 0.1420 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 5000 lr: 9.674e-05 train loss: 2.701778 train token_acc: 0.1492 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 5250 lr: 9.638e-05 train loss: 2.676195 train token_acc: 0.1502 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 5500 lr: 9.600e-05 train loss: 2.653265 train token_acc: 0.1588 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 5750 lr: 9.561e-05 train loss: 2.671930 train token_acc: 0.1525 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6000 lr: 9.519e-05 train loss: 2.617181 train token_acc: 0.1618 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6250 lr: 9.476e-05 train loss: 2.591848 train token_acc: 0.1673 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6500 lr: 9.432e-05 train loss: 2.565311 train token_acc: 0.1769 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6750 lr: 9.385e-05 train loss: 2.547769 train token_acc: 0.1837 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 7000 lr: 9.337e-05 train loss: 2.528070 train token_acc: 0.1798 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 7250 lr: 9.287e-05 train loss: 2.504130 train token_acc: 0.1871 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 7500 lr: 9.235e-05 train loss: 2.485532 train token_acc: 0.1842 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 7750 lr: 9.182e-05 train loss: 2.465042 train token_acc: 0.1926 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 8000 lr: 9.127e-05 train loss: 2.446868 train token_acc: 0.1935 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 8250 lr: 9.071e-05 train loss: 2.437996 train token_acc: 0.1927 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 8500 lr: 9.013e-05 train loss: 2.400922 train token_acc: 0.2045 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 8750 lr: 8.953e-05 train loss: 2.394638 train token_acc: 0.1990 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 9000 lr: 8.892e-05 train loss: 2.375103 train token_acc: 0.2040 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 9250 lr: 8.829e-05 train loss: 2.335202 train token_acc: 0.2202 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 9500 lr: 8.765e-05 train loss: 2.315339 train token_acc: 0.2236 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 9750 lr: 8.700e-05 train loss: 2.307977 train token_acc: 0.2353 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 10000 lr: 8.632e-05 train loss: 2.275048 train token_acc: 0.2307 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 10250 lr: 8.564e-05 train loss: 2.259964 train token_acc: 0.2391 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 10500 lr: 8.494e-05 train loss: 2.236638 train token_acc: 0.2366 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 10750 lr: 8.423e-05 train loss: 2.230709 train token_acc: 0.2506 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 11000 lr: 8.351e-05 train loss: 2.222093 train token_acc: 0.2380 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 11250 lr: 8.277e-05 train loss: 2.209679 train token_acc: 0.2635 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 11500 lr: 8.202e-05 train loss: 2.181524 train token_acc: 0.2536 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 11750 lr: 8.125e-05 train loss: 2.171300 train token_acc: 0.2654 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 12000 lr: 8.048e-05 train loss: 2.147150 train token_acc: 0.2633 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 12250 lr: 7.969e-05 train loss: 2.126433 train token_acc: 0.2749 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 12500 lr: 7.889e-05 train loss: 2.120392 train token_acc: 0.2794 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 12750 lr: 7.808e-05 train loss: 2.114526 train token_acc: 0.2685 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 13000 lr: 7.726e-05 train loss: 2.096205 train token_acc: 0.2749 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 13250 lr: 7.643e-05 train loss: 2.080808 train token_acc: 0.2821 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 13500 lr: 7.559e-05 train loss: 2.078677 train token_acc: 0.2834 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 13750 lr: 7.474e-05 train loss: 2.062458 train token_acc: 0.2826 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 14000 lr: 7.388e-05 train loss: 2.044369 train token_acc: 0.2963 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 14250 lr: 7.301e-05 train loss: 2.072885 train token_acc: 0.2774 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 14500 lr: 7.213e-05 train loss: 2.034103 train token_acc: 0.3073 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 14750 lr: 7.124e-05 train loss: 2.012871 train token_acc: 0.2957 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 15000 lr: 7.035e-05 train loss: 2.012377 train token_acc: 0.3093 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 15250 lr: 6.944e-05 train loss: 1.988314 train token_acc: 0.3077 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 15500 lr: 6.853e-05 train loss: 1.981595 train token_acc: 0.3105 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 15750 lr: 6.761e-05 train loss: 2.027776 train token_acc: 0.2947 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 16000 lr: 6.669e-05 train loss: 1.955186 train token_acc: 0.3160 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
