training:  19%|█▉        | 7740/40000 [01:17<05:20, 100.76it/s]
itr: 0 lr: 2.494e-07 train loss: 4.862144 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 4.847577 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.50s)
itr: 500 lr: 1.000e-04 train loss: 4.683590 train token_acc: 0.0162 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 750 lr: 9.998e-05 train loss: 3.946010 train token_acc: 0.0248 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1000 lr: 9.994e-05 train loss: 3.296537 train token_acc: 0.0642 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1250 lr: 9.989e-05 train loss: 3.194161 train token_acc: 0.0739 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1500 lr: 9.981e-05 train loss: 3.136456 train token_acc: 0.0791 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1750 lr: 9.972e-05 train loss: 3.082787 train token_acc: 0.0842 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2000 lr: 9.960e-05 train loss: 3.026398 train token_acc: 0.0891 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2250 lr: 9.947e-05 train loss: 2.973480 train token_acc: 0.0992 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2500 lr: 9.931e-05 train loss: 2.920494 train token_acc: 0.1064 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2750 lr: 9.914e-05 train loss: 2.883928 train token_acc: 0.1136 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3000 lr: 9.895e-05 train loss: 2.837786 train token_acc: 0.1216 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3250 lr: 9.874e-05 train loss: 2.771737 train token_acc: 0.1302 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3500 lr: 9.851e-05 train loss: 2.723381 train token_acc: 0.1410 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3750 lr: 9.826e-05 train loss: 2.680366 train token_acc: 0.1522 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4000 lr: 9.799e-05 train loss: 2.646656 train token_acc: 0.1582 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4250 lr: 9.771e-05 train loss: 2.623509 train token_acc: 0.1604 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4500 lr: 9.740e-05 train loss: 2.581259 train token_acc: 0.1691 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4750 lr: 9.708e-05 train loss: 2.563735 train token_acc: 0.1744 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5000 lr: 9.674e-05 train loss: 2.542358 train token_acc: 0.1836 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5250 lr: 9.638e-05 train loss: 2.504244 train token_acc: 0.1879 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5500 lr: 9.600e-05 train loss: 2.479677 train token_acc: 0.1957 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5750 lr: 9.561e-05 train loss: 2.467791 train token_acc: 0.1963 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6000 lr: 9.519e-05 train loss: 2.448164 train token_acc: 0.2066 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6250 lr: 9.476e-05 train loss: 2.440442 train token_acc: 0.2020 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6500 lr: 9.432e-05 train loss: 2.409093 train token_acc: 0.2146 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
