training:  19%|█▉        | 7747/40000 [01:49<07:33, 71.06it/s]
itr: 0 lr: 2.494e-07 train loss: 4.873957 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.619905 train token_acc: 0.0079 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.55s)
itr: 500 lr: 1.000e-04 train loss: 2.998232 train token_acc: 0.1144 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.52s)
itr: 750 lr: 9.998e-05 train loss: 2.253188 train token_acc: 0.3340 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.52s)
itr: 1000 lr: 9.994e-05 train loss: 1.343457 train token_acc: 0.6150 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=3.52s)
itr: 1250 lr: 9.989e-05 train loss: 0.844990 train token_acc: 0.7606 train exact_match_acc: 0.0161 (K~16.00, min=16, max=16, dt=3.52s)
itr: 1500 lr: 9.981e-05 train loss: 0.612229 train token_acc: 0.8260 train exact_match_acc: 0.0520 (K~16.00, min=16, max=16, dt=3.52s)
itr: 1750 lr: 9.972e-05 train loss: 0.470629 train token_acc: 0.8681 train exact_match_acc: 0.1218 (K~16.00, min=16, max=16, dt=3.52s)
itr: 2000 lr: 9.960e-05 train loss: 0.361783 train token_acc: 0.9007 train exact_match_acc: 0.2136 (K~16.00, min=16, max=16, dt=3.52s)
itr: 2250 lr: 9.947e-05 train loss: 0.295938 train token_acc: 0.9190 train exact_match_acc: 0.2917 (K~16.00, min=16, max=16, dt=3.52s)
itr: 2500 lr: 9.931e-05 train loss: 0.246774 train token_acc: 0.9343 train exact_match_acc: 0.3618 (K~16.00, min=16, max=16, dt=3.52s)
itr: 2750 lr: 9.914e-05 train loss: 0.207092 train token_acc: 0.9462 train exact_match_acc: 0.4319 (K~16.00, min=16, max=16, dt=3.52s)
itr: 3000 lr: 9.895e-05 train loss: 0.168506 train token_acc: 0.9564 train exact_match_acc: 0.5168 (K~16.00, min=16, max=16, dt=3.52s)
itr: 3250 lr: 9.874e-05 train loss: 0.149415 train token_acc: 0.9601 train exact_match_acc: 0.5461 (K~16.00, min=16, max=16, dt=3.52s)
itr: 3500 lr: 9.851e-05 train loss: 0.131962 train token_acc: 0.9663 train exact_match_acc: 0.5984 (K~16.00, min=16, max=16, dt=3.52s)
itr: 3750 lr: 9.826e-05 train loss: 0.116906 train token_acc: 0.9697 train exact_match_acc: 0.6279 (K~16.00, min=16, max=16, dt=3.52s)
itr: 4000 lr: 9.799e-05 train loss: 0.102455 train token_acc: 0.9748 train exact_match_acc: 0.6790 (K~16.00, min=16, max=16, dt=3.52s)
itr: 4250 lr: 9.771e-05 train loss: 0.085120 train token_acc: 0.9785 train exact_match_acc: 0.7141 (K~16.00, min=16, max=16, dt=3.52s)
itr: 4500 lr: 9.740e-05 train loss: 0.087748 train token_acc: 0.9783 train exact_match_acc: 0.7190 (K~16.00, min=16, max=16, dt=3.52s)
itr: 4750 lr: 9.708e-05 train loss: 0.069493 train token_acc: 0.9837 train exact_match_acc: 0.7778 (K~16.00, min=16, max=16, dt=3.52s)
itr: 5000 lr: 9.674e-05 train loss: 0.079455 train token_acc: 0.9803 train exact_match_acc: 0.7385 (K~16.00, min=16, max=16, dt=3.52s)
itr: 5250 lr: 9.638e-05 train loss: 0.057308 train token_acc: 0.9864 train exact_match_acc: 0.8066 (K~16.00, min=16, max=16, dt=3.52s)
itr: 5500 lr: 9.600e-05 train loss: 0.050676 train token_acc: 0.9881 train exact_match_acc: 0.8318 (K~16.00, min=16, max=16, dt=3.52s)
itr: 5750 lr: 9.561e-05 train loss: 0.050411 train token_acc: 0.9885 train exact_match_acc: 0.8374 (K~16.00, min=16, max=16, dt=3.52s)
itr: 6000 lr: 9.519e-05 train loss: 0.051684 train token_acc: 0.9884 train exact_match_acc: 0.8330 (K~16.00, min=16, max=16, dt=3.52s)
itr: 6250 lr: 9.476e-05 train loss: 0.039949 train token_acc: 0.9912 train exact_match_acc: 0.8706 (K~16.00, min=16, max=16, dt=3.52s)
itr: 6500 lr: 9.432e-05 train loss: 0.042054 train token_acc: 0.9908 train exact_match_acc: 0.8660 (K~16.00, min=16, max=16, dt=3.52s)
itr: 6750 lr: 9.385e-05 train loss: 0.031455 train token_acc: 0.9926 train exact_match_acc: 0.8906 (K~16.00, min=16, max=16, dt=3.52s)
itr: 7000 lr: 9.337e-05 train loss: 0.035111 train token_acc: 0.9914 train exact_match_acc: 0.8748 (K~16.00, min=16, max=16, dt=3.52s)
itr: 7250 lr: 9.287e-05 train loss: 0.065604 train token_acc: 0.9845 train exact_match_acc: 0.7749 (K~16.00, min=16, max=16, dt=3.52s)
itr: 7500 lr: 9.235e-05 train loss: 0.029627 train token_acc: 0.9940 train exact_match_acc: 0.9114 (K~16.00, min=16, max=16, dt=3.52s)
itr: 7750 lr: 9.182e-05 train loss: 0.027147 train token_acc: 0.9945 train exact_match_acc: 0.9163 (K~16.00, min=16, max=16, dt=3.52s)
itr: 8000 lr: 9.127e-05 train loss: 0.024458 train token_acc: 0.9947 train exact_match_acc: 0.9204 (K~16.00, min=16, max=16, dt=3.52s)
itr: 8250 lr: 9.071e-05 train loss: 0.021025 train token_acc: 0.9954 train exact_match_acc: 0.9302 (K~16.00, min=16, max=16, dt=3.52s)
itr: 8500 lr: 9.013e-05 train loss: 0.020191 train token_acc: 0.9955 train exact_match_acc: 0.9319 (K~16.00, min=16, max=16, dt=3.52s)
itr: 8750 lr: 8.953e-05 train loss: 0.018648 train token_acc: 0.9959 train exact_match_acc: 0.9395 (K~16.00, min=16, max=16, dt=3.52s)
itr: 9000 lr: 8.892e-05 train loss: 0.030636 train token_acc: 0.9926 train exact_match_acc: 0.8896 (K~16.00, min=16, max=16, dt=3.52s)
itr: 9250 lr: 8.829e-05 train loss: 0.018369 train token_acc: 0.9959 train exact_match_acc: 0.9382 (K~16.00, min=16, max=16, dt=3.52s)
itr: 9500 lr: 8.765e-05 train loss: 0.014656 train token_acc: 0.9968 train exact_match_acc: 0.9512 (K~16.00, min=16, max=16, dt=3.52s)
itr: 9750 lr: 8.700e-05 train loss: 0.015959 train token_acc: 0.9968 train exact_match_acc: 0.9514 (K~16.00, min=16, max=16, dt=3.52s)
itr: 10000 lr: 8.632e-05 train loss: 0.017140 train token_acc: 0.9962 train exact_match_acc: 0.9429 (K~16.00, min=16, max=16, dt=3.52s)
itr: 10250 lr: 8.564e-05 train loss: 0.011415 train token_acc: 0.9976 train exact_match_acc: 0.9624 (K~16.00, min=16, max=16, dt=3.52s)
itr: 10500 lr: 8.494e-05 train loss: 0.017925 train token_acc: 0.9965 train exact_match_acc: 0.9451 (K~16.00, min=16, max=16, dt=3.52s)
itr: 10750 lr: 8.423e-05 train loss: 0.011171 train token_acc: 0.9978 train exact_match_acc: 0.9648 (K~16.00, min=16, max=16, dt=3.52s)
itr: 11000 lr: 8.351e-05 train loss: 0.010347 train token_acc: 0.9977 train exact_match_acc: 0.9644 (K~16.00, min=16, max=16, dt=3.52s)
itr: 11250 lr: 8.277e-05 train loss: 0.010714 train token_acc: 0.9980 train exact_match_acc: 0.9692 (K~16.00, min=16, max=16, dt=3.52s)
itr: 11500 lr: 8.202e-05 train loss: 0.018478 train token_acc: 0.9958 train exact_match_acc: 0.9343 (K~16.00, min=16, max=16, dt=3.52s)
itr: 11750 lr: 8.125e-05 train loss: 0.009629 train token_acc: 0.9978 train exact_match_acc: 0.9658 (K~16.00, min=16, max=16, dt=3.52s)
itr: 12000 lr: 8.048e-05 train loss: 0.023562 train token_acc: 0.9948 train exact_match_acc: 0.9197 (K~16.00, min=16, max=16, dt=3.52s)
itr: 12250 lr: 7.969e-05 train loss: 0.008819 train token_acc: 0.9986 train exact_match_acc: 0.9773 (K~16.00, min=16, max=16, dt=3.52s)
itr: 12500 lr: 7.889e-05 train loss: 0.008880 train token_acc: 0.9983 train exact_match_acc: 0.9736 (K~16.00, min=16, max=16, dt=3.52s)
itr: 12750 lr: 7.808e-05 train loss: 0.007218 train token_acc: 0.9986 train exact_match_acc: 0.9771 (K~16.00, min=16, max=16, dt=3.52s)
itr: 13000 lr: 7.726e-05 train loss: 0.007879 train token_acc: 0.9986 train exact_match_acc: 0.9778 (K~16.00, min=16, max=16, dt=3.52s)
itr: 13250 lr: 7.643e-05 train loss: 0.011277 train token_acc: 0.9973 train exact_match_acc: 0.9573 (K~16.00, min=16, max=16, dt=3.52s)
itr: 13500 lr: 7.559e-05 train loss: 0.007661 train token_acc: 0.9985 train exact_match_acc: 0.9766 (K~16.00, min=16, max=16, dt=3.52s)
itr: 13750 lr: 7.474e-05 train loss: 0.007030 train token_acc: 0.9986 train exact_match_acc: 0.9775 (K~16.00, min=16, max=16, dt=3.52s)
itr: 14000 lr: 7.388e-05 train loss: 0.005852 train token_acc: 0.9990 train exact_match_acc: 0.9836 (K~16.00, min=16, max=16, dt=3.52s)
itr: 14250 lr: 7.301e-05 train loss: 0.022158 train token_acc: 0.9953 train exact_match_acc: 0.9268 (K~16.00, min=16, max=16, dt=3.52s)
itr: 14500 lr: 7.213e-05 train loss: 0.006217 train token_acc: 0.9989 train exact_match_acc: 0.9834 (K~16.00, min=16, max=16, dt=3.52s)
itr: 14750 lr: 7.124e-05 train loss: 0.006209 train token_acc: 0.9987 train exact_match_acc: 0.9805 (K~16.00, min=16, max=16, dt=3.52s)
itr: 15000 lr: 7.035e-05 train loss: 0.009639 train token_acc: 0.9978 train exact_match_acc: 0.9658 (K~16.00, min=16, max=16, dt=3.52s)
itr: 15250 lr: 6.944e-05 train loss: 0.005353 train token_acc: 0.9987 train exact_match_acc: 0.9785 (K~16.00, min=16, max=16, dt=3.52s)
itr: 15500 lr: 6.853e-05 train loss: 0.005531 train token_acc: 0.9989 train exact_match_acc: 0.9829 (K~16.00, min=16, max=16, dt=3.52s)
itr: 15750 lr: 6.761e-05 train loss: 0.004204 train token_acc: 0.9992 train exact_match_acc: 0.9878 (K~16.00, min=16, max=16, dt=3.52s)
itr: 16000 lr: 6.669e-05 train loss: 0.003720 train token_acc: 0.9993 train exact_match_acc: 0.9893 (K~16.00, min=16, max=16, dt=3.52s)
itr: 16250 lr: 6.576e-05 train loss: 0.004823 train token_acc: 0.9991 train exact_match_acc: 0.9861 (K~16.00, min=16, max=16, dt=3.52s)
itr: 16500 lr: 6.482e-05 train loss: 0.003242 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=3.52s)
itr: 16750 lr: 6.388e-05 train loss: 0.003817 train token_acc: 0.9991 train exact_match_acc: 0.9866 (K~16.00, min=16, max=16, dt=3.52s)
itr: 17000 lr: 6.293e-05 train loss: 0.004208 train token_acc: 0.9991 train exact_match_acc: 0.9863 (K~16.00, min=16, max=16, dt=3.52s)
itr: 17250 lr: 6.198e-05 train loss: 0.003962 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=3.52s)
itr: 17500 lr: 6.102e-05 train loss: 0.003286 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=3.52s)
itr: 17750 lr: 6.006e-05 train loss: 0.002824 train token_acc: 0.9993 train exact_match_acc: 0.9883 (K~16.00, min=16, max=16, dt=3.52s)
itr: 18000 lr: 5.910e-05 train loss: 0.003587 train token_acc: 0.9992 train exact_match_acc: 0.9875 (K~16.00, min=16, max=16, dt=3.52s)
itr: 18250 lr: 5.813e-05 train loss: 0.003408 train token_acc: 0.9992 train exact_match_acc: 0.9875 (K~16.00, min=16, max=16, dt=3.52s)
itr: 18500 lr: 5.716e-05 train loss: 0.002365 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=3.52s)
itr: 18750 lr: 5.618e-05 train loss: 0.003686 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=3.52s)
itr: 19000 lr: 5.521e-05 train loss: 0.002559 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=3.52s)
itr: 19250 lr: 5.423e-05 train loss: 0.003114 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=3.52s)
itr: 19500 lr: 5.325e-05 train loss: 0.002133 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=3.52s)
itr: 19750 lr: 5.227e-05 train loss: 0.002070 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=3.52s)
itr: 20000 lr: 5.129e-05 train loss: 0.002792 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=3.52s)
