training:  19%|█▉        | 7747/40000 [01:49<07:33, 71.07it/s]
itr: 0 lr: 2.494e-07 train loss: 4.874101 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.629375 train token_acc: 0.0073 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.54s)
itr: 500 lr: 1.000e-04 train loss: 3.022513 train token_acc: 0.1120 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.52s)
itr: 750 lr: 9.998e-05 train loss: 2.522910 train token_acc: 0.2581 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.52s)
itr: 1000 lr: 9.994e-05 train loss: 2.066935 train token_acc: 0.3837 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.52s)
itr: 1250 lr: 9.989e-05 train loss: 1.690334 train token_acc: 0.4916 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.52s)
itr: 1500 lr: 9.981e-05 train loss: 1.364282 train token_acc: 0.5887 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=3.52s)
itr: 1750 lr: 9.972e-05 train loss: 1.054340 train token_acc: 0.6800 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=3.52s)
itr: 2000 lr: 9.960e-05 train loss: 0.820783 train token_acc: 0.7520 train exact_match_acc: 0.0103 (K~16.00, min=16, max=16, dt=3.52s)
itr: 2250 lr: 9.947e-05 train loss: 0.705558 train token_acc: 0.7893 train exact_match_acc: 0.0222 (K~16.00, min=16, max=16, dt=3.52s)
itr: 2500 lr: 9.931e-05 train loss: 0.571795 train token_acc: 0.8282 train exact_match_acc: 0.0566 (K~16.00, min=16, max=16, dt=3.52s)
itr: 2750 lr: 9.914e-05 train loss: 0.504324 train token_acc: 0.8508 train exact_match_acc: 0.0933 (K~16.00, min=16, max=16, dt=3.52s)
itr: 3000 lr: 9.895e-05 train loss: 0.440676 train token_acc: 0.8698 train exact_match_acc: 0.1289 (K~16.00, min=16, max=16, dt=3.52s)
itr: 3250 lr: 9.874e-05 train loss: 0.446030 train token_acc: 0.8705 train exact_match_acc: 0.1194 (K~16.00, min=16, max=16, dt=3.52s)
itr: 3500 lr: 9.851e-05 train loss: 0.340632 train token_acc: 0.8991 train exact_match_acc: 0.2124 (K~16.00, min=16, max=16, dt=3.52s)
itr: 3750 lr: 9.826e-05 train loss: 0.299130 train token_acc: 0.9124 train exact_match_acc: 0.2634 (K~16.00, min=16, max=16, dt=3.52s)
itr: 4000 lr: 9.799e-05 train loss: 0.277405 train token_acc: 0.9174 train exact_match_acc: 0.2888 (K~16.00, min=16, max=16, dt=3.52s)
itr: 4250 lr: 9.771e-05 train loss: 0.252650 train token_acc: 0.9260 train exact_match_acc: 0.3062 (K~16.00, min=16, max=16, dt=3.52s)
itr: 4500 lr: 9.740e-05 train loss: 0.221267 train token_acc: 0.9358 train exact_match_acc: 0.3821 (K~16.00, min=16, max=16, dt=3.52s)
itr: 4750 lr: 9.708e-05 train loss: 0.243722 train token_acc: 0.9314 train exact_match_acc: 0.3594 (K~16.00, min=16, max=16, dt=3.52s)
itr: 5000 lr: 9.674e-05 train loss: 0.195795 train token_acc: 0.9436 train exact_match_acc: 0.4336 (K~16.00, min=16, max=16, dt=3.52s)
itr: 5250 lr: 9.638e-05 train loss: 0.173240 train token_acc: 0.9514 train exact_match_acc: 0.4988 (K~16.00, min=16, max=16, dt=3.52s)
itr: 5500 lr: 9.600e-05 train loss: 0.144438 train token_acc: 0.9594 train exact_match_acc: 0.5420 (K~16.00, min=16, max=16, dt=3.52s)
itr: 5750 lr: 9.561e-05 train loss: 0.130906 train token_acc: 0.9637 train exact_match_acc: 0.5771 (K~16.00, min=16, max=16, dt=3.52s)
itr: 6000 lr: 9.519e-05 train loss: 0.150385 train token_acc: 0.9572 train exact_match_acc: 0.5259 (K~16.00, min=16, max=16, dt=3.52s)
itr: 6250 lr: 9.476e-05 train loss: 0.118640 train token_acc: 0.9688 train exact_match_acc: 0.6357 (K~16.00, min=16, max=16, dt=3.52s)
itr: 6500 lr: 9.432e-05 train loss: 0.108441 train token_acc: 0.9701 train exact_match_acc: 0.6431 (K~16.00, min=16, max=16, dt=3.52s)
itr: 6750 lr: 9.385e-05 train loss: 0.103342 train token_acc: 0.9711 train exact_match_acc: 0.6511 (K~16.00, min=16, max=16, dt=3.52s)
itr: 7000 lr: 9.337e-05 train loss: 0.138018 train token_acc: 0.9626 train exact_match_acc: 0.5789 (K~16.00, min=16, max=16, dt=3.52s)
itr: 7250 lr: 9.287e-05 train loss: 0.088392 train token_acc: 0.9775 train exact_match_acc: 0.7175 (K~16.00, min=16, max=16, dt=3.52s)
itr: 7500 lr: 9.235e-05 train loss: 0.077922 train token_acc: 0.9796 train exact_match_acc: 0.7358 (K~16.00, min=16, max=16, dt=3.52s)
itr: 7750 lr: 9.182e-05 train loss: 0.099940 train token_acc: 0.9723 train exact_match_acc: 0.6721 (K~16.00, min=16, max=16, dt=3.52s)
