training:  19%|█▉        | 7740/40000 [01:17<05:20, 100.56it/s]
itr: 0 lr: 2.494e-07 train loss: 4.878869 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 4.829766 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.52s)
itr: 500 lr: 1.000e-04 train loss: 4.536601 train token_acc: 0.0070 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 750 lr: 9.998e-05 train loss: 3.669226 train token_acc: 0.0541 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 1000 lr: 9.994e-05 train loss: 3.084651 train token_acc: 0.1369 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 1250 lr: 9.989e-05 train loss: 2.589037 train token_acc: 0.2341 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 1500 lr: 9.981e-05 train loss: 2.292736 train token_acc: 0.3083 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 1750 lr: 9.972e-05 train loss: 2.083651 train token_acc: 0.3634 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2000 lr: 9.960e-05 train loss: 1.917949 train token_acc: 0.4073 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2250 lr: 9.947e-05 train loss: 1.767847 train token_acc: 0.4498 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2500 lr: 9.931e-05 train loss: 1.629657 train token_acc: 0.4872 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 2750 lr: 9.914e-05 train loss: 1.532521 train token_acc: 0.5172 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 3000 lr: 9.895e-05 train loss: 1.438320 train token_acc: 0.5417 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 3250 lr: 9.874e-05 train loss: 1.334571 train token_acc: 0.5713 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 3500 lr: 9.851e-05 train loss: 1.275295 train token_acc: 0.5931 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.49s)
itr: 3750 lr: 9.826e-05 train loss: 1.214405 train token_acc: 0.6098 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.49s)
itr: 4000 lr: 9.799e-05 train loss: 1.164535 train token_acc: 0.6221 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.49s)
itr: 4250 lr: 9.771e-05 train loss: 1.100441 train token_acc: 0.6436 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=2.49s)
itr: 4500 lr: 9.740e-05 train loss: 1.073806 train token_acc: 0.6525 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=2.49s)
itr: 4750 lr: 9.708e-05 train loss: 1.029796 train token_acc: 0.6651 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.49s)
itr: 5000 lr: 9.674e-05 train loss: 1.005372 train token_acc: 0.6721 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.49s)
itr: 5250 lr: 9.638e-05 train loss: 0.973742 train token_acc: 0.6867 train exact_match_acc: 0.0029 (K~16.00, min=16, max=16, dt=2.49s)
itr: 5500 lr: 9.600e-05 train loss: 0.932941 train token_acc: 0.6954 train exact_match_acc: 0.0029 (K~16.00, min=16, max=16, dt=2.49s)
itr: 5750 lr: 9.561e-05 train loss: 0.908376 train token_acc: 0.7000 train exact_match_acc: 0.0029 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6000 lr: 9.519e-05 train loss: 0.886583 train token_acc: 0.7097 train exact_match_acc: 0.0049 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6250 lr: 9.476e-05 train loss: 0.866394 train token_acc: 0.7177 train exact_match_acc: 0.0063 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6500 lr: 9.432e-05 train loss: 0.839490 train token_acc: 0.7217 train exact_match_acc: 0.0076 (K~16.00, min=16, max=16, dt=2.49s)
itr: 6750 lr: 9.385e-05 train loss: 0.846754 train token_acc: 0.7246 train exact_match_acc: 0.0063 (K~16.00, min=16, max=16, dt=2.49s)
itr: 7000 lr: 9.337e-05 train loss: 0.835288 train token_acc: 0.7321 train exact_match_acc: 0.0115 (K~16.00, min=16, max=16, dt=2.49s)
itr: 7250 lr: 9.287e-05 train loss: 0.799651 train token_acc: 0.7393 train exact_match_acc: 0.0083 (K~16.00, min=16, max=16, dt=2.49s)
itr: 7500 lr: 9.235e-05 train loss: 0.775319 train token_acc: 0.7444 train exact_match_acc: 0.0120 (K~16.00, min=16, max=16, dt=2.49s)
