training:  19%|█▉        | 7742/40000 [01:17<05:19, 101.05it/s]
itr: 0 lr: 2.494e-07 train loss: 4.952600 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.57s)
itr: 250 lr: 6.259e-05 train loss: 4.207652 train token_acc: 0.0180 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.51s)
itr: 500 lr: 1.000e-04 train loss: 2.622580 train token_acc: 0.4685 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 750 lr: 9.998e-05 train loss: 1.179173 train token_acc: 0.7705 train exact_match_acc: 0.0220 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1000 lr: 9.994e-05 train loss: 0.450127 train token_acc: 0.9142 train exact_match_acc: 0.2546 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1250 lr: 9.989e-05 train loss: 0.194587 train token_acc: 0.9746 train exact_match_acc: 0.6392 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1500 lr: 9.981e-05 train loss: 0.105704 train token_acc: 0.9876 train exact_match_acc: 0.8098 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1750 lr: 9.972e-05 train loss: 0.063123 train token_acc: 0.9929 train exact_match_acc: 0.8879 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2000 lr: 9.960e-05 train loss: 0.043786 train token_acc: 0.9949 train exact_match_acc: 0.9182 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2250 lr: 9.947e-05 train loss: 0.032550 train token_acc: 0.9960 train exact_match_acc: 0.9370 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2500 lr: 9.931e-05 train loss: 0.026072 train token_acc: 0.9966 train exact_match_acc: 0.9458 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2750 lr: 9.914e-05 train loss: 0.022046 train token_acc: 0.9973 train exact_match_acc: 0.9573 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3000 lr: 9.895e-05 train loss: 0.015948 train token_acc: 0.9980 train exact_match_acc: 0.9690 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3250 lr: 9.874e-05 train loss: 0.014803 train token_acc: 0.9982 train exact_match_acc: 0.9705 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3500 lr: 9.851e-05 train loss: 0.012894 train token_acc: 0.9983 train exact_match_acc: 0.9727 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3750 lr: 9.826e-05 train loss: 0.010690 train token_acc: 0.9984 train exact_match_acc: 0.9741 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4000 lr: 9.799e-05 train loss: 0.010872 train token_acc: 0.9983 train exact_match_acc: 0.9724 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4250 lr: 9.771e-05 train loss: 0.008006 train token_acc: 0.9987 train exact_match_acc: 0.9790 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4500 lr: 9.740e-05 train loss: 0.008517 train token_acc: 0.9989 train exact_match_acc: 0.9819 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4750 lr: 9.708e-05 train loss: 0.006948 train token_acc: 0.9989 train exact_match_acc: 0.9832 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5000 lr: 9.674e-05 train loss: 0.006685 train token_acc: 0.9991 train exact_match_acc: 0.9849 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5250 lr: 9.638e-05 train loss: 0.006414 train token_acc: 0.9990 train exact_match_acc: 0.9839 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5500 lr: 9.600e-05 train loss: 0.005657 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5750 lr: 9.561e-05 train loss: 0.005755 train token_acc: 0.9991 train exact_match_acc: 0.9851 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6000 lr: 9.519e-05 train loss: 0.006233 train token_acc: 0.9989 train exact_match_acc: 0.9824 (K~16.00, min=16, max=16, dt=2.48s)
