training:  19%|█▉        | 7743/40000 [01:17<05:16, 101.87it/s]
itr: 0 lr: 2.494e-07 train loss: 4.942923 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.88s)
itr: 250 lr: 6.259e-05 train loss: 4.207093 train token_acc: 0.0119 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.50s)
itr: 500 lr: 1.000e-04 train loss: 2.646321 train token_acc: 0.4507 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 750 lr: 9.998e-05 train loss: 1.181807 train token_acc: 0.7727 train exact_match_acc: 0.0227 (K~16.00, min=16, max=16, dt=2.46s)
itr: 1000 lr: 9.994e-05 train loss: 0.453944 train token_acc: 0.9134 train exact_match_acc: 0.2373 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1250 lr: 9.989e-05 train loss: 0.197923 train token_acc: 0.9724 train exact_match_acc: 0.6189 (K~16.00, min=16, max=16, dt=2.46s)
itr: 1500 lr: 9.981e-05 train loss: 0.115318 train token_acc: 0.9852 train exact_match_acc: 0.7759 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1750 lr: 9.972e-05 train loss: 0.072022 train token_acc: 0.9909 train exact_match_acc: 0.8569 (K~16.00, min=16, max=16, dt=2.46s)
itr: 2000 lr: 9.960e-05 train loss: 0.051330 train token_acc: 0.9937 train exact_match_acc: 0.8989 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2250 lr: 9.947e-05 train loss: 0.038883 train token_acc: 0.9948 train exact_match_acc: 0.9172 (K~16.00, min=16, max=16, dt=2.46s)
itr: 2500 lr: 9.931e-05 train loss: 0.028198 train token_acc: 0.9959 train exact_match_acc: 0.9355 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2750 lr: 9.914e-05 train loss: 0.024369 train token_acc: 0.9967 train exact_match_acc: 0.9478 (K~16.00, min=16, max=16, dt=2.46s)
itr: 3000 lr: 9.895e-05 train loss: 0.022298 train token_acc: 0.9968 train exact_match_acc: 0.9482 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3250 lr: 9.874e-05 train loss: 0.018851 train token_acc: 0.9972 train exact_match_acc: 0.9558 (K~16.00, min=16, max=16, dt=2.46s)
itr: 3500 lr: 9.851e-05 train loss: 0.016895 train token_acc: 0.9974 train exact_match_acc: 0.9580 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3750 lr: 9.826e-05 train loss: 0.013140 train token_acc: 0.9977 train exact_match_acc: 0.9636 (K~16.00, min=16, max=16, dt=2.46s)
itr: 4000 lr: 9.799e-05 train loss: 0.012670 train token_acc: 0.9979 train exact_match_acc: 0.9661 (K~16.00, min=16, max=16, dt=2.47s)
