training:  19%|█▉        | 7741/40000 [00:57<03:53, 137.91it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861276 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.43s)
itr: 250 lr: 6.259e-05 train loss: 4.846697 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.86s)
itr: 500 lr: 1.000e-04 train loss: 4.696167 train token_acc: 0.0066 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 750 lr: 9.998e-05 train loss: 4.044899 train token_acc: 0.0244 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1000 lr: 9.994e-05 train loss: 3.634516 train token_acc: 0.0410 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1250 lr: 9.989e-05 train loss: 3.425345 train token_acc: 0.0592 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1500 lr: 9.981e-05 train loss: 3.332766 train token_acc: 0.0673 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1750 lr: 9.972e-05 train loss: 3.227120 train token_acc: 0.0785 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2000 lr: 9.960e-05 train loss: 3.092269 train token_acc: 0.0835 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2250 lr: 9.947e-05 train loss: 3.019074 train token_acc: 0.0914 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2500 lr: 9.931e-05 train loss: 2.947690 train token_acc: 0.1030 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2750 lr: 9.914e-05 train loss: 2.854783 train token_acc: 0.1318 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3000 lr: 9.895e-05 train loss: 2.737609 train token_acc: 0.1679 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3250 lr: 9.874e-05 train loss: 2.622236 train token_acc: 0.2027 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
