training:  19%|█▉        | 7741/40000 [00:56<03:53, 138.02it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861781 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 4.845998 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.85s)
itr: 500 lr: 1.000e-04 train loss: 4.691034 train token_acc: 0.0104 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 750 lr: 9.998e-05 train loss: 4.051523 train token_acc: 0.0212 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 1000 lr: 9.994e-05 train loss: 3.658366 train token_acc: 0.0419 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 1250 lr: 9.989e-05 train loss: 3.439370 train token_acc: 0.0569 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 1500 lr: 9.981e-05 train loss: 3.347371 train token_acc: 0.0660 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 1750 lr: 9.972e-05 train loss: 3.277104 train token_acc: 0.0714 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 2000 lr: 9.960e-05 train loss: 3.190646 train token_acc: 0.0786 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 2250 lr: 9.947e-05 train loss: 3.117467 train token_acc: 0.0858 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 2500 lr: 9.931e-05 train loss: 3.052456 train token_acc: 0.0922 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 2750 lr: 9.914e-05 train loss: 2.988808 train token_acc: 0.1078 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 3000 lr: 9.895e-05 train loss: 2.915545 train token_acc: 0.1198 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3250 lr: 9.874e-05 train loss: 2.842487 train token_acc: 0.1365 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 3500 lr: 9.851e-05 train loss: 2.738550 train token_acc: 0.1572 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 3750 lr: 9.826e-05 train loss: 2.641745 train token_acc: 0.1828 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 4000 lr: 9.799e-05 train loss: 2.562417 train token_acc: 0.2108 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 4250 lr: 9.771e-05 train loss: 2.481169 train token_acc: 0.2394 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 4500 lr: 9.740e-05 train loss: 2.397694 train token_acc: 0.2643 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 4750 lr: 9.708e-05 train loss: 2.320689 train token_acc: 0.2954 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 5000 lr: 9.674e-05 train loss: 2.247509 train token_acc: 0.3234 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 5250 lr: 9.638e-05 train loss: 2.174601 train token_acc: 0.3464 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 5500 lr: 9.600e-05 train loss: 2.109608 train token_acc: 0.3621 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 5750 lr: 9.561e-05 train loss: 2.055228 train token_acc: 0.3820 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 6000 lr: 9.519e-05 train loss: 1.997016 train token_acc: 0.4056 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 6250 lr: 9.476e-05 train loss: 1.933647 train token_acc: 0.4256 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 6500 lr: 9.432e-05 train loss: 1.869779 train token_acc: 0.4430 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 6750 lr: 9.385e-05 train loss: 1.826134 train token_acc: 0.4593 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 7000 lr: 9.337e-05 train loss: 1.770798 train token_acc: 0.4733 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 7250 lr: 9.287e-05 train loss: 1.704595 train token_acc: 0.4877 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 7500 lr: 9.235e-05 train loss: 1.659634 train token_acc: 0.5073 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
