training:  19%|█▉        | 7744/40000 [01:12<05:00, 107.23it/s]
itr: 0 lr: 2.494e-07 train loss: 4.874043 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.764994 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.36s)
itr: 500 lr: 1.000e-04 train loss: 3.785796 train token_acc: 0.0180 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 750 lr: 9.998e-05 train loss: 3.034892 train token_acc: 0.0948 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 1000 lr: 9.994e-05 train loss: 2.666916 train token_acc: 0.2068 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 1250 lr: 9.989e-05 train loss: 2.222929 train token_acc: 0.3362 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 1500 lr: 9.981e-05 train loss: 1.617808 train token_acc: 0.5137 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 1750 lr: 9.972e-05 train loss: 1.101339 train token_acc: 0.6767 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.33s)
itr: 2000 lr: 9.960e-05 train loss: 0.713385 train token_acc: 0.7981 train exact_match_acc: 0.0334 (K~16.00, min=16, max=16, dt=2.33s)
itr: 2250 lr: 9.947e-05 train loss: 0.457055 train token_acc: 0.8819 train exact_match_acc: 0.1741 (K~16.00, min=16, max=16, dt=2.33s)
itr: 2500 lr: 9.931e-05 train loss: 0.294157 train token_acc: 0.9300 train exact_match_acc: 0.3525 (K~16.00, min=16, max=16, dt=2.33s)
itr: 2750 lr: 9.914e-05 train loss: 0.186178 train token_acc: 0.9583 train exact_match_acc: 0.5322 (K~16.00, min=16, max=16, dt=2.33s)
itr: 3000 lr: 9.895e-05 train loss: 0.116880 train token_acc: 0.9747 train exact_match_acc: 0.6787 (K~16.00, min=16, max=16, dt=2.33s)
itr: 3250 lr: 9.874e-05 train loss: 0.083897 train token_acc: 0.9835 train exact_match_acc: 0.7744 (K~16.00, min=16, max=16, dt=2.33s)
itr: 3500 lr: 9.851e-05 train loss: 0.056914 train token_acc: 0.9892 train exact_match_acc: 0.8469 (K~16.00, min=16, max=16, dt=2.33s)
itr: 3750 lr: 9.826e-05 train loss: 0.042421 train token_acc: 0.9928 train exact_match_acc: 0.8923 (K~16.00, min=16, max=16, dt=2.33s)
itr: 4000 lr: 9.799e-05 train loss: 0.033650 train token_acc: 0.9946 train exact_match_acc: 0.9182 (K~16.00, min=16, max=16, dt=2.33s)
itr: 4250 lr: 9.771e-05 train loss: 0.021114 train token_acc: 0.9961 train exact_match_acc: 0.9419 (K~16.00, min=16, max=16, dt=2.33s)
itr: 4500 lr: 9.740e-05 train loss: 0.018592 train token_acc: 0.9969 train exact_match_acc: 0.9517 (K~16.00, min=16, max=16, dt=2.33s)
itr: 4750 lr: 9.708e-05 train loss: 0.012977 train token_acc: 0.9978 train exact_match_acc: 0.9658 (K~16.00, min=16, max=16, dt=2.33s)
itr: 5000 lr: 9.674e-05 train loss: 0.012203 train token_acc: 0.9980 train exact_match_acc: 0.9690 (K~16.00, min=16, max=16, dt=2.33s)
itr: 5250 lr: 9.638e-05 train loss: 0.011001 train token_acc: 0.9986 train exact_match_acc: 0.9773 (K~16.00, min=16, max=16, dt=2.33s)
itr: 5500 lr: 9.600e-05 train loss: 0.010584 train token_acc: 0.9988 train exact_match_acc: 0.9807 (K~16.00, min=16, max=16, dt=2.33s)
itr: 5750 lr: 9.561e-05 train loss: 0.007448 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=2.33s)
itr: 6000 lr: 9.519e-05 train loss: 0.007059 train token_acc: 0.9991 train exact_match_acc: 0.9861 (K~16.00, min=16, max=16, dt=2.33s)
itr: 6250 lr: 9.476e-05 train loss: 0.005735 train token_acc: 0.9991 train exact_match_acc: 0.9858 (K~16.00, min=16, max=16, dt=2.33s)
itr: 6500 lr: 9.432e-05 train loss: 0.005642 train token_acc: 0.9993 train exact_match_acc: 0.9888 (K~16.00, min=16, max=16, dt=2.33s)
itr: 6750 lr: 9.385e-05 train loss: 0.004825 train token_acc: 0.9994 train exact_match_acc: 0.9902 (K~16.00, min=16, max=16, dt=2.33s)
itr: 7000 lr: 9.337e-05 train loss: 0.003817 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=2.33s)
itr: 7250 lr: 9.287e-05 train loss: 0.002998 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=2.33s)
itr: 7500 lr: 9.235e-05 train loss: 0.003017 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=2.33s)
itr: 7750 lr: 9.182e-05 train loss: 0.003631 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=2.33s)
itr: 8000 lr: 9.127e-05 train loss: 0.003329 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=2.33s)
itr: 8250 lr: 9.071e-05 train loss: 0.002853 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=2.33s)
itr: 8500 lr: 9.013e-05 train loss: 0.001918 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=2.33s)
itr: 8750 lr: 8.953e-05 train loss: 0.002245 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=2.33s)
itr: 9000 lr: 8.892e-05 train loss: 0.002323 train token_acc: 0.9996 train exact_match_acc: 0.9941 (K~16.00, min=16, max=16, dt=2.33s)
itr: 9250 lr: 8.829e-05 train loss: 0.001201 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=2.33s)
itr: 9500 lr: 8.765e-05 train loss: 0.001260 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=2.33s)
itr: 9750 lr: 8.700e-05 train loss: 0.001044 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=2.33s)
itr: 10000 lr: 8.632e-05 train loss: 0.001281 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.33s)
itr: 10250 lr: 8.564e-05 train loss: 0.001409 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=2.33s)
itr: 10500 lr: 8.494e-05 train loss: 0.000968 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=2.33s)
