training:  19%|█▉        | 7741/40000 [00:56<03:54, 137.52it/s]
itr: 0 lr: 2.494e-07 train loss: 4.879074 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.54s)
itr: 250 lr: 6.259e-05 train loss: 4.842307 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.86s)
itr: 500 lr: 1.000e-04 train loss: 4.634813 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 750 lr: 9.998e-05 train loss: 3.915644 train token_acc: 0.0126 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1000 lr: 9.994e-05 train loss: 3.495002 train token_acc: 0.0215 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1250 lr: 9.989e-05 train loss: 3.300111 train token_acc: 0.0227 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1500 lr: 9.981e-05 train loss: 3.077375 train token_acc: 0.0778 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1750 lr: 9.972e-05 train loss: 2.767220 train token_acc: 0.1835 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2000 lr: 9.960e-05 train loss: 2.394204 train token_acc: 0.3102 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2250 lr: 9.947e-05 train loss: 2.080371 train token_acc: 0.3944 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2500 lr: 9.931e-05 train loss: 1.806254 train token_acc: 0.4715 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2750 lr: 9.914e-05 train loss: 1.561442 train token_acc: 0.5378 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3000 lr: 9.895e-05 train loss: 1.369959 train token_acc: 0.5924 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3250 lr: 9.874e-05 train loss: 1.221768 train token_acc: 0.6404 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3500 lr: 9.851e-05 train loss: 1.086076 train token_acc: 0.6785 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3750 lr: 9.826e-05 train loss: 0.964503 train token_acc: 0.7155 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 4000 lr: 9.799e-05 train loss: 0.870382 train token_acc: 0.7378 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.82s)
itr: 4250 lr: 9.771e-05 train loss: 0.783503 train token_acc: 0.7618 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 4500 lr: 9.740e-05 train loss: 0.713417 train token_acc: 0.7872 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.82s)
itr: 4750 lr: 9.708e-05 train loss: 0.624468 train token_acc: 0.8110 train exact_match_acc: 0.0017 (K~16.00, min=16, max=16, dt=1.82s)
itr: 5000 lr: 9.674e-05 train loss: 0.574712 train token_acc: 0.8305 train exact_match_acc: 0.0017 (K~16.00, min=16, max=16, dt=1.82s)
itr: 5250 lr: 9.638e-05 train loss: 0.505366 train token_acc: 0.8517 train exact_match_acc: 0.0020 (K~16.00, min=16, max=16, dt=1.82s)
itr: 5500 lr: 9.600e-05 train loss: 0.455501 train token_acc: 0.8716 train exact_match_acc: 0.0059 (K~16.00, min=16, max=16, dt=1.82s)
itr: 5750 lr: 9.561e-05 train loss: 0.399107 train token_acc: 0.8874 train exact_match_acc: 0.0129 (K~16.00, min=16, max=16, dt=1.82s)
itr: 6000 lr: 9.519e-05 train loss: 0.332562 train token_acc: 0.9083 train exact_match_acc: 0.1174 (K~16.00, min=16, max=16, dt=1.82s)
itr: 6250 lr: 9.476e-05 train loss: 0.217281 train token_acc: 0.9416 train exact_match_acc: 0.4006 (K~16.00, min=16, max=16, dt=1.82s)
itr: 6500 lr: 9.432e-05 train loss: 0.131144 train token_acc: 0.9722 train exact_match_acc: 0.6733 (K~16.00, min=16, max=16, dt=1.82s)
itr: 6750 lr: 9.385e-05 train loss: 0.096155 train token_acc: 0.9810 train exact_match_acc: 0.7529 (K~16.00, min=16, max=16, dt=1.82s)
itr: 7000 lr: 9.337e-05 train loss: 0.074409 train token_acc: 0.9850 train exact_match_acc: 0.7949 (K~16.00, min=16, max=16, dt=1.82s)
itr: 7250 lr: 9.287e-05 train loss: 0.063556 train token_acc: 0.9890 train exact_match_acc: 0.8401 (K~16.00, min=16, max=16, dt=1.82s)
itr: 7500 lr: 9.235e-05 train loss: 0.054460 train token_acc: 0.9928 train exact_match_acc: 0.8923 (K~16.00, min=16, max=16, dt=1.82s)
itr: 7750 lr: 9.182e-05 train loss: 0.042838 train token_acc: 0.9947 train exact_match_acc: 0.9175 (K~16.00, min=16, max=16, dt=1.82s)
itr: 8000 lr: 9.127e-05 train loss: 0.038103 train token_acc: 0.9962 train exact_match_acc: 0.9421 (K~16.00, min=16, max=16, dt=1.82s)
itr: 8250 lr: 9.071e-05 train loss: 0.029107 train token_acc: 0.9969 train exact_match_acc: 0.9541 (K~16.00, min=16, max=16, dt=1.82s)
itr: 8500 lr: 9.013e-05 train loss: 0.027503 train token_acc: 0.9974 train exact_match_acc: 0.9602 (K~16.00, min=16, max=16, dt=1.82s)
itr: 8750 lr: 8.953e-05 train loss: 0.023452 train token_acc: 0.9978 train exact_match_acc: 0.9646 (K~16.00, min=16, max=16, dt=1.82s)
itr: 9000 lr: 8.892e-05 train loss: 0.023104 train token_acc: 0.9977 train exact_match_acc: 0.9639 (K~16.00, min=16, max=16, dt=1.82s)
itr: 9250 lr: 8.829e-05 train loss: 0.015052 train token_acc: 0.9983 train exact_match_acc: 0.9729 (K~16.00, min=16, max=16, dt=1.82s)
itr: 9500 lr: 8.765e-05 train loss: 0.018476 train token_acc: 0.9984 train exact_match_acc: 0.9739 (K~16.00, min=16, max=16, dt=1.82s)
itr: 9750 lr: 8.700e-05 train loss: 0.010483 train token_acc: 0.9987 train exact_match_acc: 0.9790 (K~16.00, min=16, max=16, dt=1.82s)
itr: 10000 lr: 8.632e-05 train loss: 0.014566 train token_acc: 0.9985 train exact_match_acc: 0.9753 (K~16.00, min=16, max=16, dt=1.82s)
itr: 10250 lr: 8.564e-05 train loss: 0.018049 train token_acc: 0.9988 train exact_match_acc: 0.9805 (K~16.00, min=16, max=16, dt=1.82s)
itr: 10500 lr: 8.494e-05 train loss: 0.012589 train token_acc: 0.9989 train exact_match_acc: 0.9822 (K~16.00, min=16, max=16, dt=1.82s)
itr: 10750 lr: 8.423e-05 train loss: 0.012544 train token_acc: 0.9990 train exact_match_acc: 0.9841 (K~16.00, min=16, max=16, dt=1.82s)
itr: 11000 lr: 8.351e-05 train loss: 0.011602 train token_acc: 0.9991 train exact_match_acc: 0.9863 (K~16.00, min=16, max=16, dt=1.82s)
itr: 11250 lr: 8.277e-05 train loss: 0.011888 train token_acc: 0.9992 train exact_match_acc: 0.9866 (K~16.00, min=16, max=16, dt=1.82s)
itr: 11500 lr: 8.202e-05 train loss: 0.011192 train token_acc: 0.9992 train exact_match_acc: 0.9878 (K~16.00, min=16, max=16, dt=1.82s)
itr: 11750 lr: 8.125e-05 train loss: 0.009294 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=1.82s)
itr: 12000 lr: 8.048e-05 train loss: 0.009449 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=1.82s)
itr: 12250 lr: 7.969e-05 train loss: 0.008689 train token_acc: 0.9995 train exact_match_acc: 0.9912 (K~16.00, min=16, max=16, dt=1.82s)
itr: 12500 lr: 7.889e-05 train loss: 0.006326 train token_acc: 0.9994 train exact_match_acc: 0.9910 (K~16.00, min=16, max=16, dt=1.82s)
itr: 12750 lr: 7.808e-05 train loss: 0.005514 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=1.82s)
itr: 13000 lr: 7.726e-05 train loss: 0.006354 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=1.82s)
itr: 13250 lr: 7.643e-05 train loss: 0.006086 train token_acc: 0.9996 train exact_match_acc: 0.9932 (K~16.00, min=16, max=16, dt=1.82s)
itr: 13500 lr: 7.559e-05 train loss: 0.004655 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=1.82s)
itr: 13750 lr: 7.474e-05 train loss: 0.006198 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=1.82s)
itr: 14000 lr: 7.388e-05 train loss: 0.010400 train token_acc: 0.9996 train exact_match_acc: 0.9929 (K~16.00, min=16, max=16, dt=1.82s)
itr: 14250 lr: 7.301e-05 train loss: 0.002740 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=1.82s)
itr: 14500 lr: 7.213e-05 train loss: 0.005109 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=1.82s)
itr: 14750 lr: 7.124e-05 train loss: 0.003765 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=1.82s)
itr: 15000 lr: 7.035e-05 train loss: 0.005246 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=1.82s)
itr: 15250 lr: 6.944e-05 train loss: 0.002625 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=1.82s)
