training:  19%|█▉        | 7741/40000 [00:56<03:54, 137.74it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861180 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 4.846323 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.84s)
itr: 500 lr: 1.000e-04 train loss: 4.691172 train token_acc: 0.0094 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 750 lr: 9.998e-05 train loss: 4.049900 train token_acc: 0.0244 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1000 lr: 9.994e-05 train loss: 3.673225 train token_acc: 0.0388 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1250 lr: 9.989e-05 train loss: 3.446532 train token_acc: 0.0572 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1500 lr: 9.981e-05 train loss: 3.356188 train token_acc: 0.0623 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 1750 lr: 9.972e-05 train loss: 3.284064 train token_acc: 0.0704 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2000 lr: 9.960e-05 train loss: 3.199153 train token_acc: 0.0802 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2250 lr: 9.947e-05 train loss: 3.119266 train token_acc: 0.0845 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2500 lr: 9.931e-05 train loss: 3.055764 train token_acc: 0.0909 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 2750 lr: 9.914e-05 train loss: 3.018648 train token_acc: 0.0965 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3000 lr: 9.895e-05 train loss: 2.953051 train token_acc: 0.1094 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3250 lr: 9.874e-05 train loss: 2.880412 train token_acc: 0.1216 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3500 lr: 9.851e-05 train loss: 2.804269 train token_acc: 0.1387 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 3750 lr: 9.826e-05 train loss: 2.728842 train token_acc: 0.1510 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 4000 lr: 9.799e-05 train loss: 2.648235 train token_acc: 0.1716 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 4250 lr: 9.771e-05 train loss: 2.559816 train token_acc: 0.2009 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 4500 lr: 9.740e-05 train loss: 2.482927 train token_acc: 0.2293 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 4750 lr: 9.708e-05 train loss: 2.409430 train token_acc: 0.2693 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 5000 lr: 9.674e-05 train loss: 2.348070 train token_acc: 0.2896 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 5250 lr: 9.638e-05 train loss: 2.281324 train token_acc: 0.3149 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 5500 lr: 9.600e-05 train loss: 2.216635 train token_acc: 0.3351 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 5750 lr: 9.561e-05 train loss: 2.176043 train token_acc: 0.3527 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 6000 lr: 9.519e-05 train loss: 2.117590 train token_acc: 0.3698 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 6250 lr: 9.476e-05 train loss: 2.071217 train token_acc: 0.3927 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 6500 lr: 9.432e-05 train loss: 2.002137 train token_acc: 0.4117 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 6750 lr: 9.385e-05 train loss: 1.972251 train token_acc: 0.4208 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 7000 lr: 9.337e-05 train loss: 1.920926 train token_acc: 0.4345 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 7250 lr: 9.287e-05 train loss: 1.883684 train token_acc: 0.4463 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 7500 lr: 9.235e-05 train loss: 1.831374 train token_acc: 0.4617 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 7750 lr: 9.182e-05 train loss: 1.784407 train token_acc: 0.4742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 8000 lr: 9.127e-05 train loss: 1.750854 train token_acc: 0.4870 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 8250 lr: 9.071e-05 train loss: 1.703943 train token_acc: 0.5001 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 8500 lr: 9.013e-05 train loss: 1.664407 train token_acc: 0.5148 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 8750 lr: 8.953e-05 train loss: 1.625956 train token_acc: 0.5255 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 9000 lr: 8.892e-05 train loss: 1.574774 train token_acc: 0.5382 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 9250 lr: 8.829e-05 train loss: 1.539079 train token_acc: 0.5548 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 9500 lr: 8.765e-05 train loss: 1.494765 train token_acc: 0.5699 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
itr: 9750 lr: 8.700e-05 train loss: 1.448541 train token_acc: 0.5845 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.82s)
