training:  19%|█▉        | 7744/40000 [01:12<05:00, 107.23it/s]
itr: 0 lr: 2.494e-07 train loss: 4.880893 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.785152 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.36s)
itr: 500 lr: 1.000e-04 train loss: 3.871960 train token_acc: 0.0189 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 750 lr: 9.998e-05 train loss: 3.056252 train token_acc: 0.0951 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 1000 lr: 9.994e-05 train loss: 2.708651 train token_acc: 0.1882 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 1250 lr: 9.989e-05 train loss: 2.414054 train token_acc: 0.2699 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 1500 lr: 9.981e-05 train loss: 2.040817 train token_acc: 0.3810 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 1750 lr: 9.972e-05 train loss: 1.530415 train token_acc: 0.5390 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.33s)
itr: 2000 lr: 9.960e-05 train loss: 0.981453 train token_acc: 0.7091 train exact_match_acc: 0.0037 (K~16.00, min=16, max=16, dt=2.33s)
itr: 2250 lr: 9.947e-05 train loss: 0.581592 train token_acc: 0.8373 train exact_match_acc: 0.0740 (K~16.00, min=16, max=16, dt=2.33s)
itr: 2500 lr: 9.931e-05 train loss: 0.365132 train token_acc: 0.9052 train exact_match_acc: 0.2341 (K~16.00, min=16, max=16, dt=2.33s)
itr: 2750 lr: 9.914e-05 train loss: 0.237626 train token_acc: 0.9421 train exact_match_acc: 0.4207 (K~16.00, min=16, max=16, dt=2.33s)
itr: 3000 lr: 9.895e-05 train loss: 0.154692 train token_acc: 0.9642 train exact_match_acc: 0.5771 (K~16.00, min=16, max=16, dt=2.33s)
itr: 3250 lr: 9.874e-05 train loss: 0.096150 train token_acc: 0.9781 train exact_match_acc: 0.7188 (K~16.00, min=16, max=16, dt=2.33s)
itr: 3500 lr: 9.851e-05 train loss: 0.064976 train token_acc: 0.9868 train exact_match_acc: 0.8179 (K~16.00, min=16, max=16, dt=2.33s)
itr: 3750 lr: 9.826e-05 train loss: 0.043059 train token_acc: 0.9910 train exact_match_acc: 0.8672 (K~16.00, min=16, max=16, dt=2.33s)
itr: 4000 lr: 9.799e-05 train loss: 0.031924 train token_acc: 0.9938 train exact_match_acc: 0.9060 (K~16.00, min=16, max=16, dt=2.33s)
itr: 4250 lr: 9.771e-05 train loss: 0.020198 train token_acc: 0.9961 train exact_match_acc: 0.9395 (K~16.00, min=16, max=16, dt=2.33s)
itr: 4500 lr: 9.740e-05 train loss: 0.017372 train token_acc: 0.9969 train exact_match_acc: 0.9509 (K~16.00, min=16, max=16, dt=2.33s)
itr: 4750 lr: 9.708e-05 train loss: 0.012711 train token_acc: 0.9979 train exact_match_acc: 0.9675 (K~16.00, min=16, max=16, dt=2.33s)
