training:  19%|█▉        | 7749/40000 [03:23<14:07, 38.06it/s]
itr: 0 lr: 2.494e-07 train loss: 4.936359 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.33s)
itr: 250 lr: 6.259e-05 train loss: 4.112611 train token_acc: 0.0095 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.59s)
itr: 500 lr: 1.000e-04 train loss: 2.561615 train token_acc: 0.2442 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.57s)
itr: 750 lr: 9.998e-05 train loss: 1.546128 train token_acc: 0.6439 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.57s)
itr: 1000 lr: 9.994e-05 train loss: 0.754001 train token_acc: 0.8392 train exact_match_acc: 0.0029 (K~32.00, min=32, max=32, dt=6.57s)
itr: 1250 lr: 9.989e-05 train loss: 0.366125 train token_acc: 0.9300 train exact_match_acc: 0.0901 (K~32.00, min=32, max=32, dt=6.57s)
itr: 1500 lr: 9.981e-05 train loss: 0.214899 train token_acc: 0.9615 train exact_match_acc: 0.2766 (K~32.00, min=32, max=32, dt=6.57s)
itr: 1750 lr: 9.972e-05 train loss: 0.143901 train token_acc: 0.9762 train exact_match_acc: 0.4331 (K~32.00, min=32, max=32, dt=6.57s)
itr: 2000 lr: 9.960e-05 train loss: 0.103321 train token_acc: 0.9840 train exact_match_acc: 0.5676 (K~32.00, min=32, max=32, dt=6.57s)
itr: 2250 lr: 9.947e-05 train loss: 0.079983 train token_acc: 0.9878 train exact_match_acc: 0.6514 (K~32.00, min=32, max=32, dt=6.57s)
itr: 2500 lr: 9.931e-05 train loss: 0.062732 train token_acc: 0.9898 train exact_match_acc: 0.6978 (K~32.00, min=32, max=32, dt=6.57s)
itr: 2750 lr: 9.914e-05 train loss: 0.051967 train token_acc: 0.9909 train exact_match_acc: 0.7246 (K~32.00, min=32, max=32, dt=6.57s)
itr: 3000 lr: 9.895e-05 train loss: 0.044942 train token_acc: 0.9917 train exact_match_acc: 0.7507 (K~32.00, min=32, max=32, dt=6.57s)
itr: 3250 lr: 9.874e-05 train loss: 0.037791 train token_acc: 0.9923 train exact_match_acc: 0.7681 (K~32.00, min=32, max=32, dt=6.57s)
itr: 3500 lr: 9.851e-05 train loss: 0.037242 train token_acc: 0.9925 train exact_match_acc: 0.7693 (K~32.00, min=32, max=32, dt=6.57s)
