training:  19%|█▉        | 7749/40000 [03:23<14:08, 38.03it/s]
itr: 0 lr: 2.494e-07 train loss: 4.951926 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.155442 train token_acc: 0.0045 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.60s)
itr: 500 lr: 1.000e-04 train loss: 2.657686 train token_acc: 0.1731 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.58s)
itr: 750 lr: 9.998e-05 train loss: 1.635551 train token_acc: 0.6203 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1000 lr: 9.994e-05 train loss: 0.760614 train token_acc: 0.8394 train exact_match_acc: 0.0051 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1250 lr: 9.989e-05 train loss: 0.342864 train token_acc: 0.9444 train exact_match_acc: 0.1321 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1500 lr: 9.981e-05 train loss: 0.189505 train token_acc: 0.9730 train exact_match_acc: 0.3645 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1750 lr: 9.972e-05 train loss: 0.120333 train token_acc: 0.9836 train exact_match_acc: 0.5620 (K~32.00, min=32, max=32, dt=6.58s)
itr: 2000 lr: 9.960e-05 train loss: 0.090303 train token_acc: 0.9878 train exact_match_acc: 0.6553 (K~32.00, min=32, max=32, dt=6.58s)
itr: 2250 lr: 9.947e-05 train loss: 0.069542 train token_acc: 0.9900 train exact_match_acc: 0.6997 (K~32.00, min=32, max=32, dt=6.58s)
itr: 2500 lr: 9.931e-05 train loss: 0.055366 train token_acc: 0.9917 train exact_match_acc: 0.7510 (K~32.00, min=32, max=32, dt=6.58s)
itr: 2750 lr: 9.914e-05 train loss: 0.048253 train token_acc: 0.9925 train exact_match_acc: 0.7734 (K~32.00, min=32, max=32, dt=6.58s)
itr: 3000 lr: 9.895e-05 train loss: 0.040575 train token_acc: 0.9931 train exact_match_acc: 0.7910 (K~32.00, min=32, max=32, dt=6.58s)
