training:  19%|█▉        | 7749/40000 [03:23<14:07, 38.08it/s]
itr: 0 lr: 2.494e-07 train loss: 5.387604 train token_acc: 0.0058 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.33s)
itr: 250 lr: 6.259e-05 train loss: 4.658972 train token_acc: 0.0136 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.60s)
itr: 500 lr: 1.000e-04 train loss: 2.649232 train token_acc: 0.2545 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.57s)
itr: 750 lr: 9.998e-05 train loss: 1.247275 train token_acc: 0.6376 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.57s)
itr: 1000 lr: 9.994e-05 train loss: 0.579328 train token_acc: 0.8401 train exact_match_acc: 0.0032 (K~32.00, min=32, max=32, dt=6.57s)
itr: 1250 lr: 9.989e-05 train loss: 0.271917 train token_acc: 0.9333 train exact_match_acc: 0.1084 (K~32.00, min=32, max=32, dt=6.57s)
itr: 1500 lr: 9.981e-05 train loss: 0.152509 train token_acc: 0.9679 train exact_match_acc: 0.3455 (K~32.00, min=32, max=32, dt=6.57s)
itr: 1750 lr: 9.972e-05 train loss: 0.094730 train token_acc: 0.9814 train exact_match_acc: 0.5464 (K~32.00, min=32, max=32, dt=6.57s)
itr: 2000 lr: 9.960e-05 train loss: 0.065168 train token_acc: 0.9887 train exact_match_acc: 0.6992 (K~32.00, min=32, max=32, dt=6.57s)
itr: 2250 lr: 9.947e-05 train loss: 0.047300 train token_acc: 0.9924 train exact_match_acc: 0.7883 (K~32.00, min=32, max=32, dt=6.57s)
itr: 2500 lr: 9.931e-05 train loss: 0.035770 train token_acc: 0.9945 train exact_match_acc: 0.8423 (K~32.00, min=32, max=32, dt=6.57s)
itr: 2750 lr: 9.914e-05 train loss: 0.029129 train token_acc: 0.9955 train exact_match_acc: 0.8711 (K~32.00, min=32, max=32, dt=6.57s)
itr: 3000 lr: 9.895e-05 train loss: 0.024243 train token_acc: 0.9963 train exact_match_acc: 0.8918 (K~32.00, min=32, max=32, dt=6.57s)
itr: 3250 lr: 9.874e-05 train loss: 0.019571 train token_acc: 0.9969 train exact_match_acc: 0.9116 (K~32.00, min=32, max=32, dt=6.57s)
itr: 3500 lr: 9.851e-05 train loss: 0.016431 train token_acc: 0.9975 train exact_match_acc: 0.9255 (K~32.00, min=32, max=32, dt=6.57s)
itr: 3750 lr: 9.826e-05 train loss: 0.012848 train token_acc: 0.9980 train exact_match_acc: 0.9417 (K~32.00, min=32, max=32, dt=6.57s)
itr: 4000 lr: 9.799e-05 train loss: 0.011615 train token_acc: 0.9983 train exact_match_acc: 0.9504 (K~32.00, min=32, max=32, dt=6.57s)
itr: 4250 lr: 9.771e-05 train loss: 0.009097 train token_acc: 0.9986 train exact_match_acc: 0.9568 (K~32.00, min=32, max=32, dt=6.57s)
itr: 4500 lr: 9.740e-05 train loss: 0.007285 train token_acc: 0.9991 train exact_match_acc: 0.9714 (K~32.00, min=32, max=32, dt=6.57s)
itr: 4750 lr: 9.708e-05 train loss: 0.006667 train token_acc: 0.9991 train exact_match_acc: 0.9727 (K~32.00, min=32, max=32, dt=6.57s)
itr: 5000 lr: 9.674e-05 train loss: 0.006979 train token_acc: 0.9990 train exact_match_acc: 0.9690 (K~32.00, min=32, max=32, dt=6.57s)
itr: 5250 lr: 9.638e-05 train loss: 0.005530 train token_acc: 0.9992 train exact_match_acc: 0.9751 (K~32.00, min=32, max=32, dt=6.57s)
itr: 5500 lr: 9.600e-05 train loss: 0.004235 train token_acc: 0.9994 train exact_match_acc: 0.9817 (K~32.00, min=32, max=32, dt=6.57s)
itr: 5750 lr: 9.561e-05 train loss: 0.003978 train token_acc: 0.9994 train exact_match_acc: 0.9827 (K~32.00, min=32, max=32, dt=6.57s)
itr: 6000 lr: 9.519e-05 train loss: 0.003626 train token_acc: 0.9994 train exact_match_acc: 0.9824 (K~32.00, min=32, max=32, dt=6.57s)
itr: 6250 lr: 9.476e-05 train loss: 0.003652 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=6.57s)
itr: 6500 lr: 9.432e-05 train loss: 0.004681 train token_acc: 0.9991 train exact_match_acc: 0.9724 (K~32.00, min=32, max=32, dt=6.57s)
itr: 6750 lr: 9.385e-05 train loss: 0.003712 train token_acc: 0.9994 train exact_match_acc: 0.9824 (K~32.00, min=32, max=32, dt=6.57s)
itr: 7000 lr: 9.337e-05 train loss: 0.003192 train token_acc: 0.9995 train exact_match_acc: 0.9839 (K~32.00, min=32, max=32, dt=6.57s)
itr: 7250 lr: 9.287e-05 train loss: 0.002892 train token_acc: 0.9996 train exact_match_acc: 0.9878 (K~32.00, min=32, max=32, dt=6.57s)
itr: 7500 lr: 9.235e-05 train loss: 0.002523 train token_acc: 0.9996 train exact_match_acc: 0.9878 (K~32.00, min=32, max=32, dt=6.57s)
itr: 7750 lr: 9.182e-05 train loss: 0.002478 train token_acc: 0.9996 train exact_match_acc: 0.9868 (K~32.00, min=32, max=32, dt=6.57s)
itr: 8000 lr: 9.127e-05 train loss: 0.002301 train token_acc: 0.9996 train exact_match_acc: 0.9888 (K~32.00, min=32, max=32, dt=6.57s)
itr: 8250 lr: 9.071e-05 train loss: 0.001886 train token_acc: 0.9996 train exact_match_acc: 0.9885 (K~32.00, min=32, max=32, dt=6.57s)
itr: 8500 lr: 9.013e-05 train loss: 0.002044 train token_acc: 0.9997 train exact_match_acc: 0.9900 (K~32.00, min=32, max=32, dt=6.57s)
itr: 8750 lr: 8.953e-05 train loss: 0.001789 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=6.57s)
itr: 9000 lr: 8.892e-05 train loss: 0.003149 train token_acc: 0.9992 train exact_match_acc: 0.9739 (K~32.00, min=32, max=32, dt=6.57s)
itr: 9250 lr: 8.829e-05 train loss: 0.001678 train token_acc: 0.9997 train exact_match_acc: 0.9919 (K~32.00, min=32, max=32, dt=6.57s)
itr: 9500 lr: 8.765e-05 train loss: 0.001316 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=6.57s)
itr: 9750 lr: 8.700e-05 train loss: 0.001494 train token_acc: 0.9997 train exact_match_acc: 0.9922 (K~32.00, min=32, max=32, dt=6.57s)
itr: 10000 lr: 8.632e-05 train loss: 0.001459 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=6.57s)
itr: 10250 lr: 8.564e-05 train loss: 0.001289 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=6.57s)
itr: 10500 lr: 8.494e-05 train loss: 0.001269 train token_acc: 0.9997 train exact_match_acc: 0.9922 (K~32.00, min=32, max=32, dt=6.57s)
itr: 10750 lr: 8.423e-05 train loss: 0.001108 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=6.57s)
itr: 11000 lr: 8.351e-05 train loss: 0.001232 train token_acc: 0.9997 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=6.57s)
itr: 11250 lr: 8.277e-05 train loss: 0.000965 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=6.57s)
itr: 11500 lr: 8.202e-05 train loss: 0.000859 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=6.57s)
itr: 11750 lr: 8.125e-05 train loss: 0.000902 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=6.57s)
itr: 12000 lr: 8.048e-05 train loss: 0.001118 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=6.57s)
itr: 12250 lr: 7.969e-05 train loss: 0.001161 train token_acc: 0.9998 train exact_match_acc: 0.9929 (K~32.00, min=32, max=32, dt=6.57s)
itr: 12500 lr: 7.889e-05 train loss: 0.000734 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=6.57s)
itr: 12750 lr: 7.808e-05 train loss: 0.000870 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=6.57s)
itr: 13000 lr: 7.726e-05 train loss: 0.000749 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=6.57s)
itr: 13250 lr: 7.643e-05 train loss: 0.000777 train token_acc: 0.9999 train exact_match_acc: 0.9958 (K~32.00, min=32, max=32, dt=6.57s)
itr: 13500 lr: 7.559e-05 train loss: 0.000705 train token_acc: 0.9999 train exact_match_acc: 0.9958 (K~32.00, min=32, max=32, dt=6.57s)
itr: 13750 lr: 7.474e-05 train loss: 0.000763 train token_acc: 0.9998 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=6.57s)
itr: 14000 lr: 7.388e-05 train loss: 0.000596 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=6.57s)
itr: 14250 lr: 7.301e-05 train loss: 0.000617 train token_acc: 0.9999 train exact_match_acc: 0.9958 (K~32.00, min=32, max=32, dt=6.57s)
itr: 14500 lr: 7.213e-05 train loss: 0.000531 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=6.57s)
itr: 14750 lr: 7.124e-05 train loss: 0.000553 train token_acc: 0.9999 train exact_match_acc: 0.9976 (K~32.00, min=32, max=32, dt=6.57s)
itr: 15000 lr: 7.035e-05 train loss: 0.000575 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=6.57s)
itr: 15250 lr: 6.944e-05 train loss: 0.000444 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~32.00, min=32, max=32, dt=6.57s)
itr: 15500 lr: 6.853e-05 train loss: 0.000651 train token_acc: 0.9999 train exact_match_acc: 0.9971 (K~32.00, min=32, max=32, dt=6.57s)
itr: 15750 lr: 6.761e-05 train loss: 0.000469 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~32.00, min=32, max=32, dt=6.57s)
itr: 16000 lr: 6.669e-05 train loss: 0.000437 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~32.00, min=32, max=32, dt=6.57s)
itr: 16250 lr: 6.576e-05 train loss: 0.000383 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~32.00, min=32, max=32, dt=6.57s)
itr: 16500 lr: 6.482e-05 train loss: 0.000477 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~32.00, min=32, max=32, dt=6.57s)
itr: 16750 lr: 6.388e-05 train loss: 0.000430 train token_acc: 1.0000 train exact_match_acc: 0.9985 (K~32.00, min=32, max=32, dt=6.57s)
itr: 17000 lr: 6.293e-05 train loss: 0.000599 train token_acc: 0.9999 train exact_match_acc: 0.9973 (K~32.00, min=32, max=32, dt=6.57s)
itr: 17250 lr: 6.198e-05 train loss: 0.000302 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~32.00, min=32, max=32, dt=6.57s)
itr: 17500 lr: 6.102e-05 train loss: 0.000337 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~32.00, min=32, max=32, dt=6.57s)
itr: 17750 lr: 6.006e-05 train loss: 0.000453 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=6.57s)
itr: 18000 lr: 5.910e-05 train loss: 0.000292 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~32.00, min=32, max=32, dt=6.57s)
itr: 18250 lr: 5.813e-05 train loss: 0.000335 train token_acc: 1.0000 train exact_match_acc: 0.9985 (K~32.00, min=32, max=32, dt=6.57s)
itr: 18500 lr: 5.716e-05 train loss: 0.000276 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~32.00, min=32, max=32, dt=6.57s)
itr: 18750 lr: 5.618e-05 train loss: 0.000364 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~32.00, min=32, max=32, dt=6.57s)
itr: 19000 lr: 5.521e-05 train loss: 0.000349 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~32.00, min=32, max=32, dt=6.57s)
itr: 19250 lr: 5.423e-05 train loss: 0.000302 train token_acc: 1.0000 train exact_match_acc: 0.9985 (K~32.00, min=32, max=32, dt=6.57s)
itr: 19500 lr: 5.325e-05 train loss: 0.000310 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~32.00, min=32, max=32, dt=6.57s)
itr: 19750 lr: 5.227e-05 train loss: 0.000213 train token_acc: 1.0000 train exact_match_acc: 0.9988 (K~32.00, min=32, max=32, dt=6.57s)
itr: 20000 lr: 5.129e-05 train loss: 0.000305 train token_acc: 1.0000 train exact_match_acc: 0.9985 (K~32.00, min=32, max=32, dt=6.57s)
saved checkpoint: ./grid_outputs/len_gen_v128_e128_k32/task_0000/saved_models/Checkpoint_N128_d128_H1_L2_npos1_mlp0_ln1_normlayernorm_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK32to32_testK32to32_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.000156 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~32.00, min=32, max=32, dt=6.61s)
