training:  19%|█▉        | 7749/40000 [03:24<14:09, 37.98it/s]
itr: 0 lr: 2.494e-07 train loss: 4.952187 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.157367 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.62s)
itr: 500 lr: 1.000e-04 train loss: 2.562431 train token_acc: 0.2565 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.59s)
itr: 750 lr: 9.998e-05 train loss: 1.417052 train token_acc: 0.6863 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.59s)
itr: 1000 lr: 9.994e-05 train loss: 0.657079 train token_acc: 0.8614 train exact_match_acc: 0.0054 (K~32.00, min=32, max=32, dt=6.59s)
itr: 1250 lr: 9.989e-05 train loss: 0.284426 train token_acc: 0.9468 train exact_match_acc: 0.1238 (K~32.00, min=32, max=32, dt=6.59s)
itr: 1500 lr: 9.981e-05 train loss: 0.156201 train token_acc: 0.9744 train exact_match_acc: 0.3813 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1750 lr: 9.972e-05 train loss: 0.104645 train token_acc: 0.9815 train exact_match_acc: 0.5020 (K~32.00, min=32, max=32, dt=6.59s)
itr: 2000 lr: 9.960e-05 train loss: 0.078721 train token_acc: 0.9842 train exact_match_acc: 0.5613 (K~32.00, min=32, max=32, dt=6.59s)
itr: 2250 lr: 9.947e-05 train loss: 0.066583 train token_acc: 0.9857 train exact_match_acc: 0.5854 (K~32.00, min=32, max=32, dt=6.59s)
itr: 2500 lr: 9.931e-05 train loss: 0.059438 train token_acc: 0.9866 train exact_match_acc: 0.6138 (K~32.00, min=32, max=32, dt=6.59s)
itr: 2750 lr: 9.914e-05 train loss: 0.052228 train token_acc: 0.9881 train exact_match_acc: 0.6506 (K~32.00, min=32, max=32, dt=6.59s)
itr: 3000 lr: 9.895e-05 train loss: 0.043189 train token_acc: 0.9896 train exact_match_acc: 0.6912 (K~32.00, min=32, max=32, dt=6.58s)
itr: 3250 lr: 9.874e-05 train loss: 0.040150 train token_acc: 0.9903 train exact_match_acc: 0.7061 (K~32.00, min=32, max=32, dt=6.59s)
itr: 3500 lr: 9.851e-05 train loss: 0.036633 train token_acc: 0.9904 train exact_match_acc: 0.7122 (K~32.00, min=32, max=32, dt=6.58s)
itr: 3750 lr: 9.826e-05 train loss: 0.034503 train token_acc: 0.9910 train exact_match_acc: 0.7246 (K~32.00, min=32, max=32, dt=6.58s)
itr: 4000 lr: 9.799e-05 train loss: 0.031556 train token_acc: 0.9921 train exact_match_acc: 0.7590 (K~32.00, min=32, max=32, dt=6.58s)
itr: 4250 lr: 9.771e-05 train loss: 0.028757 train token_acc: 0.9930 train exact_match_acc: 0.7866 (K~32.00, min=32, max=32, dt=6.59s)
itr: 4500 lr: 9.740e-05 train loss: 0.025180 train token_acc: 0.9938 train exact_match_acc: 0.8076 (K~32.00, min=32, max=32, dt=6.58s)
itr: 4750 lr: 9.708e-05 train loss: 0.022282 train token_acc: 0.9947 train exact_match_acc: 0.8342 (K~32.00, min=32, max=32, dt=6.59s)
itr: 5000 lr: 9.674e-05 train loss: 0.019829 train token_acc: 0.9952 train exact_match_acc: 0.8496 (K~32.00, min=32, max=32, dt=6.58s)
itr: 5250 lr: 9.638e-05 train loss: 0.018477 train token_acc: 0.9959 train exact_match_acc: 0.8704 (K~32.00, min=32, max=32, dt=6.59s)
itr: 5500 lr: 9.600e-05 train loss: 0.016993 train token_acc: 0.9963 train exact_match_acc: 0.8806 (K~32.00, min=32, max=32, dt=6.58s)
itr: 5750 lr: 9.561e-05 train loss: 0.015033 train token_acc: 0.9965 train exact_match_acc: 0.8882 (K~32.00, min=32, max=32, dt=6.59s)
itr: 6000 lr: 9.519e-05 train loss: 0.013785 train token_acc: 0.9968 train exact_match_acc: 0.8997 (K~32.00, min=32, max=32, dt=6.59s)
itr: 6250 lr: 9.476e-05 train loss: 0.014430 train token_acc: 0.9967 train exact_match_acc: 0.8950 (K~32.00, min=32, max=32, dt=6.59s)
itr: 6500 lr: 9.432e-05 train loss: 0.012274 train token_acc: 0.9972 train exact_match_acc: 0.9102 (K~32.00, min=32, max=32, dt=6.59s)
