training:  19%|█▉        | 7749/40000 [02:25<09:57, 53.96it/s]
itr: 0 lr: 2.494e-07 train loss: 4.878072 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.25s)
itr: 250 lr: 6.259e-05 train loss: 4.827246 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.70s)
itr: 500 lr: 1.000e-04 train loss: 4.565681 train token_acc: 0.0030 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 750 lr: 9.998e-05 train loss: 3.559438 train token_acc: 0.0059 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1000 lr: 9.994e-05 train loss: 2.838434 train token_acc: 0.0170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1250 lr: 9.989e-05 train loss: 2.683860 train token_acc: 0.0381 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1500 lr: 9.981e-05 train loss: 2.625510 train token_acc: 0.0544 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1750 lr: 9.972e-05 train loss: 2.581020 train token_acc: 0.0710 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2000 lr: 9.960e-05 train loss: 2.546303 train token_acc: 0.0791 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2250 lr: 9.947e-05 train loss: 2.520397 train token_acc: 0.0966 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2500 lr: 9.931e-05 train loss: 2.495183 train token_acc: 0.1044 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2750 lr: 9.914e-05 train loss: 2.466647 train token_acc: 0.1235 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3000 lr: 9.895e-05 train loss: 2.446884 train token_acc: 0.1415 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3250 lr: 9.874e-05 train loss: 2.414654 train token_acc: 0.1432 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3500 lr: 9.851e-05 train loss: 2.396976 train token_acc: 0.1589 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3750 lr: 9.826e-05 train loss: 2.377507 train token_acc: 0.1686 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 4000 lr: 9.799e-05 train loss: 2.356603 train token_acc: 0.1650 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 4250 lr: 9.771e-05 train loss: 2.330369 train token_acc: 0.1739 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 4500 lr: 9.740e-05 train loss: 2.307303 train token_acc: 0.1858 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 4750 lr: 9.708e-05 train loss: 2.290156 train token_acc: 0.1946 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 5000 lr: 9.674e-05 train loss: 2.265664 train token_acc: 0.1980 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 5250 lr: 9.638e-05 train loss: 2.248219 train token_acc: 0.2008 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 5500 lr: 9.600e-05 train loss: 2.235348 train token_acc: 0.2157 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 5750 lr: 9.561e-05 train loss: 2.196357 train token_acc: 0.2170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 6000 lr: 9.519e-05 train loss: 2.173220 train token_acc: 0.2285 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 6250 lr: 9.476e-05 train loss: 2.143986 train token_acc: 0.2398 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 6500 lr: 9.432e-05 train loss: 2.111103 train token_acc: 0.2474 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 6750 lr: 9.385e-05 train loss: 2.079030 train token_acc: 0.2542 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 7000 lr: 9.337e-05 train loss: 2.054239 train token_acc: 0.2556 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 7250 lr: 9.287e-05 train loss: 2.016791 train token_acc: 0.2773 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 7500 lr: 9.235e-05 train loss: 1.986922 train token_acc: 0.2804 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 7750 lr: 9.182e-05 train loss: 1.951791 train token_acc: 0.3008 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 8000 lr: 9.127e-05 train loss: 1.915713 train token_acc: 0.3139 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 8250 lr: 9.071e-05 train loss: 1.885592 train token_acc: 0.3145 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 8500 lr: 9.013e-05 train loss: 1.853694 train token_acc: 0.3381 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 8750 lr: 8.953e-05 train loss: 1.819703 train token_acc: 0.3451 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 9000 lr: 8.892e-05 train loss: 1.801187 train token_acc: 0.3629 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 9250 lr: 8.829e-05 train loss: 1.765161 train token_acc: 0.3658 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 9500 lr: 8.765e-05 train loss: 1.745617 train token_acc: 0.3653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 9750 lr: 8.700e-05 train loss: 1.716483 train token_acc: 0.3835 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 10000 lr: 8.632e-05 train loss: 1.706830 train token_acc: 0.3824 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 10250 lr: 8.564e-05 train loss: 1.667277 train token_acc: 0.4066 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 10500 lr: 8.494e-05 train loss: 1.646166 train token_acc: 0.4133 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 10750 lr: 8.423e-05 train loss: 1.628217 train token_acc: 0.4180 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 11000 lr: 8.351e-05 train loss: 1.605711 train token_acc: 0.4218 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 11250 lr: 8.277e-05 train loss: 1.599138 train token_acc: 0.4161 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 11500 lr: 8.202e-05 train loss: 1.563344 train token_acc: 0.4493 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 11750 lr: 8.125e-05 train loss: 1.543460 train token_acc: 0.4522 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 12000 lr: 8.048e-05 train loss: 1.530116 train token_acc: 0.4480 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 12250 lr: 7.969e-05 train loss: 1.503013 train token_acc: 0.4761 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 12500 lr: 7.889e-05 train loss: 1.491290 train token_acc: 0.4662 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 12750 lr: 7.808e-05 train loss: 1.459543 train token_acc: 0.4833 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 13000 lr: 7.726e-05 train loss: 1.441977 train token_acc: 0.4987 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 13250 lr: 7.643e-05 train loss: 1.428283 train token_acc: 0.4967 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 13500 lr: 7.559e-05 train loss: 1.407852 train token_acc: 0.5149 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 13750 lr: 7.474e-05 train loss: 1.385445 train token_acc: 0.5203 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 14000 lr: 7.388e-05 train loss: 1.367908 train token_acc: 0.5263 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 14250 lr: 7.301e-05 train loss: 1.350605 train token_acc: 0.5328 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 14500 lr: 7.213e-05 train loss: 1.327710 train token_acc: 0.5490 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 14750 lr: 7.124e-05 train loss: 1.310096 train token_acc: 0.5513 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 15000 lr: 7.035e-05 train loss: 1.295147 train token_acc: 0.5594 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 15250 lr: 6.944e-05 train loss: 1.283113 train token_acc: 0.5678 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 15500 lr: 6.853e-05 train loss: 1.253557 train token_acc: 0.5752 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 15750 lr: 6.761e-05 train loss: 1.242912 train token_acc: 0.5708 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 16000 lr: 6.669e-05 train loss: 1.226363 train token_acc: 0.5815 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 16250 lr: 6.576e-05 train loss: 1.221035 train token_acc: 0.5780 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 16500 lr: 6.482e-05 train loss: 1.193035 train token_acc: 0.5968 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 16750 lr: 6.388e-05 train loss: 1.182841 train token_acc: 0.6015 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 17000 lr: 6.293e-05 train loss: 1.161852 train token_acc: 0.6072 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 17250 lr: 6.198e-05 train loss: 1.150721 train token_acc: 0.6141 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 17500 lr: 6.102e-05 train loss: 1.131376 train token_acc: 0.6219 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 17750 lr: 6.006e-05 train loss: 1.113856 train token_acc: 0.6241 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 18000 lr: 5.910e-05 train loss: 1.112269 train token_acc: 0.6223 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 18250 lr: 5.813e-05 train loss: 1.086648 train token_acc: 0.6338 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 18500 lr: 5.716e-05 train loss: 1.073098 train token_acc: 0.6367 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 18750 lr: 5.618e-05 train loss: 1.060397 train token_acc: 0.6438 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 19000 lr: 5.521e-05 train loss: 1.046336 train token_acc: 0.6460 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 19250 lr: 5.423e-05 train loss: 1.037748 train token_acc: 0.6443 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 19500 lr: 5.325e-05 train loss: 1.027658 train token_acc: 0.6535 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 19750 lr: 5.227e-05 train loss: 1.016903 train token_acc: 0.6577 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 20000 lr: 5.129e-05 train loss: 1.003493 train token_acc: 0.6564 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
saved checkpoint: ./grid_outputs/len_gen_v128_e128_k32/task_0002/saved_models/Checkpoint_N128_d128_H1_L2_npos1_mlp0_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK32to32_testK32to32_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.994549 train token_acc: 0.6649 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.71s)
itr: 20500 lr: 4.932e-05 train loss: 0.985044 train token_acc: 0.6658 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 20750 lr: 4.834e-05 train loss: 0.966536 train token_acc: 0.6715 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 21000 lr: 4.736e-05 train loss: 0.955018 train token_acc: 0.6748 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 21250 lr: 4.638e-05 train loss: 0.952393 train token_acc: 0.6729 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 21500 lr: 4.540e-05 train loss: 0.945221 train token_acc: 0.6732 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 21750 lr: 4.443e-05 train loss: 0.933908 train token_acc: 0.6809 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 22000 lr: 4.346e-05 train loss: 0.916428 train token_acc: 0.6851 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 22250 lr: 4.249e-05 train loss: 0.910783 train token_acc: 0.6882 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 22500 lr: 4.152e-05 train loss: 0.903343 train token_acc: 0.6913 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 22750 lr: 4.055e-05 train loss: 0.899853 train token_acc: 0.6912 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 23000 lr: 3.959e-05 train loss: 0.884160 train token_acc: 0.6929 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
