training:  19%|█▉        | 7749/40000 [02:24<09:58, 53.85it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861670 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.33s)
itr: 250 lr: 6.259e-05 train loss: 4.846411 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.67s)
itr: 500 lr: 1.000e-04 train loss: 4.705082 train token_acc: 0.0217 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.65s)
itr: 750 lr: 9.998e-05 train loss: 3.776796 train token_acc: 0.0436 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1000 lr: 9.994e-05 train loss: 2.831201 train token_acc: 0.1092 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1250 lr: 9.989e-05 train loss: 2.687285 train token_acc: 0.1357 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1500 lr: 9.981e-05 train loss: 2.644469 train token_acc: 0.1431 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.65s)
itr: 1750 lr: 9.972e-05 train loss: 2.629112 train token_acc: 0.1434 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.65s)
itr: 2000 lr: 9.960e-05 train loss: 2.606713 train token_acc: 0.1518 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2250 lr: 9.947e-05 train loss: 2.599274 train token_acc: 0.1542 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2500 lr: 9.931e-05 train loss: 2.596726 train token_acc: 0.1518 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.65s)
itr: 2750 lr: 9.914e-05 train loss: 2.581409 train token_acc: 0.1559 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3000 lr: 9.895e-05 train loss: 2.570521 train token_acc: 0.1626 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3250 lr: 9.874e-05 train loss: 2.555715 train token_acc: 0.1636 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
