training:  19%|█▉        | 7747/40000 [03:22<14:01, 38.33it/s]
itr: 0 lr: 2.494e-07 train loss: 4.874858 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.40s)
itr: 250 lr: 6.259e-05 train loss: 4.611227 train token_acc: 0.0080 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.54s)
itr: 500 lr: 1.000e-04 train loss: 2.424467 train token_acc: 0.1946 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.52s)
itr: 750 lr: 9.998e-05 train loss: 2.123136 train token_acc: 0.2872 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.52s)
itr: 1000 lr: 9.994e-05 train loss: 1.751519 train token_acc: 0.4060 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.52s)
itr: 1250 lr: 9.989e-05 train loss: 1.222860 train token_acc: 0.5958 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.52s)
itr: 1500 lr: 9.981e-05 train loss: 0.791504 train token_acc: 0.7480 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.52s)
itr: 1750 lr: 9.972e-05 train loss: 0.496929 train token_acc: 0.8493 train exact_match_acc: 0.0017 (K~32.00, min=32, max=32, dt=6.52s)
itr: 2000 lr: 9.960e-05 train loss: 0.320030 train token_acc: 0.9107 train exact_match_acc: 0.0352 (K~32.00, min=32, max=32, dt=6.52s)
itr: 2250 lr: 9.947e-05 train loss: 0.186059 train token_acc: 0.9554 train exact_match_acc: 0.2158 (K~32.00, min=32, max=32, dt=6.52s)
itr: 2500 lr: 9.931e-05 train loss: 0.110612 train token_acc: 0.9757 train exact_match_acc: 0.4326 (K~32.00, min=32, max=32, dt=6.52s)
itr: 2750 lr: 9.914e-05 train loss: 0.080047 train token_acc: 0.9839 train exact_match_acc: 0.5779 (K~32.00, min=32, max=32, dt=6.52s)
itr: 3000 lr: 9.895e-05 train loss: 0.058537 train token_acc: 0.9891 train exact_match_acc: 0.6924 (K~32.00, min=32, max=32, dt=6.52s)
itr: 3250 lr: 9.874e-05 train loss: 0.044139 train token_acc: 0.9919 train exact_match_acc: 0.7637 (K~32.00, min=32, max=32, dt=6.52s)
itr: 3500 lr: 9.851e-05 train loss: 0.034808 train token_acc: 0.9938 train exact_match_acc: 0.8145 (K~32.00, min=32, max=32, dt=6.52s)
