training:  19%|█▉        | 7749/40000 [02:25<09:58, 53.87it/s]
itr: 0 lr: 2.494e-07 train loss: 4.871917 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1.83s)
itr: 250 lr: 6.259e-05 train loss: 4.818640 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.70s)
itr: 500 lr: 1.000e-04 train loss: 4.538585 train token_acc: 0.0043 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 750 lr: 9.998e-05 train loss: 3.438145 train token_acc: 0.0102 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1000 lr: 9.994e-05 train loss: 2.828437 train token_acc: 0.0204 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1250 lr: 9.989e-05 train loss: 2.713381 train token_acc: 0.0314 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1500 lr: 9.981e-05 train loss: 2.648531 train token_acc: 0.0506 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 1750 lr: 9.972e-05 train loss: 2.614444 train token_acc: 0.0739 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2000 lr: 9.960e-05 train loss: 2.581527 train token_acc: 0.0798 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2250 lr: 9.947e-05 train loss: 2.550878 train token_acc: 0.0991 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2500 lr: 9.931e-05 train loss: 2.530915 train token_acc: 0.1148 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 2750 lr: 9.914e-05 train loss: 2.504382 train token_acc: 0.1214 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3000 lr: 9.895e-05 train loss: 2.494205 train token_acc: 0.1198 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3250 lr: 9.874e-05 train loss: 2.467463 train token_acc: 0.1439 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3500 lr: 9.851e-05 train loss: 2.451410 train token_acc: 0.1521 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 3750 lr: 9.826e-05 train loss: 2.431794 train token_acc: 0.1638 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 4000 lr: 9.799e-05 train loss: 2.411834 train token_acc: 0.1669 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 4250 lr: 9.771e-05 train loss: 2.397239 train token_acc: 0.1698 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 4500 lr: 9.740e-05 train loss: 2.386973 train token_acc: 0.1853 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 4750 lr: 9.708e-05 train loss: 2.372463 train token_acc: 0.1907 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 5000 lr: 9.674e-05 train loss: 2.347838 train token_acc: 0.1907 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 5250 lr: 9.638e-05 train loss: 2.320317 train token_acc: 0.2069 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 5500 lr: 9.600e-05 train loss: 2.307351 train token_acc: 0.2138 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 5750 lr: 9.561e-05 train loss: 2.277398 train token_acc: 0.2180 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 6000 lr: 9.519e-05 train loss: 2.260984 train token_acc: 0.2201 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 6250 lr: 9.476e-05 train loss: 2.244566 train token_acc: 0.2286 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 6500 lr: 9.432e-05 train loss: 2.223033 train token_acc: 0.2381 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 6750 lr: 9.385e-05 train loss: 2.197598 train token_acc: 0.2449 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 7000 lr: 9.337e-05 train loss: 2.181794 train token_acc: 0.2568 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 7250 lr: 9.287e-05 train loss: 2.163160 train token_acc: 0.2612 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 7500 lr: 9.235e-05 train loss: 2.148915 train token_acc: 0.2710 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 7750 lr: 9.182e-05 train loss: 2.135687 train token_acc: 0.2677 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 8000 lr: 9.127e-05 train loss: 2.095443 train token_acc: 0.2832 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 8250 lr: 9.071e-05 train loss: 2.083250 train token_acc: 0.2856 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 8500 lr: 9.013e-05 train loss: 2.051159 train token_acc: 0.3000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 8750 lr: 8.953e-05 train loss: 2.037523 train token_acc: 0.3024 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 9000 lr: 8.892e-05 train loss: 2.022746 train token_acc: 0.3074 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 9250 lr: 8.829e-05 train loss: 1.996804 train token_acc: 0.3126 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 9500 lr: 8.765e-05 train loss: 1.982468 train token_acc: 0.3233 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 9750 lr: 8.700e-05 train loss: 1.957873 train token_acc: 0.3306 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 10000 lr: 8.632e-05 train loss: 1.930613 train token_acc: 0.3389 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 10250 lr: 8.564e-05 train loss: 1.918863 train token_acc: 0.3403 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 10500 lr: 8.494e-05 train loss: 1.899858 train token_acc: 0.3445 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 10750 lr: 8.423e-05 train loss: 1.877084 train token_acc: 0.3566 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 11000 lr: 8.351e-05 train loss: 1.859482 train token_acc: 0.3561 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 11250 lr: 8.277e-05 train loss: 1.849322 train token_acc: 0.3637 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 11500 lr: 8.202e-05 train loss: 1.825859 train token_acc: 0.3723 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 11750 lr: 8.125e-05 train loss: 1.832494 train token_acc: 0.3803 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 12000 lr: 8.048e-05 train loss: 1.790221 train token_acc: 0.3906 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 12250 lr: 7.969e-05 train loss: 1.776348 train token_acc: 0.3917 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 12500 lr: 7.889e-05 train loss: 1.767161 train token_acc: 0.4035 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 12750 lr: 7.808e-05 train loss: 1.737270 train token_acc: 0.4147 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 13000 lr: 7.726e-05 train loss: 1.729078 train token_acc: 0.4188 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 13250 lr: 7.643e-05 train loss: 1.703785 train token_acc: 0.4257 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 13500 lr: 7.559e-05 train loss: 1.691257 train token_acc: 0.4271 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 13750 lr: 7.474e-05 train loss: 1.669607 train token_acc: 0.4374 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 14000 lr: 7.388e-05 train loss: 1.645864 train token_acc: 0.4506 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 14250 lr: 7.301e-05 train loss: 1.625531 train token_acc: 0.4548 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 14500 lr: 7.213e-05 train loss: 1.613607 train token_acc: 0.4657 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 14750 lr: 7.124e-05 train loss: 1.610107 train token_acc: 0.4689 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 15000 lr: 7.035e-05 train loss: 1.572392 train token_acc: 0.4778 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 15250 lr: 6.944e-05 train loss: 1.564297 train token_acc: 0.4859 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 15500 lr: 6.853e-05 train loss: 1.548862 train token_acc: 0.4873 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 15750 lr: 6.761e-05 train loss: 1.521933 train token_acc: 0.4985 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 16000 lr: 6.669e-05 train loss: 1.508912 train token_acc: 0.5042 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 16250 lr: 6.576e-05 train loss: 1.488063 train token_acc: 0.5037 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 16500 lr: 6.482e-05 train loss: 1.469847 train token_acc: 0.5202 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 16750 lr: 6.388e-05 train loss: 1.457992 train token_acc: 0.5194 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 17000 lr: 6.293e-05 train loss: 1.433411 train token_acc: 0.5349 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 17250 lr: 6.198e-05 train loss: 1.413362 train token_acc: 0.5405 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 17500 lr: 6.102e-05 train loss: 1.412066 train token_acc: 0.5457 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 17750 lr: 6.006e-05 train loss: 1.378718 train token_acc: 0.5527 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 18000 lr: 5.910e-05 train loss: 1.363674 train token_acc: 0.5595 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 18250 lr: 5.813e-05 train loss: 1.352491 train token_acc: 0.5626 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 18500 lr: 5.716e-05 train loss: 1.336764 train token_acc: 0.5713 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 18750 lr: 5.618e-05 train loss: 1.323691 train token_acc: 0.5761 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 19000 lr: 5.521e-05 train loss: 1.301767 train token_acc: 0.5820 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 19250 lr: 5.423e-05 train loss: 1.293898 train token_acc: 0.5833 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 19500 lr: 5.325e-05 train loss: 1.279058 train token_acc: 0.5890 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 19750 lr: 5.227e-05 train loss: 1.272860 train token_acc: 0.5900 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 20000 lr: 5.129e-05 train loss: 1.271718 train token_acc: 0.5829 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
saved checkpoint: ./grid_outputs/len_gen_v128_e128_k32/task_0003/saved_models/Checkpoint_N128_d128_H1_L2_npos1_mlp0_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lencurriculum_trainK32to32_testK32to32_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 1.241226 train token_acc: 0.5983 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.73s)
itr: 20500 lr: 4.932e-05 train loss: 1.228293 train token_acc: 0.6033 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 20750 lr: 4.834e-05 train loss: 1.230050 train token_acc: 0.6067 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 21000 lr: 4.736e-05 train loss: 1.217237 train token_acc: 0.6073 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 21250 lr: 4.638e-05 train loss: 1.199997 train token_acc: 0.6117 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 21500 lr: 4.540e-05 train loss: 1.181999 train token_acc: 0.6170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 21750 lr: 4.443e-05 train loss: 1.174375 train token_acc: 0.6176 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 22000 lr: 4.346e-05 train loss: 1.164522 train token_acc: 0.6215 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 22250 lr: 4.249e-05 train loss: 1.152963 train token_acc: 0.6249 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 22500 lr: 4.152e-05 train loss: 1.141746 train token_acc: 0.6290 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 22750 lr: 4.055e-05 train loss: 1.133227 train token_acc: 0.6304 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 23000 lr: 3.959e-05 train loss: 1.121340 train token_acc: 0.6331 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 23250 lr: 3.864e-05 train loss: 1.114098 train token_acc: 0.6354 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 23500 lr: 3.769e-05 train loss: 1.101095 train token_acc: 0.6382 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 23750 lr: 3.674e-05 train loss: 1.104514 train token_acc: 0.6356 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 24000 lr: 3.580e-05 train loss: 1.090155 train token_acc: 0.6398 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 24250 lr: 3.487e-05 train loss: 1.078988 train token_acc: 0.6446 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 24500 lr: 3.394e-05 train loss: 1.071247 train token_acc: 0.6437 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 24750 lr: 3.302e-05 train loss: 1.061202 train token_acc: 0.6469 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 25000 lr: 3.210e-05 train loss: 1.046551 train token_acc: 0.6500 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 25250 lr: 3.119e-05 train loss: 1.049340 train token_acc: 0.6485 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 25500 lr: 3.029e-05 train loss: 1.041833 train token_acc: 0.6523 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 25750 lr: 2.940e-05 train loss: 1.029386 train token_acc: 0.6525 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
itr: 26000 lr: 2.852e-05 train loss: 1.024342 train token_acc: 0.6558 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.64s)
