training:  19%|█▉        | 7746/40000 [02:26<10:10, 52.86it/s]
itr: 0 lr: 2.494e-07 train loss: 6.463644 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 4.845402 train token_acc: 0.0085 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.76s)
itr: 500 lr: 1.000e-04 train loss: 3.001024 train token_acc: 0.1433 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.73s)
itr: 750 lr: 9.998e-05 train loss: 1.872898 train token_acc: 0.4366 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.73s)
itr: 1000 lr: 9.994e-05 train loss: 0.880662 train token_acc: 0.7324 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.73s)
itr: 1250 lr: 9.989e-05 train loss: 0.305176 train token_acc: 0.9134 train exact_match_acc: 0.0181 (K~32.00, min=32, max=32, dt=4.73s)
itr: 1500 lr: 9.981e-05 train loss: 0.084064 train token_acc: 0.9734 train exact_match_acc: 0.3433 (K~32.00, min=32, max=32, dt=4.73s)
itr: 1750 lr: 9.972e-05 train loss: 0.056270 train token_acc: 0.9814 train exact_match_acc: 0.5073 (K~32.00, min=32, max=32, dt=4.73s)
itr: 2000 lr: 9.960e-05 train loss: 0.046521 train token_acc: 0.9829 train exact_match_acc: 0.5288 (K~32.00, min=32, max=32, dt=4.73s)
itr: 2250 lr: 9.947e-05 train loss: 0.024786 train token_acc: 0.9913 train exact_match_acc: 0.7268 (K~32.00, min=32, max=32, dt=4.73s)
itr: 2500 lr: 9.931e-05 train loss: 0.023684 train token_acc: 0.9913 train exact_match_acc: 0.7246 (K~32.00, min=32, max=32, dt=4.73s)
itr: 2750 lr: 9.914e-05 train loss: 0.023142 train token_acc: 0.9913 train exact_match_acc: 0.7263 (K~32.00, min=32, max=32, dt=4.73s)
itr: 3000 lr: 9.895e-05 train loss: 0.021095 train token_acc: 0.9916 train exact_match_acc: 0.7332 (K~32.00, min=32, max=32, dt=4.73s)
itr: 3250 lr: 9.874e-05 train loss: 0.020295 train token_acc: 0.9917 train exact_match_acc: 0.7375 (K~32.00, min=32, max=32, dt=4.73s)
itr: 3500 lr: 9.851e-05 train loss: 0.020277 train token_acc: 0.9921 train exact_match_acc: 0.7490 (K~32.00, min=32, max=32, dt=4.73s)
itr: 3750 lr: 9.826e-05 train loss: 0.020150 train token_acc: 0.9917 train exact_match_acc: 0.7371 (K~32.00, min=32, max=32, dt=4.73s)
itr: 4000 lr: 9.799e-05 train loss: 0.019940 train token_acc: 0.9919 train exact_match_acc: 0.7405 (K~32.00, min=32, max=32, dt=4.73s)
itr: 4250 lr: 9.771e-05 train loss: 0.020089 train token_acc: 0.9918 train exact_match_acc: 0.7393 (K~32.00, min=32, max=32, dt=4.73s)
itr: 4500 lr: 9.740e-05 train loss: 0.019475 train token_acc: 0.9920 train exact_match_acc: 0.7439 (K~32.00, min=32, max=32, dt=4.73s)
itr: 4750 lr: 9.708e-05 train loss: 0.020148 train token_acc: 0.9916 train exact_match_acc: 0.7339 (K~32.00, min=32, max=32, dt=4.73s)
