training:  19%|█▉        | 7746/40000 [02:26<10:11, 52.77it/s]
itr: 0 lr: 2.494e-07 train loss: 4.943713 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.147702 train token_acc: 0.0096 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.78s)
itr: 500 lr: 1.000e-04 train loss: 2.759746 train token_acc: 0.1764 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 750 lr: 9.998e-05 train loss: 1.584865 train token_acc: 0.6340 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1000 lr: 9.994e-05 train loss: 0.628597 train token_acc: 0.8733 train exact_match_acc: 0.0195 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1250 lr: 9.989e-05 train loss: 0.187003 train token_acc: 0.9804 train exact_match_acc: 0.5020 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1500 lr: 9.981e-05 train loss: 0.079766 train token_acc: 0.9926 train exact_match_acc: 0.7791 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1750 lr: 9.972e-05 train loss: 0.046218 train token_acc: 0.9951 train exact_match_acc: 0.8486 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2000 lr: 9.960e-05 train loss: 0.032463 train token_acc: 0.9964 train exact_match_acc: 0.8865 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2250 lr: 9.947e-05 train loss: 0.024950 train token_acc: 0.9969 train exact_match_acc: 0.9021 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2500 lr: 9.931e-05 train loss: 0.022604 train token_acc: 0.9969 train exact_match_acc: 0.9041 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2750 lr: 9.914e-05 train loss: 0.020749 train token_acc: 0.9971 train exact_match_acc: 0.9082 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3000 lr: 9.895e-05 train loss: 0.018499 train token_acc: 0.9974 train exact_match_acc: 0.9182 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3250 lr: 9.874e-05 train loss: 0.015863 train token_acc: 0.9976 train exact_match_acc: 0.9243 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3500 lr: 9.851e-05 train loss: 0.014184 train token_acc: 0.9979 train exact_match_acc: 0.9329 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3750 lr: 9.826e-05 train loss: 0.014805 train token_acc: 0.9975 train exact_match_acc: 0.9221 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4000 lr: 9.799e-05 train loss: 0.012351 train token_acc: 0.9980 train exact_match_acc: 0.9351 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4250 lr: 9.771e-05 train loss: 0.011592 train token_acc: 0.9980 train exact_match_acc: 0.9377 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4500 lr: 9.740e-05 train loss: 0.011385 train token_acc: 0.9980 train exact_match_acc: 0.9377 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4750 lr: 9.708e-05 train loss: 0.010601 train token_acc: 0.9981 train exact_match_acc: 0.9377 (K~32.00, min=32, max=32, dt=4.74s)
