training:  19%|█▉        | 7746/40000 [02:27<10:11, 52.72it/s]
itr: 0 lr: 2.494e-07 train loss: 4.960929 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 4.154813 train token_acc: 0.0063 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.78s)
itr: 500 lr: 1.000e-04 train loss: 2.787638 train token_acc: 0.1578 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 750 lr: 9.998e-05 train loss: 1.668860 train token_acc: 0.6035 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1000 lr: 9.994e-05 train loss: 0.646781 train token_acc: 0.8705 train exact_match_acc: 0.0215 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1250 lr: 9.989e-05 train loss: 0.195731 train token_acc: 0.9785 train exact_match_acc: 0.4734 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1500 lr: 9.981e-05 train loss: 0.084219 train token_acc: 0.9919 train exact_match_acc: 0.7551 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1750 lr: 9.972e-05 train loss: 0.051443 train token_acc: 0.9948 train exact_match_acc: 0.8376 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2000 lr: 9.960e-05 train loss: 0.038120 train token_acc: 0.9958 train exact_match_acc: 0.8699 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2250 lr: 9.947e-05 train loss: 0.031178 train token_acc: 0.9962 train exact_match_acc: 0.8806 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2500 lr: 9.931e-05 train loss: 0.026878 train token_acc: 0.9965 train exact_match_acc: 0.8916 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2750 lr: 9.914e-05 train loss: 0.022645 train token_acc: 0.9970 train exact_match_acc: 0.9036 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3000 lr: 9.895e-05 train loss: 0.019387 train token_acc: 0.9972 train exact_match_acc: 0.9128 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3250 lr: 9.874e-05 train loss: 0.016257 train token_acc: 0.9976 train exact_match_acc: 0.9263 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3500 lr: 9.851e-05 train loss: 0.015577 train token_acc: 0.9977 train exact_match_acc: 0.9277 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3750 lr: 9.826e-05 train loss: 0.011682 train token_acc: 0.9982 train exact_match_acc: 0.9424 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4000 lr: 9.799e-05 train loss: 0.011644 train token_acc: 0.9982 train exact_match_acc: 0.9443 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4250 lr: 9.771e-05 train loss: 0.011165 train token_acc: 0.9982 train exact_match_acc: 0.9424 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4500 lr: 9.740e-05 train loss: 0.009980 train token_acc: 0.9983 train exact_match_acc: 0.9473 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4750 lr: 9.708e-05 train loss: 0.010005 train token_acc: 0.9983 train exact_match_acc: 0.9451 (K~32.00, min=32, max=32, dt=4.74s)
itr: 5000 lr: 9.674e-05 train loss: 0.008324 train token_acc: 0.9985 train exact_match_acc: 0.9509 (K~32.00, min=32, max=32, dt=4.74s)
itr: 5250 lr: 9.638e-05 train loss: 0.008191 train token_acc: 0.9985 train exact_match_acc: 0.9536 (K~32.00, min=32, max=32, dt=4.74s)
itr: 5500 lr: 9.600e-05 train loss: 0.007394 train token_acc: 0.9987 train exact_match_acc: 0.9585 (K~32.00, min=32, max=32, dt=4.74s)
itr: 5750 lr: 9.561e-05 train loss: 0.007744 train token_acc: 0.9986 train exact_match_acc: 0.9541 (K~32.00, min=32, max=32, dt=4.74s)
itr: 6000 lr: 9.519e-05 train loss: 0.006421 train token_acc: 0.9988 train exact_match_acc: 0.9612 (K~32.00, min=32, max=32, dt=4.74s)
itr: 6250 lr: 9.476e-05 train loss: 0.007148 train token_acc: 0.9985 train exact_match_acc: 0.9529 (K~32.00, min=32, max=32, dt=4.74s)
itr: 6500 lr: 9.432e-05 train loss: 0.006124 train token_acc: 0.9988 train exact_match_acc: 0.9626 (K~32.00, min=32, max=32, dt=4.74s)
itr: 6750 lr: 9.385e-05 train loss: 0.005681 train token_acc: 0.9989 train exact_match_acc: 0.9636 (K~32.00, min=32, max=32, dt=4.74s)
itr: 7000 lr: 9.337e-05 train loss: 0.006356 train token_acc: 0.9988 train exact_match_acc: 0.9626 (K~32.00, min=32, max=32, dt=4.74s)
itr: 7250 lr: 9.287e-05 train loss: 0.005611 train token_acc: 0.9989 train exact_match_acc: 0.9651 (K~32.00, min=32, max=32, dt=4.74s)
itr: 7500 lr: 9.235e-05 train loss: 0.005765 train token_acc: 0.9987 train exact_match_acc: 0.9600 (K~32.00, min=32, max=32, dt=4.74s)
itr: 7750 lr: 9.182e-05 train loss: 0.005834 train token_acc: 0.9988 train exact_match_acc: 0.9619 (K~32.00, min=32, max=32, dt=4.74s)
itr: 8000 lr: 9.127e-05 train loss: 0.005477 train token_acc: 0.9989 train exact_match_acc: 0.9663 (K~32.00, min=32, max=32, dt=4.74s)
itr: 8250 lr: 9.071e-05 train loss: 0.005333 train token_acc: 0.9989 train exact_match_acc: 0.9639 (K~32.00, min=32, max=32, dt=4.74s)
itr: 8500 lr: 9.013e-05 train loss: 0.004641 train token_acc: 0.9990 train exact_match_acc: 0.9680 (K~32.00, min=32, max=32, dt=4.74s)
itr: 8750 lr: 8.953e-05 train loss: 0.004703 train token_acc: 0.9990 train exact_match_acc: 0.9666 (K~32.00, min=32, max=32, dt=4.74s)
itr: 9000 lr: 8.892e-05 train loss: 0.005358 train token_acc: 0.9990 train exact_match_acc: 0.9675 (K~32.00, min=32, max=32, dt=4.74s)
itr: 9250 lr: 8.829e-05 train loss: 0.004839 train token_acc: 0.9991 train exact_match_acc: 0.9700 (K~32.00, min=32, max=32, dt=4.74s)
itr: 9500 lr: 8.765e-05 train loss: 0.004253 train token_acc: 0.9991 train exact_match_acc: 0.9719 (K~32.00, min=32, max=32, dt=4.74s)
itr: 9750 lr: 8.700e-05 train loss: 0.004749 train token_acc: 0.9990 train exact_match_acc: 0.9695 (K~32.00, min=32, max=32, dt=4.74s)
itr: 10000 lr: 8.632e-05 train loss: 0.004251 train token_acc: 0.9990 train exact_match_acc: 0.9688 (K~32.00, min=32, max=32, dt=4.74s)
itr: 10250 lr: 8.564e-05 train loss: 0.003491 train token_acc: 0.9991 train exact_match_acc: 0.9719 (K~32.00, min=32, max=32, dt=4.74s)
itr: 10500 lr: 8.494e-05 train loss: 0.003939 train token_acc: 0.9991 train exact_match_acc: 0.9722 (K~32.00, min=32, max=32, dt=4.74s)
itr: 10750 lr: 8.423e-05 train loss: 0.003384 train token_acc: 0.9991 train exact_match_acc: 0.9717 (K~32.00, min=32, max=32, dt=4.74s)
itr: 11000 lr: 8.351e-05 train loss: 0.003972 train token_acc: 0.9991 train exact_match_acc: 0.9712 (K~32.00, min=32, max=32, dt=4.74s)
