training:  19%|█▉        | 7746/40000 [02:26<10:10, 52.80it/s]
itr: 0 lr: 2.494e-07 train loss: 4.959008 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.35s)
itr: 250 lr: 6.259e-05 train loss: 4.184924 train token_acc: 0.0077 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.76s)
itr: 500 lr: 1.000e-04 train loss: 2.787546 train token_acc: 0.1565 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 750 lr: 9.998e-05 train loss: 1.633155 train token_acc: 0.6170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1000 lr: 9.994e-05 train loss: 0.607925 train token_acc: 0.8802 train exact_match_acc: 0.0291 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1250 lr: 9.989e-05 train loss: 0.176455 train token_acc: 0.9827 train exact_match_acc: 0.5430 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1500 lr: 9.981e-05 train loss: 0.074321 train token_acc: 0.9928 train exact_match_acc: 0.7825 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1750 lr: 9.972e-05 train loss: 0.047991 train token_acc: 0.9950 train exact_match_acc: 0.8459 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2000 lr: 9.960e-05 train loss: 0.039183 train token_acc: 0.9954 train exact_match_acc: 0.8574 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2250 lr: 9.947e-05 train loss: 0.030275 train token_acc: 0.9962 train exact_match_acc: 0.8816 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2500 lr: 9.931e-05 train loss: 0.023925 train token_acc: 0.9970 train exact_match_acc: 0.9067 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2750 lr: 9.914e-05 train loss: 0.021952 train token_acc: 0.9971 train exact_match_acc: 0.9077 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3000 lr: 9.895e-05 train loss: 0.020413 train token_acc: 0.9971 train exact_match_acc: 0.9080 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3250 lr: 9.874e-05 train loss: 0.019290 train token_acc: 0.9972 train exact_match_acc: 0.9119 (K~32.00, min=32, max=32, dt=4.74s)
