training:  19%|█▉        | 7746/40000 [02:27<10:11, 52.74it/s]
itr: 0 lr: 2.494e-07 train loss: 6.383589 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.863831 train token_acc: 0.0060 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.77s)
itr: 500 lr: 1.000e-04 train loss: 3.130067 train token_acc: 0.1185 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 750 lr: 9.998e-05 train loss: 1.794145 train token_acc: 0.4717 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1000 lr: 9.994e-05 train loss: 0.790609 train token_acc: 0.7681 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1250 lr: 9.989e-05 train loss: 0.191697 train token_acc: 0.9512 train exact_match_acc: 0.1816 (K~32.00, min=32, max=32, dt=4.74s)
itr: 1500 lr: 9.981e-05 train loss: 0.035581 train token_acc: 0.9911 train exact_match_acc: 0.7295 (K~32.00, min=32, max=32, dt=4.75s)
itr: 1750 lr: 9.972e-05 train loss: 0.005773 train token_acc: 0.9993 train exact_match_acc: 0.9783 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2000 lr: 9.960e-05 train loss: 0.003565 train token_acc: 0.9995 train exact_match_acc: 0.9829 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2250 lr: 9.947e-05 train loss: 0.001705 train token_acc: 0.9997 train exact_match_acc: 0.9919 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2500 lr: 9.931e-05 train loss: 0.001006 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=4.74s)
itr: 2750 lr: 9.914e-05 train loss: 0.001033 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3000 lr: 9.895e-05 train loss: 0.000678 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3250 lr: 9.874e-05 train loss: 0.000468 train token_acc: 0.9999 train exact_match_acc: 0.9971 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3500 lr: 9.851e-05 train loss: 0.000559 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=4.74s)
itr: 3750 lr: 9.826e-05 train loss: 0.000489 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4000 lr: 9.799e-05 train loss: 0.000487 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4250 lr: 9.771e-05 train loss: 0.000253 train token_acc: 1.0000 train exact_match_acc: 0.9988 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4500 lr: 9.740e-05 train loss: 0.000232 train token_acc: 1.0000 train exact_match_acc: 0.9988 (K~32.00, min=32, max=32, dt=4.74s)
itr: 4750 lr: 9.708e-05 train loss: 0.000122 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~32.00, min=32, max=32, dt=4.74s)
