training:  19%|█▉        | 7745/40000 [01:47<07:26, 72.27it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861670 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.845406 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.50s)
itr: 500 lr: 1.000e-04 train loss: 4.712881 train token_acc: 0.0084 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 750 lr: 9.998e-05 train loss: 3.966843 train token_acc: 0.0509 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1000 lr: 9.994e-05 train loss: 3.074600 train token_acc: 0.0747 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1250 lr: 9.989e-05 train loss: 2.810062 train token_acc: 0.1080 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1500 lr: 9.981e-05 train loss: 2.700371 train token_acc: 0.1291 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1750 lr: 9.972e-05 train loss: 2.656660 train token_acc: 0.1432 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2000 lr: 9.960e-05 train loss: 2.630674 train token_acc: 0.1530 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2250 lr: 9.947e-05 train loss: 2.611126 train token_acc: 0.1602 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2500 lr: 9.931e-05 train loss: 2.589222 train token_acc: 0.1647 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2750 lr: 9.914e-05 train loss: 2.571878 train token_acc: 0.1683 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3000 lr: 9.895e-05 train loss: 2.551630 train token_acc: 0.1720 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3250 lr: 9.874e-05 train loss: 2.535400 train token_acc: 0.1736 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3500 lr: 9.851e-05 train loss: 2.526175 train token_acc: 0.1752 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3750 lr: 9.826e-05 train loss: 2.509264 train token_acc: 0.1788 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4000 lr: 9.799e-05 train loss: 2.501594 train token_acc: 0.1809 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4250 lr: 9.771e-05 train loss: 2.493439 train token_acc: 0.1825 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4500 lr: 9.740e-05 train loss: 2.479027 train token_acc: 0.1838 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4750 lr: 9.708e-05 train loss: 2.474386 train token_acc: 0.1851 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5000 lr: 9.674e-05 train loss: 2.465453 train token_acc: 0.1882 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5250 lr: 9.638e-05 train loss: 2.458260 train token_acc: 0.1905 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5500 lr: 9.600e-05 train loss: 2.457261 train token_acc: 0.1903 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5750 lr: 9.561e-05 train loss: 2.450019 train token_acc: 0.1915 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 6000 lr: 9.519e-05 train loss: 2.444632 train token_acc: 0.1905 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 6250 lr: 9.476e-05 train loss: 2.444453 train token_acc: 0.1912 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 6500 lr: 9.432e-05 train loss: 2.438855 train token_acc: 0.1929 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 6750 lr: 9.385e-05 train loss: 2.432653 train token_acc: 0.1939 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 7000 lr: 9.337e-05 train loss: 2.432760 train token_acc: 0.1973 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 7250 lr: 9.287e-05 train loss: 2.430440 train token_acc: 0.1961 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 7500 lr: 9.235e-05 train loss: 2.429957 train token_acc: 0.1940 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 7750 lr: 9.182e-05 train loss: 2.424555 train token_acc: 0.1976 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 8000 lr: 9.127e-05 train loss: 2.420421 train token_acc: 0.1970 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 8250 lr: 9.071e-05 train loss: 2.421381 train token_acc: 0.1975 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 8500 lr: 9.013e-05 train loss: 2.416889 train token_acc: 0.1969 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 8750 lr: 8.953e-05 train loss: 2.417265 train token_acc: 0.1971 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 9000 lr: 8.892e-05 train loss: 2.416040 train token_acc: 0.1974 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 9250 lr: 8.829e-05 train loss: 2.412284 train token_acc: 0.2005 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 9500 lr: 8.765e-05 train loss: 2.409531 train token_acc: 0.2022 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 9750 lr: 8.700e-05 train loss: 2.407072 train token_acc: 0.2017 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 10000 lr: 8.632e-05 train loss: 2.405707 train token_acc: 0.2034 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 10250 lr: 8.564e-05 train loss: 2.404435 train token_acc: 0.2027 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 10500 lr: 8.494e-05 train loss: 2.402734 train token_acc: 0.2028 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 10750 lr: 8.423e-05 train loss: 2.401986 train token_acc: 0.2052 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 11000 lr: 8.351e-05 train loss: 2.398169 train token_acc: 0.2059 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 11250 lr: 8.277e-05 train loss: 2.398339 train token_acc: 0.2045 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 11500 lr: 8.202e-05 train loss: 2.398284 train token_acc: 0.2050 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 11750 lr: 8.125e-05 train loss: 2.395160 train token_acc: 0.2051 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 12000 lr: 8.048e-05 train loss: 2.393245 train token_acc: 0.2058 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 12250 lr: 7.969e-05 train loss: 2.395469 train token_acc: 0.2050 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 12500 lr: 7.889e-05 train loss: 2.392229 train token_acc: 0.2073 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 12750 lr: 7.808e-05 train loss: 2.391479 train token_acc: 0.2083 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 13000 lr: 7.726e-05 train loss: 2.393227 train token_acc: 0.2074 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 13250 lr: 7.643e-05 train loss: 2.388268 train token_acc: 0.2067 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 13500 lr: 7.559e-05 train loss: 2.390117 train token_acc: 0.2075 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 13750 lr: 7.474e-05 train loss: 2.388181 train token_acc: 0.2068 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 14000 lr: 7.388e-05 train loss: 2.386019 train token_acc: 0.2094 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 14250 lr: 7.301e-05 train loss: 2.385068 train token_acc: 0.2085 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
