training:  19%|█▉        | 7745/40000 [01:47<07:26, 72.30it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861340 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.845408 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.50s)
itr: 500 lr: 1.000e-04 train loss: 4.715042 train token_acc: 0.0061 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 750 lr: 9.998e-05 train loss: 4.013199 train token_acc: 0.0337 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1000 lr: 9.994e-05 train loss: 3.386570 train token_acc: 0.0565 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1250 lr: 9.989e-05 train loss: 2.890090 train token_acc: 0.0979 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1500 lr: 9.981e-05 train loss: 2.750302 train token_acc: 0.1223 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1750 lr: 9.972e-05 train loss: 2.662627 train token_acc: 0.1398 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2000 lr: 9.960e-05 train loss: 2.634079 train token_acc: 0.1523 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2250 lr: 9.947e-05 train loss: 2.602561 train token_acc: 0.1607 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2500 lr: 9.931e-05 train loss: 2.579880 train token_acc: 0.1644 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2750 lr: 9.914e-05 train loss: 2.565595 train token_acc: 0.1688 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3000 lr: 9.895e-05 train loss: 2.553525 train token_acc: 0.1693 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3250 lr: 9.874e-05 train loss: 2.539750 train token_acc: 0.1738 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3500 lr: 9.851e-05 train loss: 2.526706 train token_acc: 0.1749 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3750 lr: 9.826e-05 train loss: 2.514351 train token_acc: 0.1803 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4000 lr: 9.799e-05 train loss: 2.502097 train token_acc: 0.1821 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4250 lr: 9.771e-05 train loss: 2.492388 train token_acc: 0.1830 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4500 lr: 9.740e-05 train loss: 2.482093 train token_acc: 0.1854 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4750 lr: 9.708e-05 train loss: 2.475939 train token_acc: 0.1874 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5000 lr: 9.674e-05 train loss: 2.468549 train token_acc: 0.1896 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5250 lr: 9.638e-05 train loss: 2.452648 train token_acc: 0.1899 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5500 lr: 9.600e-05 train loss: 2.449557 train token_acc: 0.1908 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5750 lr: 9.561e-05 train loss: 2.442689 train token_acc: 0.1945 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 6000 lr: 9.519e-05 train loss: 2.437840 train token_acc: 0.1973 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 6250 lr: 9.476e-05 train loss: 2.437344 train token_acc: 0.1973 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 6500 lr: 9.432e-05 train loss: 2.425542 train token_acc: 0.1998 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 6750 lr: 9.385e-05 train loss: 2.424488 train token_acc: 0.2033 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 7000 lr: 9.337e-05 train loss: 2.417741 train token_acc: 0.2032 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 7250 lr: 9.287e-05 train loss: 2.408901 train token_acc: 0.2048 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
