training:  19%|█▉        | 7745/40000 [01:47<07:25, 72.36it/s]
itr: 0 lr: 2.494e-07 train loss: 4.880300 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.836027 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 500 lr: 1.000e-04 train loss: 4.611620 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 750 lr: 9.998e-05 train loss: 3.748335 train token_acc: 0.0023 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1000 lr: 9.994e-05 train loss: 3.020488 train token_acc: 0.0106 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 1250 lr: 9.989e-05 train loss: 2.804504 train token_acc: 0.0224 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1500 lr: 9.981e-05 train loss: 2.699454 train token_acc: 0.0379 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1750 lr: 9.972e-05 train loss: 2.646903 train token_acc: 0.0529 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2000 lr: 9.960e-05 train loss: 2.608296 train token_acc: 0.0699 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2250 lr: 9.947e-05 train loss: 2.582146 train token_acc: 0.0868 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2500 lr: 9.931e-05 train loss: 2.563553 train token_acc: 0.1029 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2750 lr: 9.914e-05 train loss: 2.540688 train token_acc: 0.1182 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3000 lr: 9.895e-05 train loss: 2.517409 train token_acc: 0.1345 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 3250 lr: 9.874e-05 train loss: 2.497818 train token_acc: 0.1497 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3500 lr: 9.851e-05 train loss: 2.473670 train token_acc: 0.1664 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 3750 lr: 9.826e-05 train loss: 2.450680 train token_acc: 0.1766 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4000 lr: 9.799e-05 train loss: 2.429550 train token_acc: 0.1869 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 4250 lr: 9.771e-05 train loss: 2.404804 train token_acc: 0.1952 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 4500 lr: 9.740e-05 train loss: 2.384547 train token_acc: 0.2036 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 4750 lr: 9.708e-05 train loss: 2.364065 train token_acc: 0.2141 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5000 lr: 9.674e-05 train loss: 2.346275 train token_acc: 0.2170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 5250 lr: 9.638e-05 train loss: 2.331656 train token_acc: 0.2254 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
