training:  19%|█▉        | 7746/40000 [01:47<07:25, 72.37it/s]
itr: 0 lr: 2.494e-07 train loss: 4.877791 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.48s)
itr: 250 lr: 6.259e-05 train loss: 4.832310 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.50s)
itr: 500 lr: 1.000e-04 train loss: 4.609972 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 750 lr: 9.998e-05 train loss: 3.772757 train token_acc: 0.0057 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1000 lr: 9.994e-05 train loss: 3.031498 train token_acc: 0.0108 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1250 lr: 9.989e-05 train loss: 2.789041 train token_acc: 0.0237 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1500 lr: 9.981e-05 train loss: 2.691591 train token_acc: 0.0378 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1750 lr: 9.972e-05 train loss: 2.648895 train token_acc: 0.0524 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2000 lr: 9.960e-05 train loss: 2.613704 train token_acc: 0.0695 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2250 lr: 9.947e-05 train loss: 2.585087 train token_acc: 0.0853 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2500 lr: 9.931e-05 train loss: 2.543567 train token_acc: 0.1038 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2750 lr: 9.914e-05 train loss: 2.502527 train token_acc: 0.1250 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3000 lr: 9.895e-05 train loss: 2.448224 train token_acc: 0.1490 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
