training:  19%|█▉        | 7745/40000 [01:47<07:25, 72.44it/s]
itr: 0 lr: 2.494e-07 train loss: 4.876952 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 4.832292 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 500 lr: 1.000e-04 train loss: 4.621076 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 750 lr: 9.998e-05 train loss: 3.848503 train token_acc: 0.0045 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 1000 lr: 9.994e-05 train loss: 3.083722 train token_acc: 0.0088 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 1250 lr: 9.989e-05 train loss: 2.810465 train token_acc: 0.0213 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 1500 lr: 9.981e-05 train loss: 2.698770 train token_acc: 0.0366 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 1750 lr: 9.972e-05 train loss: 2.643020 train token_acc: 0.0553 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2000 lr: 9.960e-05 train loss: 2.615346 train token_acc: 0.0701 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 2250 lr: 9.947e-05 train loss: 2.576565 train token_acc: 0.0898 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 2500 lr: 9.931e-05 train loss: 2.533088 train token_acc: 0.1091 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 2750 lr: 9.914e-05 train loss: 2.490444 train token_acc: 0.1329 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 3000 lr: 9.895e-05 train loss: 2.445774 train token_acc: 0.1611 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 3250 lr: 9.874e-05 train loss: 2.398460 train token_acc: 0.1813 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 3500 lr: 9.851e-05 train loss: 2.353281 train token_acc: 0.2026 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 3750 lr: 9.826e-05 train loss: 2.312138 train token_acc: 0.2213 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 4000 lr: 9.799e-05 train loss: 2.273914 train token_acc: 0.2390 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 4250 lr: 9.771e-05 train loss: 2.242941 train token_acc: 0.2521 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 4500 lr: 9.740e-05 train loss: 2.207899 train token_acc: 0.2648 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 4750 lr: 9.708e-05 train loss: 2.184718 train token_acc: 0.2753 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
