training:  19%|█▉        | 7745/40000 [01:47<07:25, 72.37it/s]
itr: 0 lr: 2.494e-07 train loss: 4.860548 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.845527 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.49s)
itr: 500 lr: 1.000e-04 train loss: 4.717814 train token_acc: 0.0046 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 750 lr: 9.998e-05 train loss: 4.012949 train token_acc: 0.0443 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1000 lr: 9.994e-05 train loss: 3.111924 train token_acc: 0.0756 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 1250 lr: 9.989e-05 train loss: 2.824527 train token_acc: 0.1085 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 1500 lr: 9.981e-05 train loss: 2.715055 train token_acc: 0.1271 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 1750 lr: 9.972e-05 train loss: 2.658112 train token_acc: 0.1438 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2000 lr: 9.960e-05 train loss: 2.625559 train token_acc: 0.1544 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 2250 lr: 9.947e-05 train loss: 2.605444 train token_acc: 0.1601 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 2500 lr: 9.931e-05 train loss: 2.588778 train token_acc: 0.1621 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 2750 lr: 9.914e-05 train loss: 2.568319 train token_acc: 0.1683 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3000 lr: 9.895e-05 train loss: 2.549500 train token_acc: 0.1698 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
itr: 3250 lr: 9.874e-05 train loss: 2.537552 train token_acc: 0.1724 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 3500 lr: 9.851e-05 train loss: 2.525404 train token_acc: 0.1772 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.45s)
