training:  19%|█▉        | 7744/40000 [01:31<06:19, 84.92it/s]
itr: 0 lr: 2.494e-07 train loss: 5.210944 train token_acc: 0.0070 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.794606 train token_acc: 0.0202 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.97s)
itr: 500 lr: 1.000e-04 train loss: 3.855470 train token_acc: 0.1244 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.95s)
itr: 750 lr: 9.998e-05 train loss: 2.697536 train token_acc: 0.3306 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.95s)
itr: 1000 lr: 9.994e-05 train loss: 1.580817 train token_acc: 0.6080 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.95s)
itr: 1250 lr: 9.989e-05 train loss: 0.868170 train token_acc: 0.7961 train exact_match_acc: 0.0295 (K~16.00, min=16, max=16, dt=2.95s)
itr: 1500 lr: 9.981e-05 train loss: 0.493233 train token_acc: 0.8947 train exact_match_acc: 0.1733 (K~16.00, min=16, max=16, dt=2.95s)
itr: 1750 lr: 9.972e-05 train loss: 0.292694 train token_acc: 0.9465 train exact_match_acc: 0.4111 (K~16.00, min=16, max=16, dt=2.95s)
itr: 2000 lr: 9.960e-05 train loss: 0.195606 train token_acc: 0.9660 train exact_match_acc: 0.5723 (K~16.00, min=16, max=16, dt=2.95s)
itr: 2250 lr: 9.947e-05 train loss: 0.138389 train token_acc: 0.9769 train exact_match_acc: 0.6824 (K~16.00, min=16, max=16, dt=2.95s)
itr: 2500 lr: 9.931e-05 train loss: 0.098439 train token_acc: 0.9841 train exact_match_acc: 0.7695 (K~16.00, min=16, max=16, dt=2.95s)
itr: 2750 lr: 9.914e-05 train loss: 0.080295 train token_acc: 0.9869 train exact_match_acc: 0.8081 (K~16.00, min=16, max=16, dt=2.95s)
itr: 3000 lr: 9.895e-05 train loss: 0.064795 train token_acc: 0.9893 train exact_match_acc: 0.8398 (K~16.00, min=16, max=16, dt=2.95s)
itr: 3250 lr: 9.874e-05 train loss: 0.053130 train token_acc: 0.9912 train exact_match_acc: 0.8694 (K~16.00, min=16, max=16, dt=2.95s)
itr: 3500 lr: 9.851e-05 train loss: 0.043091 train token_acc: 0.9929 train exact_match_acc: 0.8906 (K~16.00, min=16, max=16, dt=2.95s)
itr: 3750 lr: 9.826e-05 train loss: 0.036394 train token_acc: 0.9938 train exact_match_acc: 0.9043 (K~16.00, min=16, max=16, dt=2.95s)
itr: 4000 lr: 9.799e-05 train loss: 0.032650 train token_acc: 0.9942 train exact_match_acc: 0.9111 (K~16.00, min=16, max=16, dt=2.95s)
itr: 4250 lr: 9.771e-05 train loss: 0.028844 train token_acc: 0.9949 train exact_match_acc: 0.9238 (K~16.00, min=16, max=16, dt=2.95s)
itr: 4500 lr: 9.740e-05 train loss: 0.025007 train token_acc: 0.9959 train exact_match_acc: 0.9368 (K~16.00, min=16, max=16, dt=2.95s)
itr: 4750 lr: 9.708e-05 train loss: 0.023783 train token_acc: 0.9958 train exact_match_acc: 0.9358 (K~16.00, min=16, max=16, dt=2.95s)
itr: 5000 lr: 9.674e-05 train loss: 0.020482 train token_acc: 0.9962 train exact_match_acc: 0.9414 (K~16.00, min=16, max=16, dt=2.95s)
itr: 5250 lr: 9.638e-05 train loss: 0.020932 train token_acc: 0.9959 train exact_match_acc: 0.9385 (K~16.00, min=16, max=16, dt=2.95s)
itr: 5500 lr: 9.600e-05 train loss: 0.018678 train token_acc: 0.9965 train exact_match_acc: 0.9468 (K~16.00, min=16, max=16, dt=2.95s)
itr: 5750 lr: 9.561e-05 train loss: 0.016020 train token_acc: 0.9967 train exact_match_acc: 0.9485 (K~16.00, min=16, max=16, dt=2.95s)
itr: 6000 lr: 9.519e-05 train loss: 0.015996 train token_acc: 0.9969 train exact_match_acc: 0.9529 (K~16.00, min=16, max=16, dt=2.95s)
itr: 6250 lr: 9.476e-05 train loss: 0.016090 train token_acc: 0.9971 train exact_match_acc: 0.9558 (K~16.00, min=16, max=16, dt=2.95s)
itr: 6500 lr: 9.432e-05 train loss: 0.014410 train token_acc: 0.9971 train exact_match_acc: 0.9553 (K~16.00, min=16, max=16, dt=2.95s)
itr: 6750 lr: 9.385e-05 train loss: 0.012037 train token_acc: 0.9975 train exact_match_acc: 0.9597 (K~16.00, min=16, max=16, dt=2.95s)
itr: 7000 lr: 9.337e-05 train loss: 0.013884 train token_acc: 0.9972 train exact_match_acc: 0.9563 (K~16.00, min=16, max=16, dt=2.95s)
itr: 7250 lr: 9.287e-05 train loss: 0.011354 train token_acc: 0.9978 train exact_match_acc: 0.9656 (K~16.00, min=16, max=16, dt=2.95s)
itr: 7500 lr: 9.235e-05 train loss: 0.009983 train token_acc: 0.9981 train exact_match_acc: 0.9705 (K~16.00, min=16, max=16, dt=2.95s)
itr: 7750 lr: 9.182e-05 train loss: 0.010040 train token_acc: 0.9977 train exact_match_acc: 0.9639 (K~16.00, min=16, max=16, dt=2.95s)
itr: 8000 lr: 9.127e-05 train loss: 0.010359 train token_acc: 0.9978 train exact_match_acc: 0.9656 (K~16.00, min=16, max=16, dt=2.95s)
itr: 8250 lr: 9.071e-05 train loss: 0.009420 train token_acc: 0.9982 train exact_match_acc: 0.9731 (K~16.00, min=16, max=16, dt=2.95s)
itr: 8500 lr: 9.013e-05 train loss: 0.009642 train token_acc: 0.9980 train exact_match_acc: 0.9697 (K~16.00, min=16, max=16, dt=2.95s)
itr: 8750 lr: 8.953e-05 train loss: 0.009161 train token_acc: 0.9981 train exact_match_acc: 0.9702 (K~16.00, min=16, max=16, dt=2.95s)
itr: 9000 lr: 8.892e-05 train loss: 0.008433 train token_acc: 0.9982 train exact_match_acc: 0.9717 (K~16.00, min=16, max=16, dt=2.95s)
itr: 9250 lr: 8.829e-05 train loss: 0.008195 train token_acc: 0.9982 train exact_match_acc: 0.9719 (K~16.00, min=16, max=16, dt=2.95s)
itr: 9500 lr: 8.765e-05 train loss: 0.008779 train token_acc: 0.9982 train exact_match_acc: 0.9722 (K~16.00, min=16, max=16, dt=2.95s)
itr: 9750 lr: 8.700e-05 train loss: 0.006925 train token_acc: 0.9986 train exact_match_acc: 0.9792 (K~16.00, min=16, max=16, dt=2.95s)
itr: 10000 lr: 8.632e-05 train loss: 0.007171 train token_acc: 0.9983 train exact_match_acc: 0.9741 (K~16.00, min=16, max=16, dt=2.95s)
itr: 10250 lr: 8.564e-05 train loss: 0.007207 train token_acc: 0.9984 train exact_match_acc: 0.9749 (K~16.00, min=16, max=16, dt=2.95s)
itr: 10500 lr: 8.494e-05 train loss: 0.007187 train token_acc: 0.9985 train exact_match_acc: 0.9771 (K~16.00, min=16, max=16, dt=2.95s)
itr: 10750 lr: 8.423e-05 train loss: 0.006340 train token_acc: 0.9986 train exact_match_acc: 0.9788 (K~16.00, min=16, max=16, dt=2.95s)
itr: 11000 lr: 8.351e-05 train loss: 0.005384 train token_acc: 0.9987 train exact_match_acc: 0.9790 (K~16.00, min=16, max=16, dt=2.95s)
itr: 11250 lr: 8.277e-05 train loss: 0.005659 train token_acc: 0.9987 train exact_match_acc: 0.9802 (K~16.00, min=16, max=16, dt=2.95s)
itr: 11500 lr: 8.202e-05 train loss: 0.005570 train token_acc: 0.9987 train exact_match_acc: 0.9807 (K~16.00, min=16, max=16, dt=2.95s)
itr: 11750 lr: 8.125e-05 train loss: 0.006838 train token_acc: 0.9986 train exact_match_acc: 0.9771 (K~16.00, min=16, max=16, dt=2.95s)
itr: 12000 lr: 8.048e-05 train loss: 0.005903 train token_acc: 0.9986 train exact_match_acc: 0.9788 (K~16.00, min=16, max=16, dt=2.95s)
itr: 12250 lr: 7.969e-05 train loss: 0.006799 train token_acc: 0.9985 train exact_match_acc: 0.9771 (K~16.00, min=16, max=16, dt=2.95s)
itr: 12500 lr: 7.889e-05 train loss: 0.005327 train token_acc: 0.9986 train exact_match_acc: 0.9795 (K~16.00, min=16, max=16, dt=2.95s)
itr: 12750 lr: 7.808e-05 train loss: 0.004796 train token_acc: 0.9988 train exact_match_acc: 0.9819 (K~16.00, min=16, max=16, dt=2.95s)
itr: 13000 lr: 7.726e-05 train loss: 0.004942 train token_acc: 0.9989 train exact_match_acc: 0.9822 (K~16.00, min=16, max=16, dt=2.95s)
itr: 13250 lr: 7.643e-05 train loss: 0.003951 train token_acc: 0.9991 train exact_match_acc: 0.9868 (K~16.00, min=16, max=16, dt=2.95s)
itr: 13500 lr: 7.559e-05 train loss: 0.004755 train token_acc: 0.9989 train exact_match_acc: 0.9827 (K~16.00, min=16, max=16, dt=2.95s)
itr: 13750 lr: 7.474e-05 train loss: 0.004512 train token_acc: 0.9988 train exact_match_acc: 0.9812 (K~16.00, min=16, max=16, dt=2.95s)
itr: 14000 lr: 7.388e-05 train loss: 0.005117 train token_acc: 0.9987 train exact_match_acc: 0.9792 (K~16.00, min=16, max=16, dt=2.95s)
itr: 14250 lr: 7.301e-05 train loss: 0.004258 train token_acc: 0.9989 train exact_match_acc: 0.9832 (K~16.00, min=16, max=16, dt=2.95s)
itr: 14500 lr: 7.213e-05 train loss: 0.004240 train token_acc: 0.9989 train exact_match_acc: 0.9834 (K~16.00, min=16, max=16, dt=2.95s)
itr: 14750 lr: 7.124e-05 train loss: 0.005615 train token_acc: 0.9986 train exact_match_acc: 0.9780 (K~16.00, min=16, max=16, dt=2.95s)
itr: 15000 lr: 7.035e-05 train loss: 0.004265 train token_acc: 0.9990 train exact_match_acc: 0.9844 (K~16.00, min=16, max=16, dt=2.95s)
itr: 15250 lr: 6.944e-05 train loss: 0.004115 train token_acc: 0.9990 train exact_match_acc: 0.9841 (K~16.00, min=16, max=16, dt=2.95s)
itr: 15500 lr: 6.853e-05 train loss: 0.003507 train token_acc: 0.9991 train exact_match_acc: 0.9871 (K~16.00, min=16, max=16, dt=2.95s)
itr: 15750 lr: 6.761e-05 train loss: 0.004170 train token_acc: 0.9990 train exact_match_acc: 0.9839 (K~16.00, min=16, max=16, dt=2.95s)
itr: 16000 lr: 6.669e-05 train loss: 0.003881 train token_acc: 0.9990 train exact_match_acc: 0.9849 (K~16.00, min=16, max=16, dt=2.95s)
itr: 16250 lr: 6.576e-05 train loss: 0.003759 train token_acc: 0.9990 train exact_match_acc: 0.9849 (K~16.00, min=16, max=16, dt=2.95s)
itr: 16500 lr: 6.482e-05 train loss: 0.004597 train token_acc: 0.9988 train exact_match_acc: 0.9810 (K~16.00, min=16, max=16, dt=2.95s)
itr: 16750 lr: 6.388e-05 train loss: 0.004355 train token_acc: 0.9989 train exact_match_acc: 0.9827 (K~16.00, min=16, max=16, dt=2.95s)
itr: 17000 lr: 6.293e-05 train loss: 0.003806 train token_acc: 0.9990 train exact_match_acc: 0.9856 (K~16.00, min=16, max=16, dt=2.95s)
itr: 17250 lr: 6.198e-05 train loss: 0.004064 train token_acc: 0.9990 train exact_match_acc: 0.9856 (K~16.00, min=16, max=16, dt=2.95s)
itr: 17500 lr: 6.102e-05 train loss: 0.003900 train token_acc: 0.9990 train exact_match_acc: 0.9841 (K~16.00, min=16, max=16, dt=2.95s)
itr: 17750 lr: 6.006e-05 train loss: 0.004029 train token_acc: 0.9990 train exact_match_acc: 0.9854 (K~16.00, min=16, max=16, dt=2.95s)
itr: 18000 lr: 5.910e-05 train loss: 0.003657 train token_acc: 0.9991 train exact_match_acc: 0.9863 (K~16.00, min=16, max=16, dt=2.95s)
itr: 18250 lr: 5.813e-05 train loss: 0.004486 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=2.95s)
itr: 18500 lr: 5.716e-05 train loss: 0.004240 train token_acc: 0.9989 train exact_match_acc: 0.9836 (K~16.00, min=16, max=16, dt=2.95s)
itr: 18750 lr: 5.618e-05 train loss: 0.003782 train token_acc: 0.9991 train exact_match_acc: 0.9856 (K~16.00, min=16, max=16, dt=2.95s)
itr: 19000 lr: 5.521e-05 train loss: 0.003351 train token_acc: 0.9992 train exact_match_acc: 0.9878 (K~16.00, min=16, max=16, dt=2.95s)
itr: 19250 lr: 5.423e-05 train loss: 0.004268 train token_acc: 0.9990 train exact_match_acc: 0.9841 (K~16.00, min=16, max=16, dt=2.95s)
itr: 19500 lr: 5.325e-05 train loss: 0.003036 train token_acc: 0.9991 train exact_match_acc: 0.9863 (K~16.00, min=16, max=16, dt=2.95s)
itr: 19750 lr: 5.227e-05 train loss: 0.003598 train token_acc: 0.9991 train exact_match_acc: 0.9868 (K~16.00, min=16, max=16, dt=2.95s)
itr: 20000 lr: 5.129e-05 train loss: 0.002856 train token_acc: 0.9993 train exact_match_acc: 0.9888 (K~16.00, min=16, max=16, dt=2.95s)
saved checkpoint: ./grid_outputs/len_gen_v128_e64_k16/task_0000/saved_models/Checkpoint_N128_d64_H1_L2_npos1_mlp0_ln1_normlayernorm_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.003816 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=2.96s)
itr: 20500 lr: 4.932e-05 train loss: 0.003277 train token_acc: 0.9992 train exact_match_acc: 0.9871 (K~16.00, min=16, max=16, dt=2.95s)
itr: 20750 lr: 4.834e-05 train loss: 0.003366 train token_acc: 0.9991 train exact_match_acc: 0.9856 (K~16.00, min=16, max=16, dt=2.95s)
itr: 21000 lr: 4.736e-05 train loss: 0.004411 train token_acc: 0.9989 train exact_match_acc: 0.9827 (K~16.00, min=16, max=16, dt=2.95s)
itr: 21250 lr: 4.638e-05 train loss: 0.003358 train token_acc: 0.9993 train exact_match_acc: 0.9885 (K~16.00, min=16, max=16, dt=2.95s)
itr: 21500 lr: 4.540e-05 train loss: 0.003395 train token_acc: 0.9991 train exact_match_acc: 0.9863 (K~16.00, min=16, max=16, dt=2.95s)
itr: 21750 lr: 4.443e-05 train loss: 0.003224 train token_acc: 0.9993 train exact_match_acc: 0.9890 (K~16.00, min=16, max=16, dt=2.95s)
itr: 22000 lr: 4.346e-05 train loss: 0.002951 train token_acc: 0.9994 train exact_match_acc: 0.9902 (K~16.00, min=16, max=16, dt=2.95s)
itr: 22250 lr: 4.249e-05 train loss: 0.002772 train token_acc: 0.9992 train exact_match_acc: 0.9878 (K~16.00, min=16, max=16, dt=2.95s)
itr: 22500 lr: 4.152e-05 train loss: 0.002668 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=2.95s)
