training:  19%|█▉        | 7744/40000 [01:31<06:21, 84.60it/s]
itr: 0 lr: 2.494e-07 train loss: 5.215198 train token_acc: 0.0064 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.809146 train token_acc: 0.0173 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.99s)
itr: 500 lr: 1.000e-04 train loss: 3.798419 train token_acc: 0.1243 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.96s)
itr: 750 lr: 9.998e-05 train loss: 2.710396 train token_acc: 0.3246 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.96s)
itr: 1000 lr: 9.994e-05 train loss: 1.706180 train token_acc: 0.5702 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.96s)
itr: 1250 lr: 9.989e-05 train loss: 1.023153 train token_acc: 0.7519 train exact_match_acc: 0.0142 (K~16.00, min=16, max=16, dt=2.96s)
itr: 1500 lr: 9.981e-05 train loss: 0.594516 train token_acc: 0.8691 train exact_match_acc: 0.1062 (K~16.00, min=16, max=16, dt=2.96s)
itr: 1750 lr: 9.972e-05 train loss: 0.364154 train token_acc: 0.9261 train exact_match_acc: 0.2986 (K~16.00, min=16, max=16, dt=2.96s)
itr: 2000 lr: 9.960e-05 train loss: 0.240872 train token_acc: 0.9560 train exact_match_acc: 0.4868 (K~16.00, min=16, max=16, dt=2.96s)
itr: 2250 lr: 9.947e-05 train loss: 0.171471 train token_acc: 0.9698 train exact_match_acc: 0.6052 (K~16.00, min=16, max=16, dt=2.96s)
itr: 2500 lr: 9.931e-05 train loss: 0.129327 train token_acc: 0.9777 train exact_match_acc: 0.6904 (K~16.00, min=16, max=16, dt=2.96s)
itr: 2750 lr: 9.914e-05 train loss: 0.103729 train token_acc: 0.9814 train exact_match_acc: 0.7349 (K~16.00, min=16, max=16, dt=2.96s)
itr: 3000 lr: 9.895e-05 train loss: 0.085873 train token_acc: 0.9850 train exact_match_acc: 0.7827 (K~16.00, min=16, max=16, dt=2.96s)
itr: 3250 lr: 9.874e-05 train loss: 0.072166 train token_acc: 0.9876 train exact_match_acc: 0.8188 (K~16.00, min=16, max=16, dt=2.96s)
itr: 3500 lr: 9.851e-05 train loss: 0.057004 train token_acc: 0.9899 train exact_match_acc: 0.8481 (K~16.00, min=16, max=16, dt=2.96s)
itr: 3750 lr: 9.826e-05 train loss: 0.050769 train token_acc: 0.9904 train exact_match_acc: 0.8584 (K~16.00, min=16, max=16, dt=2.96s)
itr: 4000 lr: 9.799e-05 train loss: 0.040306 train token_acc: 0.9926 train exact_match_acc: 0.8894 (K~16.00, min=16, max=16, dt=2.96s)
itr: 4250 lr: 9.771e-05 train loss: 0.035654 train token_acc: 0.9931 train exact_match_acc: 0.8967 (K~16.00, min=16, max=16, dt=2.96s)
itr: 4500 lr: 9.740e-05 train loss: 0.034229 train token_acc: 0.9931 train exact_match_acc: 0.8960 (K~16.00, min=16, max=16, dt=2.96s)
itr: 4750 lr: 9.708e-05 train loss: 0.028574 train token_acc: 0.9946 train exact_match_acc: 0.9165 (K~16.00, min=16, max=16, dt=2.96s)
itr: 5000 lr: 9.674e-05 train loss: 0.026531 train token_acc: 0.9948 train exact_match_acc: 0.9207 (K~16.00, min=16, max=16, dt=2.96s)
itr: 5250 lr: 9.638e-05 train loss: 0.023854 train token_acc: 0.9950 train exact_match_acc: 0.9221 (K~16.00, min=16, max=16, dt=2.96s)
itr: 5500 lr: 9.600e-05 train loss: 0.022184 train token_acc: 0.9954 train exact_match_acc: 0.9287 (K~16.00, min=16, max=16, dt=2.96s)
itr: 5750 lr: 9.561e-05 train loss: 0.020585 train token_acc: 0.9955 train exact_match_acc: 0.9302 (K~16.00, min=16, max=16, dt=2.96s)
itr: 6000 lr: 9.519e-05 train loss: 0.021396 train token_acc: 0.9953 train exact_match_acc: 0.9285 (K~16.00, min=16, max=16, dt=2.96s)
