training:  19%|█▉        | 7744/40000 [01:31<06:20, 84.82it/s]
itr: 0 lr: 2.494e-07 train loss: 5.243879 train token_acc: 0.0062 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.823489 train token_acc: 0.0166 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.99s)
itr: 500 lr: 1.000e-04 train loss: 3.855370 train token_acc: 0.1065 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.95s)
itr: 750 lr: 9.998e-05 train loss: 2.717337 train token_acc: 0.3120 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.95s)
itr: 1000 lr: 9.994e-05 train loss: 1.472792 train token_acc: 0.6400 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.95s)
itr: 1250 lr: 9.989e-05 train loss: 0.740472 train token_acc: 0.8347 train exact_match_acc: 0.0662 (K~16.00, min=16, max=16, dt=2.95s)
itr: 1500 lr: 9.981e-05 train loss: 0.386889 train token_acc: 0.9261 train exact_match_acc: 0.2861 (K~16.00, min=16, max=16, dt=2.95s)
itr: 1750 lr: 9.972e-05 train loss: 0.217380 train token_acc: 0.9643 train exact_match_acc: 0.5452 (K~16.00, min=16, max=16, dt=2.95s)
itr: 2000 lr: 9.960e-05 train loss: 0.135033 train token_acc: 0.9814 train exact_match_acc: 0.7310 (K~16.00, min=16, max=16, dt=2.95s)
itr: 2250 lr: 9.947e-05 train loss: 0.089352 train token_acc: 0.9878 train exact_match_acc: 0.8130 (K~16.00, min=16, max=16, dt=2.95s)
itr: 2500 lr: 9.931e-05 train loss: 0.066639 train token_acc: 0.9909 train exact_match_acc: 0.8574 (K~16.00, min=16, max=16, dt=2.95s)
itr: 2750 lr: 9.914e-05 train loss: 0.050947 train token_acc: 0.9930 train exact_match_acc: 0.8904 (K~16.00, min=16, max=16, dt=2.95s)
itr: 3000 lr: 9.895e-05 train loss: 0.040044 train token_acc: 0.9942 train exact_match_acc: 0.9077 (K~16.00, min=16, max=16, dt=2.95s)
itr: 3250 lr: 9.874e-05 train loss: 0.031275 train token_acc: 0.9957 train exact_match_acc: 0.9312 (K~16.00, min=16, max=16, dt=2.95s)
itr: 3500 lr: 9.851e-05 train loss: 0.026932 train token_acc: 0.9957 train exact_match_acc: 0.9326 (K~16.00, min=16, max=16, dt=2.95s)
itr: 3750 lr: 9.826e-05 train loss: 0.022266 train token_acc: 0.9965 train exact_match_acc: 0.9441 (K~16.00, min=16, max=16, dt=2.95s)
itr: 4000 lr: 9.799e-05 train loss: 0.021118 train token_acc: 0.9964 train exact_match_acc: 0.9426 (K~16.00, min=16, max=16, dt=2.95s)
itr: 4250 lr: 9.771e-05 train loss: 0.016044 train token_acc: 0.9973 train exact_match_acc: 0.9565 (K~16.00, min=16, max=16, dt=2.95s)
itr: 4500 lr: 9.740e-05 train loss: 0.014951 train token_acc: 0.9974 train exact_match_acc: 0.9585 (K~16.00, min=16, max=16, dt=2.95s)
itr: 4750 lr: 9.708e-05 train loss: 0.013658 train token_acc: 0.9976 train exact_match_acc: 0.9612 (K~16.00, min=16, max=16, dt=2.95s)
itr: 5000 lr: 9.674e-05 train loss: 0.011297 train token_acc: 0.9978 train exact_match_acc: 0.9653 (K~16.00, min=16, max=16, dt=2.95s)
itr: 5250 lr: 9.638e-05 train loss: 0.010368 train token_acc: 0.9982 train exact_match_acc: 0.9709 (K~16.00, min=16, max=16, dt=2.95s)
itr: 5500 lr: 9.600e-05 train loss: 0.009938 train token_acc: 0.9983 train exact_match_acc: 0.9722 (K~16.00, min=16, max=16, dt=2.95s)
itr: 5750 lr: 9.561e-05 train loss: 0.009194 train token_acc: 0.9983 train exact_match_acc: 0.9724 (K~16.00, min=16, max=16, dt=2.95s)
itr: 6000 lr: 9.519e-05 train loss: 0.009225 train token_acc: 0.9981 train exact_match_acc: 0.9702 (K~16.00, min=16, max=16, dt=2.95s)
itr: 6250 lr: 9.476e-05 train loss: 0.008291 train token_acc: 0.9985 train exact_match_acc: 0.9763 (K~16.00, min=16, max=16, dt=2.95s)
itr: 6500 lr: 9.432e-05 train loss: 0.007447 train token_acc: 0.9984 train exact_match_acc: 0.9753 (K~16.00, min=16, max=16, dt=2.95s)
itr: 6750 lr: 9.385e-05 train loss: 0.006349 train token_acc: 0.9987 train exact_match_acc: 0.9788 (K~16.00, min=16, max=16, dt=2.95s)
itr: 7000 lr: 9.337e-05 train loss: 0.006377 train token_acc: 0.9987 train exact_match_acc: 0.9788 (K~16.00, min=16, max=16, dt=2.95s)
itr: 7250 lr: 9.287e-05 train loss: 0.005224 train token_acc: 0.9989 train exact_match_acc: 0.9819 (K~16.00, min=16, max=16, dt=2.95s)
itr: 7500 lr: 9.235e-05 train loss: 0.007028 train token_acc: 0.9986 train exact_match_acc: 0.9780 (K~16.00, min=16, max=16, dt=2.95s)
itr: 7750 lr: 9.182e-05 train loss: 0.006307 train token_acc: 0.9986 train exact_match_acc: 0.9778 (K~16.00, min=16, max=16, dt=2.95s)
itr: 8000 lr: 9.127e-05 train loss: 0.005380 train token_acc: 0.9988 train exact_match_acc: 0.9814 (K~16.00, min=16, max=16, dt=2.95s)
itr: 8250 lr: 9.071e-05 train loss: 0.005166 train token_acc: 0.9990 train exact_match_acc: 0.9834 (K~16.00, min=16, max=16, dt=2.95s)
itr: 8500 lr: 9.013e-05 train loss: 0.004356 train token_acc: 0.9989 train exact_match_acc: 0.9827 (K~16.00, min=16, max=16, dt=2.95s)
