training:  19%|█▉        | 7749/40000 [01:19<05:29, 97.92it/s]
itr: 0 lr: 2.494e-07 train loss: 4.872222 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.796444 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.59s)
itr: 500 lr: 1.000e-04 train loss: 3.933966 train token_acc: 0.0398 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.56s)
itr: 750 lr: 9.998e-05 train loss: 3.069650 train token_acc: 0.1083 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.56s)
itr: 1000 lr: 9.994e-05 train loss: 2.760937 train token_acc: 0.1889 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.56s)
itr: 1250 lr: 9.989e-05 train loss: 2.366551 train token_acc: 0.3028 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.56s)
itr: 1500 lr: 9.981e-05 train loss: 1.914815 train token_acc: 0.4410 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.56s)
itr: 1750 lr: 9.972e-05 train loss: 1.494881 train token_acc: 0.5643 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.56s)
itr: 2000 lr: 9.960e-05 train loss: 1.154073 train token_acc: 0.6623 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.56s)
itr: 2250 lr: 9.947e-05 train loss: 0.912561 train token_acc: 0.7317 train exact_match_acc: 0.0093 (K~16.00, min=16, max=16, dt=2.56s)
itr: 2500 lr: 9.931e-05 train loss: 0.744428 train token_acc: 0.7810 train exact_match_acc: 0.0203 (K~16.00, min=16, max=16, dt=2.56s)
itr: 2750 lr: 9.914e-05 train loss: 0.634796 train token_acc: 0.8188 train exact_match_acc: 0.0557 (K~16.00, min=16, max=16, dt=2.56s)
itr: 3000 lr: 9.895e-05 train loss: 0.534809 train token_acc: 0.8473 train exact_match_acc: 0.0828 (K~16.00, min=16, max=16, dt=2.56s)
itr: 3250 lr: 9.874e-05 train loss: 0.459639 train token_acc: 0.8685 train exact_match_acc: 0.1184 (K~16.00, min=16, max=16, dt=2.56s)
itr: 3500 lr: 9.851e-05 train loss: 0.405876 train token_acc: 0.8846 train exact_match_acc: 0.1567 (K~16.00, min=16, max=16, dt=2.56s)
itr: 3750 lr: 9.826e-05 train loss: 0.359817 train token_acc: 0.8999 train exact_match_acc: 0.2036 (K~16.00, min=16, max=16, dt=2.56s)
itr: 4000 lr: 9.799e-05 train loss: 0.317362 train token_acc: 0.9131 train exact_match_acc: 0.2554 (K~16.00, min=16, max=16, dt=2.56s)
itr: 4250 lr: 9.771e-05 train loss: 0.278521 train token_acc: 0.9217 train exact_match_acc: 0.2922 (K~16.00, min=16, max=16, dt=2.56s)
itr: 4500 lr: 9.740e-05 train loss: 0.249375 train token_acc: 0.9329 train exact_match_acc: 0.3521 (K~16.00, min=16, max=16, dt=2.56s)
itr: 4750 lr: 9.708e-05 train loss: 0.224219 train token_acc: 0.9398 train exact_match_acc: 0.3904 (K~16.00, min=16, max=16, dt=2.56s)
