training:  19%|█▉        | 7745/40000 [01:01<04:13, 127.05it/s]
itr: 0 lr: 2.494e-07 train loss: 4.868966 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.34s)
itr: 250 lr: 6.259e-05 train loss: 4.844278 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.00s)
itr: 500 lr: 1.000e-04 train loss: 4.734004 train token_acc: 0.0026 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 750 lr: 9.998e-05 train loss: 4.346813 train token_acc: 0.0175 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1000 lr: 9.994e-05 train loss: 3.810932 train token_acc: 0.0516 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1250 lr: 9.989e-05 train loss: 3.419610 train token_acc: 0.0880 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1500 lr: 9.981e-05 train loss: 3.090103 train token_acc: 0.1372 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1750 lr: 9.972e-05 train loss: 2.894367 train token_acc: 0.1781 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2000 lr: 9.960e-05 train loss: 2.746757 train token_acc: 0.2074 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2250 lr: 9.947e-05 train loss: 2.592448 train token_acc: 0.2455 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2500 lr: 9.931e-05 train loss: 2.445463 train token_acc: 0.2842 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2750 lr: 9.914e-05 train loss: 2.279325 train token_acc: 0.3270 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3000 lr: 9.895e-05 train loss: 2.111741 train token_acc: 0.3697 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3250 lr: 9.874e-05 train loss: 1.961575 train token_acc: 0.4087 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3500 lr: 9.851e-05 train loss: 1.780049 train token_acc: 0.4579 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3750 lr: 9.826e-05 train loss: 1.612616 train token_acc: 0.5039 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 4000 lr: 9.799e-05 train loss: 1.470298 train token_acc: 0.5468 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 4250 lr: 9.771e-05 train loss: 1.367544 train token_acc: 0.5747 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.97s)
itr: 4500 lr: 9.740e-05 train loss: 1.274536 train token_acc: 0.6021 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=1.97s)
itr: 4750 lr: 9.708e-05 train loss: 1.204673 train token_acc: 0.6247 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=1.97s)
itr: 5000 lr: 9.674e-05 train loss: 1.124262 train token_acc: 0.6428 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=1.97s)
itr: 5250 lr: 9.638e-05 train loss: 1.077259 train token_acc: 0.6622 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=1.97s)
itr: 5500 lr: 9.600e-05 train loss: 1.017381 train token_acc: 0.6765 train exact_match_acc: 0.0012 (K~16.00, min=16, max=16, dt=1.97s)
itr: 5750 lr: 9.561e-05 train loss: 0.984189 train token_acc: 0.6851 train exact_match_acc: 0.0034 (K~16.00, min=16, max=16, dt=1.97s)
itr: 6000 lr: 9.519e-05 train loss: 0.950301 train token_acc: 0.7027 train exact_match_acc: 0.0037 (K~16.00, min=16, max=16, dt=1.97s)
itr: 6250 lr: 9.476e-05 train loss: 0.913905 train token_acc: 0.7097 train exact_match_acc: 0.0071 (K~16.00, min=16, max=16, dt=1.97s)
