training:  19%|█▉        | 7745/40000 [01:01<04:13, 127.20it/s]
itr: 0 lr: 2.494e-07 train loss: 4.862506 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.848938 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.01s)
itr: 500 lr: 1.000e-04 train loss: 4.798042 train token_acc: 0.0152 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 750 lr: 9.998e-05 train loss: 4.571092 train token_acc: 0.0220 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1000 lr: 9.994e-05 train loss: 4.112261 train token_acc: 0.0334 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1250 lr: 9.989e-05 train loss: 3.453713 train token_acc: 0.0556 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1500 lr: 9.981e-05 train loss: 3.249629 train token_acc: 0.0703 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1750 lr: 9.972e-05 train loss: 3.196204 train token_acc: 0.0753 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2000 lr: 9.960e-05 train loss: 3.145116 train token_acc: 0.0797 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2250 lr: 9.947e-05 train loss: 3.110605 train token_acc: 0.0806 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2500 lr: 9.931e-05 train loss: 3.082377 train token_acc: 0.0858 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2750 lr: 9.914e-05 train loss: 3.045951 train token_acc: 0.0909 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3000 lr: 9.895e-05 train loss: 3.007899 train token_acc: 0.0947 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
