training:  19%|█▉        | 7750/40000 [01:19<05:28, 98.25it/s]
itr: 0 lr: 2.494e-07 train loss: 4.874433 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.798990 train token_acc: 0.0005 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.57s)
itr: 500 lr: 1.000e-04 train loss: 3.974735 train token_acc: 0.0444 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.54s)
itr: 750 lr: 9.998e-05 train loss: 3.045404 train token_acc: 0.1175 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.55s)
itr: 1000 lr: 9.994e-05 train loss: 2.615782 train token_acc: 0.2316 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.54s)
itr: 1250 lr: 9.989e-05 train loss: 2.100222 train token_acc: 0.3859 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.55s)
itr: 1500 lr: 9.981e-05 train loss: 1.662555 train token_acc: 0.5186 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.54s)
itr: 1750 lr: 9.972e-05 train loss: 1.336702 train token_acc: 0.6135 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.55s)
itr: 2000 lr: 9.960e-05 train loss: 1.111838 train token_acc: 0.6747 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=2.54s)
itr: 2250 lr: 9.947e-05 train loss: 0.952377 train token_acc: 0.7185 train exact_match_acc: 0.0046 (K~16.00, min=16, max=16, dt=2.55s)
itr: 2500 lr: 9.931e-05 train loss: 0.831001 train token_acc: 0.7557 train exact_match_acc: 0.0161 (K~16.00, min=16, max=16, dt=2.54s)
itr: 2750 lr: 9.914e-05 train loss: 0.727345 train token_acc: 0.7882 train exact_match_acc: 0.0254 (K~16.00, min=16, max=16, dt=2.55s)
itr: 3000 lr: 9.895e-05 train loss: 0.630931 train token_acc: 0.8173 train exact_match_acc: 0.0457 (K~16.00, min=16, max=16, dt=2.54s)
itr: 3250 lr: 9.874e-05 train loss: 0.555424 train token_acc: 0.8412 train exact_match_acc: 0.0781 (K~16.00, min=16, max=16, dt=2.55s)
itr: 3500 lr: 9.851e-05 train loss: 0.487094 train token_acc: 0.8605 train exact_match_acc: 0.1101 (K~16.00, min=16, max=16, dt=2.54s)
itr: 3750 lr: 9.826e-05 train loss: 0.434554 train token_acc: 0.8746 train exact_match_acc: 0.1411 (K~16.00, min=16, max=16, dt=2.55s)
itr: 4000 lr: 9.799e-05 train loss: 0.392518 train token_acc: 0.8875 train exact_match_acc: 0.1687 (K~16.00, min=16, max=16, dt=2.54s)
itr: 4250 lr: 9.771e-05 train loss: 0.351750 train token_acc: 0.9016 train exact_match_acc: 0.2173 (K~16.00, min=16, max=16, dt=2.55s)
itr: 4500 lr: 9.740e-05 train loss: 0.313647 train token_acc: 0.9138 train exact_match_acc: 0.2595 (K~16.00, min=16, max=16, dt=2.54s)
itr: 4750 lr: 9.708e-05 train loss: 0.292167 train token_acc: 0.9201 train exact_match_acc: 0.2947 (K~16.00, min=16, max=16, dt=2.55s)
itr: 5000 lr: 9.674e-05 train loss: 0.254987 train token_acc: 0.9296 train exact_match_acc: 0.3413 (K~16.00, min=16, max=16, dt=2.54s)
itr: 5250 lr: 9.638e-05 train loss: 0.236057 train token_acc: 0.9364 train exact_match_acc: 0.3787 (K~16.00, min=16, max=16, dt=2.55s)
itr: 5500 lr: 9.600e-05 train loss: 0.213917 train token_acc: 0.9431 train exact_match_acc: 0.4158 (K~16.00, min=16, max=16, dt=2.54s)
itr: 5750 lr: 9.561e-05 train loss: 0.191904 train token_acc: 0.9492 train exact_match_acc: 0.4580 (K~16.00, min=16, max=16, dt=2.55s)
itr: 6000 lr: 9.519e-05 train loss: 0.182492 train token_acc: 0.9528 train exact_match_acc: 0.4785 (K~16.00, min=16, max=16, dt=2.54s)
