training:  19%|█▉        | 7745/40000 [01:01<04:14, 126.97it/s]
itr: 0 lr: 2.494e-07 train loss: 4.867793 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.841376 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.00s)
itr: 500 lr: 1.000e-04 train loss: 4.726722 train token_acc: 0.0011 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 750 lr: 9.998e-05 train loss: 4.356492 train token_acc: 0.0224 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1000 lr: 9.994e-05 train loss: 3.793888 train token_acc: 0.0490 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1250 lr: 9.989e-05 train loss: 3.414706 train token_acc: 0.0914 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1500 lr: 9.981e-05 train loss: 3.121561 train token_acc: 0.1324 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 1750 lr: 9.972e-05 train loss: 2.905958 train token_acc: 0.1638 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2000 lr: 9.960e-05 train loss: 2.728732 train token_acc: 0.1980 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2250 lr: 9.947e-05 train loss: 2.599699 train token_acc: 0.2275 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2500 lr: 9.931e-05 train loss: 2.499233 train token_acc: 0.2549 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 2750 lr: 9.914e-05 train loss: 2.407722 train token_acc: 0.2781 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3000 lr: 9.895e-05 train loss: 2.325662 train token_acc: 0.2969 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3250 lr: 9.874e-05 train loss: 2.252437 train token_acc: 0.3197 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3500 lr: 9.851e-05 train loss: 2.185911 train token_acc: 0.3345 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 3750 lr: 9.826e-05 train loss: 2.121464 train token_acc: 0.3543 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 4000 lr: 9.799e-05 train loss: 2.069362 train token_acc: 0.3663 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 4250 lr: 9.771e-05 train loss: 2.009679 train token_acc: 0.3833 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 4500 lr: 9.740e-05 train loss: 1.960741 train token_acc: 0.3970 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 4750 lr: 9.708e-05 train loss: 1.906972 train token_acc: 0.4104 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 5000 lr: 9.674e-05 train loss: 1.880767 train token_acc: 0.4190 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 5250 lr: 9.638e-05 train loss: 1.828495 train token_acc: 0.4299 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 5500 lr: 9.600e-05 train loss: 1.798053 train token_acc: 0.4422 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 5750 lr: 9.561e-05 train loss: 1.764614 train token_acc: 0.4495 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 6000 lr: 9.519e-05 train loss: 1.742428 train token_acc: 0.4562 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 6250 lr: 9.476e-05 train loss: 1.710473 train token_acc: 0.4647 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 6500 lr: 9.432e-05 train loss: 1.670778 train token_acc: 0.4761 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 6750 lr: 9.385e-05 train loss: 1.636765 train token_acc: 0.4802 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 7000 lr: 9.337e-05 train loss: 1.622241 train token_acc: 0.4881 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 7250 lr: 9.287e-05 train loss: 1.598936 train token_acc: 0.4971 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
