training:  19%|█▉        | 7749/40000 [01:26<05:58, 90.06it/s]
itr: 0 lr: 2.494e-07 train loss: 5.200284 train token_acc: 0.0070 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 4.739021 train token_acc: 0.0331 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.82s)
itr: 500 lr: 1.000e-04 train loss: 3.400990 train token_acc: 0.2530 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.78s)
itr: 750 lr: 9.998e-05 train loss: 1.616406 train token_acc: 0.6601 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=2.78s)
itr: 1000 lr: 9.994e-05 train loss: 0.689991 train token_acc: 0.8724 train exact_match_acc: 0.1172 (K~16.00, min=16, max=16, dt=2.78s)
itr: 1250 lr: 9.989e-05 train loss: 0.304406 train token_acc: 0.9578 train exact_match_acc: 0.4856 (K~16.00, min=16, max=16, dt=2.78s)
itr: 1500 lr: 9.981e-05 train loss: 0.153864 train token_acc: 0.9801 train exact_match_acc: 0.7107 (K~16.00, min=16, max=16, dt=2.78s)
itr: 1750 lr: 9.972e-05 train loss: 0.081720 train token_acc: 0.9895 train exact_match_acc: 0.8364 (K~16.00, min=16, max=16, dt=2.78s)
itr: 2000 lr: 9.960e-05 train loss: 0.049146 train token_acc: 0.9932 train exact_match_acc: 0.8923 (K~16.00, min=16, max=16, dt=2.78s)
itr: 2250 lr: 9.947e-05 train loss: 0.032293 train token_acc: 0.9951 train exact_match_acc: 0.9221 (K~16.00, min=16, max=16, dt=2.78s)
itr: 2500 lr: 9.931e-05 train loss: 0.022629 train token_acc: 0.9963 train exact_match_acc: 0.9407 (K~16.00, min=16, max=16, dt=2.78s)
itr: 2750 lr: 9.914e-05 train loss: 0.017976 train token_acc: 0.9970 train exact_match_acc: 0.9519 (K~16.00, min=16, max=16, dt=2.78s)
itr: 3000 lr: 9.895e-05 train loss: 0.015104 train token_acc: 0.9973 train exact_match_acc: 0.9573 (K~16.00, min=16, max=16, dt=2.78s)
itr: 3250 lr: 9.874e-05 train loss: 0.011711 train token_acc: 0.9978 train exact_match_acc: 0.9651 (K~16.00, min=16, max=16, dt=2.78s)
itr: 3500 lr: 9.851e-05 train loss: 0.008765 train token_acc: 0.9983 train exact_match_acc: 0.9727 (K~16.00, min=16, max=16, dt=2.78s)
itr: 3750 lr: 9.826e-05 train loss: 0.006935 train token_acc: 0.9988 train exact_match_acc: 0.9807 (K~16.00, min=16, max=16, dt=2.78s)
itr: 4000 lr: 9.799e-05 train loss: 0.006591 train token_acc: 0.9988 train exact_match_acc: 0.9802 (K~16.00, min=16, max=16, dt=2.78s)
itr: 4250 lr: 9.771e-05 train loss: 0.004620 train token_acc: 0.9991 train exact_match_acc: 0.9858 (K~16.00, min=16, max=16, dt=2.78s)
itr: 4500 lr: 9.740e-05 train loss: 0.004716 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=2.78s)
itr: 4750 lr: 9.708e-05 train loss: 0.003299 train token_acc: 0.9993 train exact_match_acc: 0.9893 (K~16.00, min=16, max=16, dt=2.78s)
itr: 5000 lr: 9.674e-05 train loss: 0.003380 train token_acc: 0.9994 train exact_match_acc: 0.9905 (K~16.00, min=16, max=16, dt=2.78s)
itr: 5250 lr: 9.638e-05 train loss: 0.002638 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=2.78s)
itr: 5500 lr: 9.600e-05 train loss: 0.002082 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=2.78s)
itr: 5750 lr: 9.561e-05 train loss: 0.001868 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=2.78s)
itr: 6000 lr: 9.519e-05 train loss: 0.001773 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=2.78s)
itr: 6250 lr: 9.476e-05 train loss: 0.001843 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=2.78s)
itr: 6500 lr: 9.432e-05 train loss: 0.001577 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=2.78s)
itr: 6750 lr: 9.385e-05 train loss: 0.001263 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=2.78s)
itr: 7000 lr: 9.337e-05 train loss: 0.001334 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=2.78s)
itr: 7250 lr: 9.287e-05 train loss: 0.001003 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=2.78s)
itr: 7500 lr: 9.235e-05 train loss: 0.001284 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.78s)
itr: 7750 lr: 9.182e-05 train loss: 0.000828 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=2.78s)
itr: 8000 lr: 9.127e-05 train loss: 0.000572 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=2.78s)
itr: 8250 lr: 9.071e-05 train loss: 0.001083 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=2.78s)
itr: 8500 lr: 9.013e-05 train loss: 0.000554 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=2.78s)
itr: 8750 lr: 8.953e-05 train loss: 0.001086 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=2.78s)
itr: 9000 lr: 8.892e-05 train loss: 0.000488 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=2.78s)
itr: 9250 lr: 8.829e-05 train loss: 0.000561 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=2.78s)
itr: 9500 lr: 8.765e-05 train loss: 0.000554 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=2.78s)
itr: 9750 lr: 8.700e-05 train loss: 0.000529 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=2.78s)
