training:  19%|█▉        | 7742/40000 [01:07<04:39, 115.46it/s]
itr: 0 lr: 2.494e-07 train loss: 5.298489 train token_acc: 0.0012 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.969707 train token_acc: 0.0044 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.19s)
itr: 500 lr: 1.000e-04 train loss: 4.058087 train token_acc: 0.0938 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.17s)
itr: 750 lr: 9.998e-05 train loss: 2.712876 train token_acc: 0.3911 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1000 lr: 9.994e-05 train loss: 1.420078 train token_acc: 0.6984 train exact_match_acc: 0.0037 (K~16.00, min=16, max=16, dt=2.17s)
itr: 1250 lr: 9.989e-05 train loss: 0.684305 train token_acc: 0.8614 train exact_match_acc: 0.1040 (K~16.00, min=16, max=16, dt=2.17s)
itr: 1500 lr: 9.981e-05 train loss: 0.357040 train token_acc: 0.9381 train exact_match_acc: 0.3540 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1750 lr: 9.972e-05 train loss: 0.206027 train token_acc: 0.9709 train exact_match_acc: 0.6013 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2000 lr: 9.960e-05 train loss: 0.133820 train token_acc: 0.9817 train exact_match_acc: 0.7271 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2250 lr: 9.947e-05 train loss: 0.094385 train token_acc: 0.9877 train exact_match_acc: 0.8110 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2500 lr: 9.931e-05 train loss: 0.068585 train token_acc: 0.9910 train exact_match_acc: 0.8594 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2750 lr: 9.914e-05 train loss: 0.053547 train token_acc: 0.9928 train exact_match_acc: 0.8862 (K~16.00, min=16, max=16, dt=2.17s)
itr: 3000 lr: 9.895e-05 train loss: 0.047207 train token_acc: 0.9939 train exact_match_acc: 0.9026 (K~16.00, min=16, max=16, dt=2.17s)
itr: 3250 lr: 9.874e-05 train loss: 0.037475 train token_acc: 0.9955 train exact_match_acc: 0.9277 (K~16.00, min=16, max=16, dt=2.16s)
itr: 3500 lr: 9.851e-05 train loss: 0.031144 train token_acc: 0.9962 train exact_match_acc: 0.9399 (K~16.00, min=16, max=16, dt=2.17s)
itr: 3750 lr: 9.826e-05 train loss: 0.027772 train token_acc: 0.9965 train exact_match_acc: 0.9443 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4000 lr: 9.799e-05 train loss: 0.025510 train token_acc: 0.9967 train exact_match_acc: 0.9470 (K~16.00, min=16, max=16, dt=2.17s)
itr: 4250 lr: 9.771e-05 train loss: 0.021128 train token_acc: 0.9971 train exact_match_acc: 0.9536 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4500 lr: 9.740e-05 train loss: 0.019982 train token_acc: 0.9973 train exact_match_acc: 0.9570 (K~16.00, min=16, max=16, dt=2.17s)
itr: 4750 lr: 9.708e-05 train loss: 0.019887 train token_acc: 0.9973 train exact_match_acc: 0.9575 (K~16.00, min=16, max=16, dt=2.16s)
itr: 5000 lr: 9.674e-05 train loss: 0.016332 train token_acc: 0.9977 train exact_match_acc: 0.9629 (K~16.00, min=16, max=16, dt=2.17s)
itr: 5250 lr: 9.638e-05 train loss: 0.016409 train token_acc: 0.9978 train exact_match_acc: 0.9641 (K~16.00, min=16, max=16, dt=2.17s)
itr: 5500 lr: 9.600e-05 train loss: 0.012869 train token_acc: 0.9981 train exact_match_acc: 0.9700 (K~16.00, min=16, max=16, dt=2.17s)
itr: 5750 lr: 9.561e-05 train loss: 0.012835 train token_acc: 0.9981 train exact_match_acc: 0.9690 (K~16.00, min=16, max=16, dt=2.17s)
itr: 6000 lr: 9.519e-05 train loss: 0.011203 train token_acc: 0.9984 train exact_match_acc: 0.9741 (K~16.00, min=16, max=16, dt=2.17s)
itr: 6250 lr: 9.476e-05 train loss: 0.013326 train token_acc: 0.9981 train exact_match_acc: 0.9695 (K~16.00, min=16, max=16, dt=2.17s)
itr: 6500 lr: 9.432e-05 train loss: 0.011437 train token_acc: 0.9982 train exact_match_acc: 0.9719 (K~16.00, min=16, max=16, dt=2.16s)
itr: 6750 lr: 9.385e-05 train loss: 0.010662 train token_acc: 0.9981 train exact_match_acc: 0.9700 (K~16.00, min=16, max=16, dt=2.17s)
itr: 7000 lr: 9.337e-05 train loss: 0.011012 train token_acc: 0.9982 train exact_match_acc: 0.9707 (K~16.00, min=16, max=16, dt=2.17s)
