training:  19%|█▉        | 7742/40000 [01:06<04:37, 116.21it/s]
itr: 0 lr: 2.494e-07 train loss: 4.890769 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.567231 train token_acc: 0.0058 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.18s)
itr: 500 lr: 1.000e-04 train loss: 3.700151 train token_acc: 0.0838 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.15s)
itr: 750 lr: 9.998e-05 train loss: 3.034047 train token_acc: 0.3629 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.15s)
itr: 1000 lr: 9.994e-05 train loss: 2.470575 train token_acc: 0.5251 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.15s)
itr: 1250 lr: 9.989e-05 train loss: 1.847898 train token_acc: 0.6360 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1500 lr: 9.981e-05 train loss: 1.274237 train token_acc: 0.7383 train exact_match_acc: 0.0115 (K~16.00, min=16, max=16, dt=2.15s)
itr: 1750 lr: 9.972e-05 train loss: 0.898707 train token_acc: 0.7982 train exact_match_acc: 0.0437 (K~16.00, min=16, max=16, dt=2.15s)
itr: 2000 lr: 9.960e-05 train loss: 0.654548 train token_acc: 0.8441 train exact_match_acc: 0.0842 (K~16.00, min=16, max=16, dt=2.15s)
itr: 2250 lr: 9.947e-05 train loss: 0.503111 train token_acc: 0.8802 train exact_match_acc: 0.1443 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2500 lr: 9.931e-05 train loss: 0.391868 train token_acc: 0.9106 train exact_match_acc: 0.2395 (K~16.00, min=16, max=16, dt=2.15s)
itr: 2750 lr: 9.914e-05 train loss: 0.313319 train token_acc: 0.9366 train exact_match_acc: 0.3538 (K~16.00, min=16, max=16, dt=2.15s)
itr: 3000 lr: 9.895e-05 train loss: 0.260779 train token_acc: 0.9502 train exact_match_acc: 0.4348 (K~16.00, min=16, max=16, dt=2.15s)
itr: 3250 lr: 9.874e-05 train loss: 0.221847 train token_acc: 0.9618 train exact_match_acc: 0.5156 (K~16.00, min=16, max=16, dt=2.15s)
itr: 3500 lr: 9.851e-05 train loss: 0.188491 train token_acc: 0.9695 train exact_match_acc: 0.5969 (K~16.00, min=16, max=16, dt=2.15s)
itr: 3750 lr: 9.826e-05 train loss: 0.164452 train token_acc: 0.9755 train exact_match_acc: 0.6526 (K~16.00, min=16, max=16, dt=2.15s)
itr: 4000 lr: 9.799e-05 train loss: 0.143725 train token_acc: 0.9788 train exact_match_acc: 0.6956 (K~16.00, min=16, max=16, dt=2.15s)
itr: 4250 lr: 9.771e-05 train loss: 0.124739 train token_acc: 0.9823 train exact_match_acc: 0.7371 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4500 lr: 9.740e-05 train loss: 0.118395 train token_acc: 0.9837 train exact_match_acc: 0.7598 (K~16.00, min=16, max=16, dt=2.15s)
itr: 4750 lr: 9.708e-05 train loss: 0.104530 train token_acc: 0.9851 train exact_match_acc: 0.7747 (K~16.00, min=16, max=16, dt=2.15s)
itr: 5000 lr: 9.674e-05 train loss: 0.096150 train token_acc: 0.9872 train exact_match_acc: 0.8052 (K~16.00, min=16, max=16, dt=2.15s)
itr: 5250 lr: 9.638e-05 train loss: 0.085434 train token_acc: 0.9890 train exact_match_acc: 0.8296 (K~16.00, min=16, max=16, dt=2.15s)
itr: 5500 lr: 9.600e-05 train loss: 0.078047 train token_acc: 0.9901 train exact_match_acc: 0.8472 (K~16.00, min=16, max=16, dt=2.15s)
itr: 5750 lr: 9.561e-05 train loss: 0.075018 train token_acc: 0.9906 train exact_match_acc: 0.8567 (K~16.00, min=16, max=16, dt=2.15s)
itr: 6000 lr: 9.519e-05 train loss: 0.072586 train token_acc: 0.9913 train exact_match_acc: 0.8625 (K~16.00, min=16, max=16, dt=2.15s)
itr: 6250 lr: 9.476e-05 train loss: 0.064526 train token_acc: 0.9925 train exact_match_acc: 0.8833 (K~16.00, min=16, max=16, dt=2.16s)
itr: 6500 lr: 9.432e-05 train loss: 0.061104 train token_acc: 0.9930 train exact_match_acc: 0.8896 (K~16.00, min=16, max=16, dt=2.15s)
itr: 6750 lr: 9.385e-05 train loss: 0.057501 train token_acc: 0.9937 train exact_match_acc: 0.8997 (K~16.00, min=16, max=16, dt=2.15s)
itr: 7000 lr: 9.337e-05 train loss: 0.056706 train token_acc: 0.9933 train exact_match_acc: 0.8948 (K~16.00, min=16, max=16, dt=2.15s)
itr: 7250 lr: 9.287e-05 train loss: 0.051547 train token_acc: 0.9941 train exact_match_acc: 0.9060 (K~16.00, min=16, max=16, dt=2.15s)
itr: 7500 lr: 9.235e-05 train loss: 0.047874 train token_acc: 0.9953 train exact_match_acc: 0.9253 (K~16.00, min=16, max=16, dt=2.15s)
itr: 7750 lr: 9.182e-05 train loss: 0.050403 train token_acc: 0.9946 train exact_match_acc: 0.9148 (K~16.00, min=16, max=16, dt=2.15s)
