training:  19%|█▉        | 7742/40000 [01:07<04:38, 115.99it/s]
itr: 0 lr: 2.494e-07 train loss: 4.887273 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.591729 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.19s)
itr: 500 lr: 1.000e-04 train loss: 3.734965 train token_acc: 0.0698 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.16s)
itr: 750 lr: 9.998e-05 train loss: 3.055143 train token_acc: 0.3096 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1000 lr: 9.994e-05 train loss: 2.479544 train token_acc: 0.5360 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1250 lr: 9.989e-05 train loss: 1.859645 train token_acc: 0.6398 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1500 lr: 9.981e-05 train loss: 1.307162 train token_acc: 0.7344 train exact_match_acc: 0.0110 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1750 lr: 9.972e-05 train loss: 0.928681 train token_acc: 0.7914 train exact_match_acc: 0.0381 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2000 lr: 9.960e-05 train loss: 0.680159 train token_acc: 0.8420 train exact_match_acc: 0.0884 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2250 lr: 9.947e-05 train loss: 0.518800 train token_acc: 0.8778 train exact_match_acc: 0.1484 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2500 lr: 9.931e-05 train loss: 0.417120 train token_acc: 0.9056 train exact_match_acc: 0.2183 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2750 lr: 9.914e-05 train loss: 0.338533 train token_acc: 0.9278 train exact_match_acc: 0.3020 (K~16.00, min=16, max=16, dt=2.16s)
itr: 3000 lr: 9.895e-05 train loss: 0.281343 train token_acc: 0.9453 train exact_match_acc: 0.3999 (K~16.00, min=16, max=16, dt=2.16s)
itr: 3250 lr: 9.874e-05 train loss: 0.239995 train token_acc: 0.9563 train exact_match_acc: 0.4702 (K~16.00, min=16, max=16, dt=2.16s)
itr: 3500 lr: 9.851e-05 train loss: 0.209412 train token_acc: 0.9660 train exact_match_acc: 0.5615 (K~16.00, min=16, max=16, dt=2.16s)
itr: 3750 lr: 9.826e-05 train loss: 0.183038 train token_acc: 0.9714 train exact_match_acc: 0.6060 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4000 lr: 9.799e-05 train loss: 0.164389 train token_acc: 0.9759 train exact_match_acc: 0.6584 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4250 lr: 9.771e-05 train loss: 0.142572 train token_acc: 0.9789 train exact_match_acc: 0.6938 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4500 lr: 9.740e-05 train loss: 0.134118 train token_acc: 0.9801 train exact_match_acc: 0.7097 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4750 lr: 9.708e-05 train loss: 0.125140 train token_acc: 0.9827 train exact_match_acc: 0.7412 (K~16.00, min=16, max=16, dt=2.16s)
itr: 5000 lr: 9.674e-05 train loss: 0.115221 train token_acc: 0.9843 train exact_match_acc: 0.7622 (K~16.00, min=16, max=16, dt=2.16s)
itr: 5250 lr: 9.638e-05 train loss: 0.104076 train token_acc: 0.9855 train exact_match_acc: 0.7778 (K~16.00, min=16, max=16, dt=2.16s)
itr: 5500 lr: 9.600e-05 train loss: 0.098789 train token_acc: 0.9869 train exact_match_acc: 0.7993 (K~16.00, min=16, max=16, dt=2.16s)
itr: 5750 lr: 9.561e-05 train loss: 0.091928 train token_acc: 0.9876 train exact_match_acc: 0.8079 (K~16.00, min=16, max=16, dt=2.16s)
itr: 6000 lr: 9.519e-05 train loss: 0.095151 train token_acc: 0.9875 train exact_match_acc: 0.8062 (K~16.00, min=16, max=16, dt=2.16s)
itr: 6250 lr: 9.476e-05 train loss: 0.083537 train token_acc: 0.9891 train exact_match_acc: 0.8313 (K~16.00, min=16, max=16, dt=2.16s)
