training:  19%|█▉        | 7742/40000 [01:07<04:37, 116.17it/s]
itr: 0 lr: 2.494e-07 train loss: 5.321358 train token_acc: 0.0012 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.36s)
itr: 250 lr: 6.259e-05 train loss: 4.997442 train token_acc: 0.0039 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.18s)
itr: 500 lr: 1.000e-04 train loss: 4.088004 train token_acc: 0.0831 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.15s)
itr: 750 lr: 9.998e-05 train loss: 2.610454 train token_acc: 0.4284 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.15s)
itr: 1000 lr: 9.994e-05 train loss: 1.314016 train token_acc: 0.7324 train exact_match_acc: 0.0095 (K~16.00, min=16, max=16, dt=2.15s)
itr: 1250 lr: 9.989e-05 train loss: 0.644158 train token_acc: 0.8770 train exact_match_acc: 0.1353 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1500 lr: 9.981e-05 train loss: 0.338044 train token_acc: 0.9413 train exact_match_acc: 0.3748 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1750 lr: 9.972e-05 train loss: 0.204020 train token_acc: 0.9712 train exact_match_acc: 0.6069 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2000 lr: 9.960e-05 train loss: 0.127615 train token_acc: 0.9840 train exact_match_acc: 0.7559 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2250 lr: 9.947e-05 train loss: 0.095426 train token_acc: 0.9883 train exact_match_acc: 0.8162 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2500 lr: 9.931e-05 train loss: 0.071532 train token_acc: 0.9915 train exact_match_acc: 0.8652 (K~16.00, min=16, max=16, dt=2.15s)
itr: 2750 lr: 9.914e-05 train loss: 0.057697 train token_acc: 0.9926 train exact_match_acc: 0.8828 (K~16.00, min=16, max=16, dt=2.16s)
itr: 3000 lr: 9.895e-05 train loss: 0.042061 train token_acc: 0.9946 train exact_match_acc: 0.9146 (K~16.00, min=16, max=16, dt=2.15s)
itr: 3250 lr: 9.874e-05 train loss: 0.038829 train token_acc: 0.9951 train exact_match_acc: 0.9216 (K~16.00, min=16, max=16, dt=2.16s)
itr: 3500 lr: 9.851e-05 train loss: 0.033070 train token_acc: 0.9958 train exact_match_acc: 0.9333 (K~16.00, min=16, max=16, dt=2.16s)
itr: 3750 lr: 9.826e-05 train loss: 0.029965 train token_acc: 0.9960 train exact_match_acc: 0.9363 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4000 lr: 9.799e-05 train loss: 0.024647 train token_acc: 0.9963 train exact_match_acc: 0.9414 (K~16.00, min=16, max=16, dt=2.16s)
itr: 4250 lr: 9.771e-05 train loss: 0.022331 train token_acc: 0.9969 train exact_match_acc: 0.9500 (K~16.00, min=16, max=16, dt=2.15s)
