training:  19%|█▉        | 7742/40000 [01:07<04:37, 116.11it/s]
itr: 0 lr: 2.494e-07 train loss: 5.293083 train token_acc: 0.0010 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 4.966466 train token_acc: 0.0058 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.18s)
itr: 500 lr: 1.000e-04 train loss: 4.026576 train token_acc: 0.0919 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.15s)
itr: 750 lr: 9.998e-05 train loss: 2.604956 train token_acc: 0.4265 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.15s)
itr: 1000 lr: 9.994e-05 train loss: 1.323249 train token_acc: 0.7327 train exact_match_acc: 0.0098 (K~16.00, min=16, max=16, dt=2.15s)
itr: 1250 lr: 9.989e-05 train loss: 0.655026 train token_acc: 0.8708 train exact_match_acc: 0.1169 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1500 lr: 9.981e-05 train loss: 0.351954 train token_acc: 0.9410 train exact_match_acc: 0.3630 (K~16.00, min=16, max=16, dt=2.16s)
itr: 1750 lr: 9.972e-05 train loss: 0.207418 train token_acc: 0.9714 train exact_match_acc: 0.6055 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2000 lr: 9.960e-05 train loss: 0.137869 train token_acc: 0.9821 train exact_match_acc: 0.7319 (K~16.00, min=16, max=16, dt=2.16s)
itr: 2250 lr: 9.947e-05 train loss: 0.094073 train token_acc: 0.9884 train exact_match_acc: 0.8228 (K~16.00, min=16, max=16, dt=2.15s)
itr: 2500 lr: 9.931e-05 train loss: 0.076061 train token_acc: 0.9904 train exact_match_acc: 0.8501 (K~16.00, min=16, max=16, dt=2.15s)
itr: 2750 lr: 9.914e-05 train loss: 0.059735 train token_acc: 0.9922 train exact_match_acc: 0.8774 (K~16.00, min=16, max=16, dt=2.16s)
