training:  19%|█▉        | 7737/40000 [00:46<03:13, 166.78it/s]
itr: 0 lr: 2.494e-07 train loss: 4.872371 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.854164 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.52s)
itr: 500 lr: 1.000e-04 train loss: 4.770779 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 750 lr: 9.998e-05 train loss: 4.530623 train token_acc: 0.0003 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1000 lr: 9.994e-05 train loss: 4.064137 train token_acc: 0.0083 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1250 lr: 9.989e-05 train loss: 3.730815 train token_acc: 0.0217 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1500 lr: 9.981e-05 train loss: 3.506360 train token_acc: 0.0320 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1750 lr: 9.972e-05 train loss: 3.385620 train token_acc: 0.0358 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2000 lr: 9.960e-05 train loss: 3.274052 train token_acc: 0.0511 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2250 lr: 9.947e-05 train loss: 3.149718 train token_acc: 0.0814 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2500 lr: 9.931e-05 train loss: 2.977923 train token_acc: 0.1275 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2750 lr: 9.914e-05 train loss: 2.785605 train token_acc: 0.1858 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3000 lr: 9.895e-05 train loss: 2.563731 train token_acc: 0.2540 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3250 lr: 9.874e-05 train loss: 2.335027 train token_acc: 0.3291 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3500 lr: 9.851e-05 train loss: 2.115705 train token_acc: 0.3912 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3750 lr: 9.826e-05 train loss: 1.909924 train token_acc: 0.4450 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4000 lr: 9.799e-05 train loss: 1.729956 train token_acc: 0.4946 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4250 lr: 9.771e-05 train loss: 1.578178 train token_acc: 0.5321 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4500 lr: 9.740e-05 train loss: 1.454373 train token_acc: 0.5670 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4750 lr: 9.708e-05 train loss: 1.329888 train token_acc: 0.6017 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5000 lr: 9.674e-05 train loss: 1.257408 train token_acc: 0.6250 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5250 lr: 9.638e-05 train loss: 1.155048 train token_acc: 0.6535 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5500 lr: 9.600e-05 train loss: 1.087454 train token_acc: 0.6760 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5750 lr: 9.561e-05 train loss: 1.019480 train token_acc: 0.6923 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 6000 lr: 9.519e-05 train loss: 0.955807 train token_acc: 0.7141 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 6250 lr: 9.476e-05 train loss: 0.879141 train token_acc: 0.7329 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.50s)
itr: 6500 lr: 9.432e-05 train loss: 0.816009 train token_acc: 0.7527 train exact_match_acc: 0.0012 (K~16.00, min=16, max=16, dt=1.50s)
itr: 6750 lr: 9.385e-05 train loss: 0.759583 train token_acc: 0.7718 train exact_match_acc: 0.0027 (K~16.00, min=16, max=16, dt=1.50s)
itr: 7000 lr: 9.337e-05 train loss: 0.707572 train token_acc: 0.7817 train exact_match_acc: 0.0032 (K~16.00, min=16, max=16, dt=1.50s)
itr: 7250 lr: 9.287e-05 train loss: 0.650099 train token_acc: 0.8008 train exact_match_acc: 0.0085 (K~16.00, min=16, max=16, dt=1.50s)
itr: 7500 lr: 9.235e-05 train loss: 0.601668 train token_acc: 0.8180 train exact_match_acc: 0.0198 (K~16.00, min=16, max=16, dt=1.50s)
itr: 7750 lr: 9.182e-05 train loss: 0.562583 train token_acc: 0.8310 train exact_match_acc: 0.0247 (K~16.00, min=16, max=16, dt=1.50s)
itr: 8000 lr: 9.127e-05 train loss: 0.503098 train token_acc: 0.8481 train exact_match_acc: 0.0513 (K~16.00, min=16, max=16, dt=1.50s)
itr: 8250 lr: 9.071e-05 train loss: 0.456794 train token_acc: 0.8652 train exact_match_acc: 0.0857 (K~16.00, min=16, max=16, dt=1.50s)
itr: 8500 lr: 9.013e-05 train loss: 0.397465 train token_acc: 0.8851 train exact_match_acc: 0.1443 (K~16.00, min=16, max=16, dt=1.50s)
itr: 8750 lr: 8.953e-05 train loss: 0.320897 train token_acc: 0.9073 train exact_match_acc: 0.2476 (K~16.00, min=16, max=16, dt=1.50s)
itr: 9000 lr: 8.892e-05 train loss: 0.279564 train token_acc: 0.9327 train exact_match_acc: 0.3718 (K~16.00, min=16, max=16, dt=1.50s)
itr: 9250 lr: 8.829e-05 train loss: 0.224788 train token_acc: 0.9451 train exact_match_acc: 0.4365 (K~16.00, min=16, max=16, dt=1.50s)
itr: 9500 lr: 8.765e-05 train loss: 0.200637 train token_acc: 0.9518 train exact_match_acc: 0.4824 (K~16.00, min=16, max=16, dt=1.50s)
itr: 9750 lr: 8.700e-05 train loss: 0.174522 train token_acc: 0.9591 train exact_match_acc: 0.5183 (K~16.00, min=16, max=16, dt=1.50s)
itr: 10000 lr: 8.632e-05 train loss: 0.157248 train token_acc: 0.9635 train exact_match_acc: 0.5654 (K~16.00, min=16, max=16, dt=1.50s)
itr: 10250 lr: 8.564e-05 train loss: 0.154295 train token_acc: 0.9686 train exact_match_acc: 0.6177 (K~16.00, min=16, max=16, dt=1.50s)
itr: 10500 lr: 8.494e-05 train loss: 0.130743 train token_acc: 0.9721 train exact_match_acc: 0.6514 (K~16.00, min=16, max=16, dt=1.50s)
itr: 10750 lr: 8.423e-05 train loss: 0.124092 train token_acc: 0.9751 train exact_match_acc: 0.6799 (K~16.00, min=16, max=16, dt=1.50s)
itr: 11000 lr: 8.351e-05 train loss: 0.107114 train token_acc: 0.9782 train exact_match_acc: 0.7112 (K~16.00, min=16, max=16, dt=1.50s)
