training:  19%|█▉        | 7736/40000 [00:46<03:13, 166.34it/s]
itr: 0 lr: 2.494e-07 train loss: 4.870257 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.851424 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 500 lr: 1.000e-04 train loss: 4.766819 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 750 lr: 9.998e-05 train loss: 4.553647 train token_acc: 0.0008 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 1000 lr: 9.994e-05 train loss: 4.090519 train token_acc: 0.0125 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 1250 lr: 9.989e-05 train loss: 3.695899 train token_acc: 0.0204 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 1500 lr: 9.981e-05 train loss: 3.447179 train token_acc: 0.0327 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1750 lr: 9.972e-05 train loss: 3.309314 train token_acc: 0.0560 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 2000 lr: 9.960e-05 train loss: 3.172775 train token_acc: 0.0911 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 2250 lr: 9.947e-05 train loss: 2.964262 train token_acc: 0.1541 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 2500 lr: 9.931e-05 train loss: 2.779967 train token_acc: 0.2133 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2750 lr: 9.914e-05 train loss: 2.584250 train token_acc: 0.2805 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 3000 lr: 9.895e-05 train loss: 2.376108 train token_acc: 0.3365 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
itr: 3250 lr: 9.874e-05 train loss: 2.162047 train token_acc: 0.4010 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.51s)
