training:  19%|█▉        | 7737/40000 [00:46<03:12, 167.42it/s]
itr: 0 lr: 2.494e-07 train loss: 4.870577 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.851129 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.53s)
itr: 500 lr: 1.000e-04 train loss: 4.762852 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 750 lr: 9.998e-05 train loss: 4.492124 train token_acc: 0.0010 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1000 lr: 9.994e-05 train loss: 4.042877 train token_acc: 0.0057 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1250 lr: 9.989e-05 train loss: 3.722372 train token_acc: 0.0143 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1500 lr: 9.981e-05 train loss: 3.499753 train token_acc: 0.0173 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1750 lr: 9.972e-05 train loss: 3.368042 train token_acc: 0.0303 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2000 lr: 9.960e-05 train loss: 3.272040 train token_acc: 0.0465 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2250 lr: 9.947e-05 train loss: 3.151266 train token_acc: 0.0795 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2500 lr: 9.931e-05 train loss: 3.009278 train token_acc: 0.1215 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2750 lr: 9.914e-05 train loss: 2.886663 train token_acc: 0.1536 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3000 lr: 9.895e-05 train loss: 2.732797 train token_acc: 0.1960 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3250 lr: 9.874e-05 train loss: 2.558085 train token_acc: 0.2491 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3500 lr: 9.851e-05 train loss: 2.374677 train token_acc: 0.3054 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3750 lr: 9.826e-05 train loss: 2.185998 train token_acc: 0.3615 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4000 lr: 9.799e-05 train loss: 2.020759 train token_acc: 0.4120 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
