training:  19%|█▉        | 7737/40000 [00:47<03:13, 166.95it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861696 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.43s)
itr: 250 lr: 6.259e-05 train loss: 4.847498 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.58s)
itr: 500 lr: 1.000e-04 train loss: 4.799504 train token_acc: 0.0059 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 750 lr: 9.998e-05 train loss: 4.603104 train token_acc: 0.0255 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1000 lr: 9.994e-05 train loss: 4.125582 train token_acc: 0.0269 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1250 lr: 9.989e-05 train loss: 3.836081 train token_acc: 0.0368 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1500 lr: 9.981e-05 train loss: 3.617734 train token_acc: 0.0474 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1750 lr: 9.972e-05 train loss: 3.480094 train token_acc: 0.0589 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2000 lr: 9.960e-05 train loss: 3.377803 train token_acc: 0.0653 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2250 lr: 9.947e-05 train loss: 3.309489 train token_acc: 0.0720 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2500 lr: 9.931e-05 train loss: 3.230554 train token_acc: 0.0762 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2750 lr: 9.914e-05 train loss: 3.156637 train token_acc: 0.0804 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3000 lr: 9.895e-05 train loss: 3.099177 train token_acc: 0.0831 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3250 lr: 9.874e-05 train loss: 3.053608 train token_acc: 0.0913 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3500 lr: 9.851e-05 train loss: 3.002958 train token_acc: 0.0972 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3750 lr: 9.826e-05 train loss: 2.941951 train token_acc: 0.1078 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4000 lr: 9.799e-05 train loss: 2.874793 train token_acc: 0.1204 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4250 lr: 9.771e-05 train loss: 2.803551 train token_acc: 0.1352 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4500 lr: 9.740e-05 train loss: 2.739536 train token_acc: 0.1518 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4750 lr: 9.708e-05 train loss: 2.677584 train token_acc: 0.1698 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5000 lr: 9.674e-05 train loss: 2.627460 train token_acc: 0.1839 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5250 lr: 9.638e-05 train loss: 2.569120 train token_acc: 0.2000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5500 lr: 9.600e-05 train loss: 2.520408 train token_acc: 0.2144 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5750 lr: 9.561e-05 train loss: 2.470404 train token_acc: 0.2301 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
