training:  19%|█▉        | 7737/40000 [00:46<03:13, 166.71it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861164 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.848414 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.52s)
itr: 500 lr: 1.000e-04 train loss: 4.801402 train token_acc: 0.0116 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 750 lr: 9.998e-05 train loss: 4.621655 train token_acc: 0.0257 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1000 lr: 9.994e-05 train loss: 4.142085 train token_acc: 0.0287 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1250 lr: 9.989e-05 train loss: 3.823251 train token_acc: 0.0371 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1500 lr: 9.981e-05 train loss: 3.610772 train token_acc: 0.0526 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 1750 lr: 9.972e-05 train loss: 3.467711 train token_acc: 0.0628 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2000 lr: 9.960e-05 train loss: 3.379972 train token_acc: 0.0671 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2250 lr: 9.947e-05 train loss: 3.305737 train token_acc: 0.0723 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2500 lr: 9.931e-05 train loss: 3.223555 train token_acc: 0.0798 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 2750 lr: 9.914e-05 train loss: 3.158305 train token_acc: 0.0842 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3000 lr: 9.895e-05 train loss: 3.097886 train token_acc: 0.0859 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3250 lr: 9.874e-05 train loss: 3.046124 train token_acc: 0.0948 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3500 lr: 9.851e-05 train loss: 2.997546 train token_acc: 0.1031 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 3750 lr: 9.826e-05 train loss: 2.926942 train token_acc: 0.1178 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4000 lr: 9.799e-05 train loss: 2.862996 train token_acc: 0.1306 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4250 lr: 9.771e-05 train loss: 2.789395 train token_acc: 0.1418 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4500 lr: 9.740e-05 train loss: 2.721766 train token_acc: 0.1520 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 4750 lr: 9.708e-05 train loss: 2.652495 train token_acc: 0.1678 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5000 lr: 9.674e-05 train loss: 2.594877 train token_acc: 0.1869 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5250 lr: 9.638e-05 train loss: 2.529310 train token_acc: 0.2039 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5500 lr: 9.600e-05 train loss: 2.473684 train token_acc: 0.2194 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 5750 lr: 9.561e-05 train loss: 2.428208 train token_acc: 0.2332 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 6000 lr: 9.519e-05 train loss: 2.375609 train token_acc: 0.2506 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 6250 lr: 9.476e-05 train loss: 2.329969 train token_acc: 0.2643 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 6500 lr: 9.432e-05 train loss: 2.280177 train token_acc: 0.2815 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 6750 lr: 9.385e-05 train loss: 2.245528 train token_acc: 0.2954 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
itr: 7000 lr: 9.337e-05 train loss: 2.212609 train token_acc: 0.3085 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.50s)
