training:  19%|█▉        | 7743/40000 [00:55<03:50, 139.64it/s]
itr: 0 lr: 2.494e-07 train loss: 4.870119 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.830290 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 500 lr: 1.000e-04 train loss: 4.510397 train token_acc: 0.0075 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 750 lr: 9.998e-05 train loss: 3.758209 train token_acc: 0.0306 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 1000 lr: 9.994e-05 train loss: 3.225969 train token_acc: 0.0686 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 1250 lr: 9.989e-05 train loss: 2.991464 train token_acc: 0.1111 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 1500 lr: 9.981e-05 train loss: 2.794987 train token_acc: 0.1686 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 1750 lr: 9.972e-05 train loss: 2.575096 train token_acc: 0.2225 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 2000 lr: 9.960e-05 train loss: 2.336699 train token_acc: 0.2846 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 2250 lr: 9.947e-05 train loss: 2.064611 train token_acc: 0.3634 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 2500 lr: 9.931e-05 train loss: 1.758217 train token_acc: 0.4532 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 2750 lr: 9.914e-05 train loss: 1.440008 train token_acc: 0.5571 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 3000 lr: 9.895e-05 train loss: 1.149679 train token_acc: 0.6505 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=1.79s)
itr: 3250 lr: 9.874e-05 train loss: 0.901338 train token_acc: 0.7310 train exact_match_acc: 0.0071 (K~16.00, min=16, max=16, dt=1.79s)
itr: 3500 lr: 9.851e-05 train loss: 0.697086 train token_acc: 0.7966 train exact_match_acc: 0.0410 (K~16.00, min=16, max=16, dt=1.79s)
itr: 3750 lr: 9.826e-05 train loss: 0.540537 train token_acc: 0.8473 train exact_match_acc: 0.0916 (K~16.00, min=16, max=16, dt=1.79s)
itr: 4000 lr: 9.799e-05 train loss: 0.431124 train token_acc: 0.8821 train exact_match_acc: 0.1626 (K~16.00, min=16, max=16, dt=1.79s)
itr: 4250 lr: 9.771e-05 train loss: 0.330688 train token_acc: 0.9102 train exact_match_acc: 0.2551 (K~16.00, min=16, max=16, dt=1.79s)
itr: 4500 lr: 9.740e-05 train loss: 0.267074 train token_acc: 0.9286 train exact_match_acc: 0.3425 (K~16.00, min=16, max=16, dt=1.79s)
