training:  19%|█▉        | 7743/40000 [00:55<03:50, 139.97it/s]
itr: 0 lr: 2.494e-07 train loss: 4.874871 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.834736 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.81s)
itr: 500 lr: 1.000e-04 train loss: 4.539960 train token_acc: 0.0049 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 750 lr: 9.998e-05 train loss: 3.765195 train token_acc: 0.0411 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 1000 lr: 9.994e-05 train loss: 3.220519 train token_acc: 0.0705 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 1250 lr: 9.989e-05 train loss: 2.997844 train token_acc: 0.1092 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 1500 lr: 9.981e-05 train loss: 2.806318 train token_acc: 0.1697 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 1750 lr: 9.972e-05 train loss: 2.617795 train token_acc: 0.2140 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 2000 lr: 9.960e-05 train loss: 2.424575 train token_acc: 0.2714 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 2250 lr: 9.947e-05 train loss: 2.173154 train token_acc: 0.3398 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 2500 lr: 9.931e-05 train loss: 1.859755 train token_acc: 0.4285 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 2750 lr: 9.914e-05 train loss: 1.500026 train token_acc: 0.5368 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 3000 lr: 9.895e-05 train loss: 1.152211 train token_acc: 0.6500 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=1.79s)
itr: 3250 lr: 9.874e-05 train loss: 0.859068 train token_acc: 0.7462 train exact_match_acc: 0.0103 (K~16.00, min=16, max=16, dt=1.79s)
itr: 3500 lr: 9.851e-05 train loss: 0.660823 train token_acc: 0.8112 train exact_match_acc: 0.0515 (K~16.00, min=16, max=16, dt=1.79s)
itr: 3750 lr: 9.826e-05 train loss: 0.511367 train token_acc: 0.8600 train exact_match_acc: 0.1194 (K~16.00, min=16, max=16, dt=1.79s)
itr: 4000 lr: 9.799e-05 train loss: 0.399819 train token_acc: 0.8945 train exact_match_acc: 0.2021 (K~16.00, min=16, max=16, dt=1.79s)
itr: 4250 lr: 9.771e-05 train loss: 0.299328 train token_acc: 0.9233 train exact_match_acc: 0.3118 (K~16.00, min=16, max=16, dt=1.79s)
itr: 4500 lr: 9.740e-05 train loss: 0.241180 train token_acc: 0.9413 train exact_match_acc: 0.4092 (K~16.00, min=16, max=16, dt=1.79s)
itr: 4750 lr: 9.708e-05 train loss: 0.194676 train token_acc: 0.9530 train exact_match_acc: 0.4802 (K~16.00, min=16, max=16, dt=1.79s)
itr: 5000 lr: 9.674e-05 train loss: 0.164172 train token_acc: 0.9614 train exact_match_acc: 0.5422 (K~16.00, min=16, max=16, dt=1.79s)
itr: 5250 lr: 9.638e-05 train loss: 0.129860 train token_acc: 0.9706 train exact_match_acc: 0.6252 (K~16.00, min=16, max=16, dt=1.79s)
itr: 5500 lr: 9.600e-05 train loss: 0.105478 train token_acc: 0.9764 train exact_match_acc: 0.6890 (K~16.00, min=16, max=16, dt=1.79s)
itr: 5750 lr: 9.561e-05 train loss: 0.087537 train token_acc: 0.9809 train exact_match_acc: 0.7400 (K~16.00, min=16, max=16, dt=1.79s)
itr: 6000 lr: 9.519e-05 train loss: 0.075090 train token_acc: 0.9844 train exact_match_acc: 0.7786 (K~16.00, min=16, max=16, dt=1.79s)
itr: 6250 lr: 9.476e-05 train loss: 0.069845 train token_acc: 0.9858 train exact_match_acc: 0.8000 (K~16.00, min=16, max=16, dt=1.79s)
itr: 6500 lr: 9.432e-05 train loss: 0.058268 train token_acc: 0.9884 train exact_match_acc: 0.8330 (K~16.00, min=16, max=16, dt=1.79s)
itr: 6750 lr: 9.385e-05 train loss: 0.052316 train token_acc: 0.9898 train exact_match_acc: 0.8486 (K~16.00, min=16, max=16, dt=1.79s)
itr: 7000 lr: 9.337e-05 train loss: 0.049292 train token_acc: 0.9913 train exact_match_acc: 0.8687 (K~16.00, min=16, max=16, dt=1.79s)
itr: 7250 lr: 9.287e-05 train loss: 0.041224 train token_acc: 0.9921 train exact_match_acc: 0.8804 (K~16.00, min=16, max=16, dt=1.79s)
itr: 7500 lr: 9.235e-05 train loss: 0.038992 train token_acc: 0.9928 train exact_match_acc: 0.8896 (K~16.00, min=16, max=16, dt=1.79s)
itr: 7750 lr: 9.182e-05 train loss: 0.036126 train token_acc: 0.9936 train exact_match_acc: 0.9028 (K~16.00, min=16, max=16, dt=1.79s)
itr: 8000 lr: 9.127e-05 train loss: 0.032784 train token_acc: 0.9937 train exact_match_acc: 0.9016 (K~16.00, min=16, max=16, dt=1.79s)
itr: 8250 lr: 9.071e-05 train loss: 0.030747 train token_acc: 0.9948 train exact_match_acc: 0.9199 (K~16.00, min=16, max=16, dt=1.79s)
itr: 8500 lr: 9.013e-05 train loss: 0.030978 train token_acc: 0.9947 train exact_match_acc: 0.9177 (K~16.00, min=16, max=16, dt=1.79s)
itr: 8750 lr: 8.953e-05 train loss: 0.028797 train token_acc: 0.9952 train exact_match_acc: 0.9263 (K~16.00, min=16, max=16, dt=1.79s)
itr: 9000 lr: 8.892e-05 train loss: 0.023118 train token_acc: 0.9959 train exact_match_acc: 0.9343 (K~16.00, min=16, max=16, dt=1.79s)
itr: 9250 lr: 8.829e-05 train loss: 0.022972 train token_acc: 0.9958 train exact_match_acc: 0.9348 (K~16.00, min=16, max=16, dt=1.79s)
itr: 9500 lr: 8.765e-05 train loss: 0.022544 train token_acc: 0.9958 train exact_match_acc: 0.9348 (K~16.00, min=16, max=16, dt=1.79s)
itr: 9750 lr: 8.700e-05 train loss: 0.020421 train token_acc: 0.9960 train exact_match_acc: 0.9380 (K~16.00, min=16, max=16, dt=1.79s)
itr: 10000 lr: 8.632e-05 train loss: 0.019580 train token_acc: 0.9965 train exact_match_acc: 0.9451 (K~16.00, min=16, max=16, dt=1.79s)
itr: 10250 lr: 8.564e-05 train loss: 0.018614 train token_acc: 0.9966 train exact_match_acc: 0.9460 (K~16.00, min=16, max=16, dt=1.79s)
itr: 10500 lr: 8.494e-05 train loss: 0.021966 train token_acc: 0.9964 train exact_match_acc: 0.9436 (K~16.00, min=16, max=16, dt=1.79s)
itr: 10750 lr: 8.423e-05 train loss: 0.019366 train token_acc: 0.9966 train exact_match_acc: 0.9465 (K~16.00, min=16, max=16, dt=1.79s)
itr: 11000 lr: 8.351e-05 train loss: 0.015079 train token_acc: 0.9971 train exact_match_acc: 0.9534 (K~16.00, min=16, max=16, dt=1.79s)
itr: 11250 lr: 8.277e-05 train loss: 0.015374 train token_acc: 0.9969 train exact_match_acc: 0.9519 (K~16.00, min=16, max=16, dt=1.79s)
