training:  19%|█▉        | 7747/40000 [02:45<11:28, 46.86it/s]
itr: 0 lr: 2.494e-07 train loss: 4.895045 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.562053 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.37s)
itr: 500 lr: 1.000e-04 train loss: 3.489091 train token_acc: 0.0669 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 750 lr: 9.998e-05 train loss: 2.787359 train token_acc: 0.1472 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1000 lr: 9.994e-05 train loss: 2.326857 train token_acc: 0.2278 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1250 lr: 9.989e-05 train loss: 1.999200 train token_acc: 0.3269 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1500 lr: 9.981e-05 train loss: 1.745430 train token_acc: 0.4326 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1750 lr: 9.972e-05 train loss: 1.511779 train token_acc: 0.5351 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2000 lr: 9.960e-05 train loss: 1.281883 train token_acc: 0.6376 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2250 lr: 9.947e-05 train loss: 1.053500 train token_acc: 0.7317 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2500 lr: 9.931e-05 train loss: 0.829559 train token_acc: 0.8122 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2750 lr: 9.914e-05 train loss: 0.649088 train token_acc: 0.8571 train exact_match_acc: 0.0061 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3000 lr: 9.895e-05 train loss: 0.515616 train token_acc: 0.8930 train exact_match_acc: 0.0247 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3250 lr: 9.874e-05 train loss: 0.420328 train token_acc: 0.9141 train exact_match_acc: 0.0525 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3500 lr: 9.851e-05 train loss: 0.354244 train token_acc: 0.9298 train exact_match_acc: 0.0854 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3750 lr: 9.826e-05 train loss: 0.307700 train token_acc: 0.9386 train exact_match_acc: 0.1257 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4000 lr: 9.799e-05 train loss: 0.271099 train token_acc: 0.9476 train exact_match_acc: 0.1714 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4250 lr: 9.771e-05 train loss: 0.240299 train token_acc: 0.9553 train exact_match_acc: 0.2134 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4500 lr: 9.740e-05 train loss: 0.214797 train token_acc: 0.9595 train exact_match_acc: 0.2615 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4750 lr: 9.708e-05 train loss: 0.192494 train token_acc: 0.9644 train exact_match_acc: 0.3057 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5000 lr: 9.674e-05 train loss: 0.172989 train token_acc: 0.9681 train exact_match_acc: 0.3418 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5250 lr: 9.638e-05 train loss: 0.155829 train token_acc: 0.9712 train exact_match_acc: 0.3691 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5500 lr: 9.600e-05 train loss: 0.145937 train token_acc: 0.9723 train exact_match_acc: 0.3843 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5750 lr: 9.561e-05 train loss: 0.133627 train token_acc: 0.9753 train exact_match_acc: 0.4312 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6000 lr: 9.519e-05 train loss: 0.121839 train token_acc: 0.9772 train exact_match_acc: 0.4565 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6250 lr: 9.476e-05 train loss: 0.115133 train token_acc: 0.9782 train exact_match_acc: 0.4822 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6500 lr: 9.432e-05 train loss: 0.107535 train token_acc: 0.9797 train exact_match_acc: 0.5046 (K~32.00, min=32, max=32, dt=5.34s)
