training:  19%|█▉        | 7747/40000 [02:45<11:27, 46.92it/s]
itr: 0 lr: 2.494e-07 train loss: 4.886780 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.528438 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.37s)
itr: 500 lr: 1.000e-04 train loss: 3.487427 train token_acc: 0.0712 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 750 lr: 9.998e-05 train loss: 2.796081 train token_acc: 0.1421 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.33s)
itr: 1000 lr: 9.994e-05 train loss: 2.335690 train token_acc: 0.2363 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.33s)
itr: 1250 lr: 9.989e-05 train loss: 1.948417 train token_acc: 0.4122 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.33s)
itr: 1500 lr: 9.981e-05 train loss: 1.578934 train token_acc: 0.6092 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.33s)
itr: 1750 lr: 9.972e-05 train loss: 1.165527 train token_acc: 0.7771 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=5.33s)
itr: 2000 lr: 9.960e-05 train loss: 0.757484 train token_acc: 0.8839 train exact_match_acc: 0.0281 (K~32.00, min=32, max=32, dt=5.33s)
itr: 2250 lr: 9.947e-05 train loss: 0.469407 train token_acc: 0.9404 train exact_match_acc: 0.1450 (K~32.00, min=32, max=32, dt=5.33s)
itr: 2500 lr: 9.931e-05 train loss: 0.300250 train token_acc: 0.9652 train exact_match_acc: 0.3057 (K~32.00, min=32, max=32, dt=5.33s)
itr: 2750 lr: 9.914e-05 train loss: 0.207001 train token_acc: 0.9763 train exact_match_acc: 0.4370 (K~32.00, min=32, max=32, dt=5.33s)
itr: 3000 lr: 9.895e-05 train loss: 0.151399 train token_acc: 0.9826 train exact_match_acc: 0.5457 (K~32.00, min=32, max=32, dt=5.33s)
itr: 3250 lr: 9.874e-05 train loss: 0.118007 train token_acc: 0.9860 train exact_match_acc: 0.6184 (K~32.00, min=32, max=32, dt=5.33s)
itr: 3500 lr: 9.851e-05 train loss: 0.092329 train token_acc: 0.9881 train exact_match_acc: 0.6621 (K~32.00, min=32, max=32, dt=5.33s)
itr: 3750 lr: 9.826e-05 train loss: 0.074942 train token_acc: 0.9904 train exact_match_acc: 0.7183 (K~32.00, min=32, max=32, dt=5.33s)
itr: 4000 lr: 9.799e-05 train loss: 0.064177 train token_acc: 0.9916 train exact_match_acc: 0.7483 (K~32.00, min=32, max=32, dt=5.33s)
itr: 4250 lr: 9.771e-05 train loss: 0.054326 train token_acc: 0.9927 train exact_match_acc: 0.7791 (K~32.00, min=32, max=32, dt=5.33s)
itr: 4500 lr: 9.740e-05 train loss: 0.047918 train token_acc: 0.9932 train exact_match_acc: 0.7942 (K~32.00, min=32, max=32, dt=5.33s)
itr: 4750 lr: 9.708e-05 train loss: 0.044420 train token_acc: 0.9935 train exact_match_acc: 0.8032 (K~32.00, min=32, max=32, dt=5.33s)
itr: 5000 lr: 9.674e-05 train loss: 0.038972 train token_acc: 0.9940 train exact_match_acc: 0.8188 (K~32.00, min=32, max=32, dt=5.33s)
itr: 5250 lr: 9.638e-05 train loss: 0.036289 train token_acc: 0.9947 train exact_match_acc: 0.8367 (K~32.00, min=32, max=32, dt=5.33s)
itr: 5500 lr: 9.600e-05 train loss: 0.034036 train token_acc: 0.9946 train exact_match_acc: 0.8350 (K~32.00, min=32, max=32, dt=5.33s)
itr: 5750 lr: 9.561e-05 train loss: 0.031276 train token_acc: 0.9948 train exact_match_acc: 0.8376 (K~32.00, min=32, max=32, dt=5.33s)
itr: 6000 lr: 9.519e-05 train loss: 0.028074 train token_acc: 0.9953 train exact_match_acc: 0.8518 (K~32.00, min=32, max=32, dt=5.33s)
itr: 6250 lr: 9.476e-05 train loss: 0.025937 train token_acc: 0.9957 train exact_match_acc: 0.8650 (K~32.00, min=32, max=32, dt=5.33s)
itr: 6500 lr: 9.432e-05 train loss: 0.024276 train token_acc: 0.9959 train exact_match_acc: 0.8711 (K~32.00, min=32, max=32, dt=5.33s)
itr: 6750 lr: 9.385e-05 train loss: 0.022293 train token_acc: 0.9960 train exact_match_acc: 0.8755 (K~32.00, min=32, max=32, dt=5.33s)
itr: 7000 lr: 9.337e-05 train loss: 0.022240 train token_acc: 0.9961 train exact_match_acc: 0.8784 (K~32.00, min=32, max=32, dt=5.33s)
itr: 7250 lr: 9.287e-05 train loss: 0.020183 train token_acc: 0.9963 train exact_match_acc: 0.8833 (K~32.00, min=32, max=32, dt=5.33s)
itr: 7500 lr: 9.235e-05 train loss: 0.019035 train token_acc: 0.9967 train exact_match_acc: 0.8953 (K~32.00, min=32, max=32, dt=5.33s)
itr: 7750 lr: 9.182e-05 train loss: 0.018105 train token_acc: 0.9966 train exact_match_acc: 0.8923 (K~32.00, min=32, max=32, dt=5.33s)
itr: 8000 lr: 9.127e-05 train loss: 0.016104 train token_acc: 0.9970 train exact_match_acc: 0.9050 (K~32.00, min=32, max=32, dt=5.33s)
itr: 8250 lr: 9.071e-05 train loss: 0.016443 train token_acc: 0.9967 train exact_match_acc: 0.8958 (K~32.00, min=32, max=32, dt=5.33s)
itr: 8500 lr: 9.013e-05 train loss: 0.015365 train token_acc: 0.9970 train exact_match_acc: 0.9067 (K~32.00, min=32, max=32, dt=5.33s)
itr: 8750 lr: 8.953e-05 train loss: 0.015163 train token_acc: 0.9970 train exact_match_acc: 0.9058 (K~32.00, min=32, max=32, dt=5.33s)
itr: 9000 lr: 8.892e-05 train loss: 0.014013 train token_acc: 0.9971 train exact_match_acc: 0.9084 (K~32.00, min=32, max=32, dt=5.33s)
itr: 9250 lr: 8.829e-05 train loss: 0.013313 train token_acc: 0.9973 train exact_match_acc: 0.9150 (K~32.00, min=32, max=32, dt=5.33s)
itr: 9500 lr: 8.765e-05 train loss: 0.011832 train token_acc: 0.9974 train exact_match_acc: 0.9194 (K~32.00, min=32, max=32, dt=5.33s)
itr: 9750 lr: 8.700e-05 train loss: 0.012062 train token_acc: 0.9974 train exact_match_acc: 0.9170 (K~32.00, min=32, max=32, dt=5.33s)
itr: 10000 lr: 8.632e-05 train loss: 0.012501 train token_acc: 0.9974 train exact_match_acc: 0.9177 (K~32.00, min=32, max=32, dt=5.33s)
itr: 10250 lr: 8.564e-05 train loss: 0.010696 train token_acc: 0.9978 train exact_match_acc: 0.9290 (K~32.00, min=32, max=32, dt=5.33s)
itr: 10500 lr: 8.494e-05 train loss: 0.012158 train token_acc: 0.9973 train exact_match_acc: 0.9155 (K~32.00, min=32, max=32, dt=5.33s)
itr: 10750 lr: 8.423e-05 train loss: 0.010383 train token_acc: 0.9978 train exact_match_acc: 0.9287 (K~32.00, min=32, max=32, dt=5.33s)
itr: 11000 lr: 8.351e-05 train loss: 0.010757 train token_acc: 0.9978 train exact_match_acc: 0.9292 (K~32.00, min=32, max=32, dt=5.34s)
itr: 11250 lr: 8.277e-05 train loss: 0.009435 train token_acc: 0.9978 train exact_match_acc: 0.9316 (K~32.00, min=32, max=32, dt=5.34s)
itr: 11500 lr: 8.202e-05 train loss: 0.009861 train token_acc: 0.9978 train exact_match_acc: 0.9304 (K~32.00, min=32, max=32, dt=5.34s)
itr: 11750 lr: 8.125e-05 train loss: 0.009355 train token_acc: 0.9979 train exact_match_acc: 0.9341 (K~32.00, min=32, max=32, dt=5.33s)
itr: 12000 lr: 8.048e-05 train loss: 0.008816 train token_acc: 0.9979 train exact_match_acc: 0.9353 (K~32.00, min=32, max=32, dt=5.33s)
itr: 12250 lr: 7.969e-05 train loss: 0.009086 train token_acc: 0.9978 train exact_match_acc: 0.9304 (K~32.00, min=32, max=32, dt=5.33s)
itr: 12500 lr: 7.889e-05 train loss: 0.008820 train token_acc: 0.9980 train exact_match_acc: 0.9375 (K~32.00, min=32, max=32, dt=5.33s)
itr: 12750 lr: 7.808e-05 train loss: 0.007736 train token_acc: 0.9983 train exact_match_acc: 0.9451 (K~32.00, min=32, max=32, dt=5.33s)
itr: 13000 lr: 7.726e-05 train loss: 0.006982 train token_acc: 0.9984 train exact_match_acc: 0.9492 (K~32.00, min=32, max=32, dt=5.33s)
itr: 13250 lr: 7.643e-05 train loss: 0.007635 train token_acc: 0.9983 train exact_match_acc: 0.9478 (K~32.00, min=32, max=32, dt=5.33s)
itr: 13500 lr: 7.559e-05 train loss: 0.006718 train token_acc: 0.9985 train exact_match_acc: 0.9536 (K~32.00, min=32, max=32, dt=5.33s)
itr: 13750 lr: 7.474e-05 train loss: 0.007104 train token_acc: 0.9985 train exact_match_acc: 0.9512 (K~32.00, min=32, max=32, dt=5.33s)
itr: 14000 lr: 7.388e-05 train loss: 0.006446 train token_acc: 0.9985 train exact_match_acc: 0.9514 (K~32.00, min=32, max=32, dt=5.33s)
