training:  19%|█▉        | 7747/40000 [02:45<11:28, 46.83it/s]
itr: 0 lr: 2.494e-07 train loss: 4.888595 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.543345 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.37s)
itr: 500 lr: 1.000e-04 train loss: 3.475290 train token_acc: 0.0630 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 750 lr: 9.998e-05 train loss: 2.762249 train token_acc: 0.1543 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1000 lr: 9.994e-05 train loss: 2.277504 train token_acc: 0.2803 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1250 lr: 9.989e-05 train loss: 1.928125 train token_acc: 0.4144 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1500 lr: 9.981e-05 train loss: 1.633171 train token_acc: 0.5254 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1750 lr: 9.972e-05 train loss: 1.344997 train token_acc: 0.6366 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.33s)
itr: 2000 lr: 9.960e-05 train loss: 1.054939 train token_acc: 0.7527 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.33s)
itr: 2250 lr: 9.947e-05 train loss: 0.784055 train token_acc: 0.8356 train exact_match_acc: 0.0042 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2500 lr: 9.931e-05 train loss: 0.570482 train token_acc: 0.8862 train exact_match_acc: 0.0193 (K~32.00, min=32, max=32, dt=5.33s)
itr: 2750 lr: 9.914e-05 train loss: 0.426666 train token_acc: 0.9162 train exact_match_acc: 0.0608 (K~32.00, min=32, max=32, dt=5.33s)
itr: 3000 lr: 9.895e-05 train loss: 0.326096 train token_acc: 0.9369 train exact_match_acc: 0.1277 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3250 lr: 9.874e-05 train loss: 0.255964 train token_acc: 0.9501 train exact_match_acc: 0.1846 (K~32.00, min=32, max=32, dt=5.33s)
itr: 3500 lr: 9.851e-05 train loss: 0.205002 train token_acc: 0.9617 train exact_match_acc: 0.2710 (K~32.00, min=32, max=32, dt=5.33s)
itr: 3750 lr: 9.826e-05 train loss: 0.167374 train token_acc: 0.9700 train exact_match_acc: 0.3687 (K~32.00, min=32, max=32, dt=5.33s)
itr: 4000 lr: 9.799e-05 train loss: 0.141155 train token_acc: 0.9753 train exact_match_acc: 0.4370 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4250 lr: 9.771e-05 train loss: 0.120161 train token_acc: 0.9802 train exact_match_acc: 0.5168 (K~32.00, min=32, max=32, dt=5.33s)
itr: 4500 lr: 9.740e-05 train loss: 0.104003 train token_acc: 0.9832 train exact_match_acc: 0.5703 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4750 lr: 9.708e-05 train loss: 0.092531 train token_acc: 0.9838 train exact_match_acc: 0.5815 (K~32.00, min=32, max=32, dt=5.33s)
itr: 5000 lr: 9.674e-05 train loss: 0.083774 train token_acc: 0.9850 train exact_match_acc: 0.6006 (K~32.00, min=32, max=32, dt=5.33s)
itr: 5250 lr: 9.638e-05 train loss: 0.072591 train token_acc: 0.9879 train exact_match_acc: 0.6699 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5500 lr: 9.600e-05 train loss: 0.067049 train token_acc: 0.9886 train exact_match_acc: 0.6833 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5750 lr: 9.561e-05 train loss: 0.058504 train token_acc: 0.9905 train exact_match_acc: 0.7322 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6000 lr: 9.519e-05 train loss: 0.054958 train token_acc: 0.9909 train exact_match_acc: 0.7402 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6250 lr: 9.476e-05 train loss: 0.052225 train token_acc: 0.9909 train exact_match_acc: 0.7432 (K~32.00, min=32, max=32, dt=5.33s)
itr: 6500 lr: 9.432e-05 train loss: 0.047568 train token_acc: 0.9918 train exact_match_acc: 0.7629 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6750 lr: 9.385e-05 train loss: 0.044933 train token_acc: 0.9921 train exact_match_acc: 0.7686 (K~32.00, min=32, max=32, dt=5.33s)
itr: 7000 lr: 9.337e-05 train loss: 0.040677 train token_acc: 0.9929 train exact_match_acc: 0.7883 (K~32.00, min=32, max=32, dt=5.34s)
itr: 7250 lr: 9.287e-05 train loss: 0.038206 train token_acc: 0.9933 train exact_match_acc: 0.8000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 7500 lr: 9.235e-05 train loss: 0.037038 train token_acc: 0.9932 train exact_match_acc: 0.7969 (K~32.00, min=32, max=32, dt=5.34s)
itr: 7750 lr: 9.182e-05 train loss: 0.035103 train token_acc: 0.9937 train exact_match_acc: 0.8086 (K~32.00, min=32, max=32, dt=5.34s)
itr: 8000 lr: 9.127e-05 train loss: 0.032865 train token_acc: 0.9941 train exact_match_acc: 0.8225 (K~32.00, min=32, max=32, dt=5.34s)
itr: 8250 lr: 9.071e-05 train loss: 0.030560 train token_acc: 0.9943 train exact_match_acc: 0.8276 (K~32.00, min=32, max=32, dt=5.34s)
itr: 8500 lr: 9.013e-05 train loss: 0.028109 train token_acc: 0.9946 train exact_match_acc: 0.8362 (K~32.00, min=32, max=32, dt=5.34s)
itr: 8750 lr: 8.953e-05 train loss: 0.028439 train token_acc: 0.9943 train exact_match_acc: 0.8296 (K~32.00, min=32, max=32, dt=5.33s)
itr: 9000 lr: 8.892e-05 train loss: 0.026500 train token_acc: 0.9949 train exact_match_acc: 0.8459 (K~32.00, min=32, max=32, dt=5.33s)
itr: 9250 lr: 8.829e-05 train loss: 0.027782 train token_acc: 0.9943 train exact_match_acc: 0.8281 (K~32.00, min=32, max=32, dt=5.33s)
itr: 9500 lr: 8.765e-05 train loss: 0.024369 train token_acc: 0.9951 train exact_match_acc: 0.8491 (K~32.00, min=32, max=32, dt=5.33s)
itr: 9750 lr: 8.700e-05 train loss: 0.023661 train token_acc: 0.9953 train exact_match_acc: 0.8567 (K~32.00, min=32, max=32, dt=5.33s)
itr: 10000 lr: 8.632e-05 train loss: 0.023303 train token_acc: 0.9951 train exact_match_acc: 0.8501 (K~32.00, min=32, max=32, dt=5.34s)
itr: 10250 lr: 8.564e-05 train loss: 0.020935 train token_acc: 0.9956 train exact_match_acc: 0.8657 (K~32.00, min=32, max=32, dt=5.34s)
itr: 10500 lr: 8.494e-05 train loss: 0.021111 train token_acc: 0.9955 train exact_match_acc: 0.8633 (K~32.00, min=32, max=32, dt=5.33s)
itr: 10750 lr: 8.423e-05 train loss: 0.020746 train token_acc: 0.9957 train exact_match_acc: 0.8657 (K~32.00, min=32, max=32, dt=5.34s)
itr: 11000 lr: 8.351e-05 train loss: 0.019691 train token_acc: 0.9958 train exact_match_acc: 0.8718 (K~32.00, min=32, max=32, dt=5.33s)
itr: 11250 lr: 8.277e-05 train loss: 0.018006 train token_acc: 0.9961 train exact_match_acc: 0.8806 (K~32.00, min=32, max=32, dt=5.33s)
itr: 11500 lr: 8.202e-05 train loss: 0.018379 train token_acc: 0.9962 train exact_match_acc: 0.8835 (K~32.00, min=32, max=32, dt=5.33s)
itr: 11750 lr: 8.125e-05 train loss: 0.017952 train token_acc: 0.9959 train exact_match_acc: 0.8733 (K~32.00, min=32, max=32, dt=5.33s)
itr: 12000 lr: 8.048e-05 train loss: 0.016738 train token_acc: 0.9963 train exact_match_acc: 0.8855 (K~32.00, min=32, max=32, dt=5.33s)
itr: 12250 lr: 7.969e-05 train loss: 0.017327 train token_acc: 0.9962 train exact_match_acc: 0.8809 (K~32.00, min=32, max=32, dt=5.33s)
itr: 12500 lr: 7.889e-05 train loss: 0.015065 train token_acc: 0.9965 train exact_match_acc: 0.8916 (K~32.00, min=32, max=32, dt=5.33s)
itr: 12750 lr: 7.808e-05 train loss: 0.015324 train token_acc: 0.9965 train exact_match_acc: 0.8914 (K~32.00, min=32, max=32, dt=5.33s)
itr: 13000 lr: 7.726e-05 train loss: 0.015633 train token_acc: 0.9965 train exact_match_acc: 0.8918 (K~32.00, min=32, max=32, dt=5.33s)
itr: 13250 lr: 7.643e-05 train loss: 0.015202 train token_acc: 0.9963 train exact_match_acc: 0.8867 (K~32.00, min=32, max=32, dt=5.34s)
