training:  19%|█▉        | 7747/40000 [02:45<11:28, 46.85it/s]
itr: 0 lr: 2.494e-07 train loss: 5.188771 train token_acc: 0.0064 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.47s)
itr: 250 lr: 6.259e-05 train loss: 4.844871 train token_acc: 0.0095 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.37s)
itr: 500 lr: 1.000e-04 train loss: 3.861951 train token_acc: 0.0708 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 750 lr: 9.998e-05 train loss: 2.849768 train token_acc: 0.2246 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1000 lr: 9.994e-05 train loss: 2.096222 train token_acc: 0.4163 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1250 lr: 9.989e-05 train loss: 1.550673 train token_acc: 0.5656 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1500 lr: 9.981e-05 train loss: 1.155000 train token_acc: 0.6760 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1750 lr: 9.972e-05 train loss: 0.862200 train token_acc: 0.7582 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2000 lr: 9.960e-05 train loss: 0.668702 train token_acc: 0.8125 train exact_match_acc: 0.0010 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2250 lr: 9.947e-05 train loss: 0.543624 train token_acc: 0.8466 train exact_match_acc: 0.0063 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2500 lr: 9.931e-05 train loss: 0.455041 train token_acc: 0.8719 train exact_match_acc: 0.0100 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2750 lr: 9.914e-05 train loss: 0.389511 train token_acc: 0.8909 train exact_match_acc: 0.0234 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3000 lr: 9.895e-05 train loss: 0.340279 train token_acc: 0.9061 train exact_match_acc: 0.0432 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3250 lr: 9.874e-05 train loss: 0.291910 train token_acc: 0.9212 train exact_match_acc: 0.0789 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3500 lr: 9.851e-05 train loss: 0.255547 train token_acc: 0.9329 train exact_match_acc: 0.1047 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3750 lr: 9.826e-05 train loss: 0.229715 train token_acc: 0.9412 train exact_match_acc: 0.1501 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4000 lr: 9.799e-05 train loss: 0.193152 train token_acc: 0.9532 train exact_match_acc: 0.2292 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4250 lr: 9.771e-05 train loss: 0.168805 train token_acc: 0.9610 train exact_match_acc: 0.3064 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4500 lr: 9.740e-05 train loss: 0.153819 train token_acc: 0.9654 train exact_match_acc: 0.3445 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4750 lr: 9.708e-05 train loss: 0.141070 train token_acc: 0.9688 train exact_match_acc: 0.3711 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5000 lr: 9.674e-05 train loss: 0.130118 train token_acc: 0.9713 train exact_match_acc: 0.4109 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5250 lr: 9.638e-05 train loss: 0.120890 train token_acc: 0.9732 train exact_match_acc: 0.4316 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5500 lr: 9.600e-05 train loss: 0.111694 train token_acc: 0.9757 train exact_match_acc: 0.4695 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5750 lr: 9.561e-05 train loss: 0.106370 train token_acc: 0.9763 train exact_match_acc: 0.4761 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6000 lr: 9.519e-05 train loss: 0.100630 train token_acc: 0.9779 train exact_match_acc: 0.5112 (K~32.00, min=32, max=32, dt=5.34s)
