training:  19%|█▉        | 7746/40000 [02:45<11:28, 46.85it/s]
itr: 0 lr: 2.494e-07 train loss: 5.212944 train token_acc: 0.0066 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.852842 train token_acc: 0.0106 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.36s)
itr: 500 lr: 1.000e-04 train loss: 3.838690 train token_acc: 0.0751 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 750 lr: 9.998e-05 train loss: 2.804433 train token_acc: 0.2407 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1000 lr: 9.994e-05 train loss: 1.930944 train token_acc: 0.4767 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1250 lr: 9.989e-05 train loss: 1.225532 train token_acc: 0.6789 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1500 lr: 9.981e-05 train loss: 0.745161 train token_acc: 0.8143 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=5.34s)
itr: 1750 lr: 9.972e-05 train loss: 0.386258 train token_acc: 0.9131 train exact_match_acc: 0.0342 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2000 lr: 9.960e-05 train loss: 0.223256 train token_acc: 0.9510 train exact_match_acc: 0.1294 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2250 lr: 9.947e-05 train loss: 0.154853 train token_acc: 0.9651 train exact_match_acc: 0.2085 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2500 lr: 9.931e-05 train loss: 0.118097 train token_acc: 0.9737 train exact_match_acc: 0.3186 (K~32.00, min=32, max=32, dt=5.34s)
itr: 2750 lr: 9.914e-05 train loss: 0.094783 train token_acc: 0.9800 train exact_match_acc: 0.4331 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3000 lr: 9.895e-05 train loss: 0.073875 train token_acc: 0.9857 train exact_match_acc: 0.5862 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3250 lr: 9.874e-05 train loss: 0.049536 train token_acc: 0.9924 train exact_match_acc: 0.7722 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3500 lr: 9.851e-05 train loss: 0.038631 train token_acc: 0.9945 train exact_match_acc: 0.8301 (K~32.00, min=32, max=32, dt=5.34s)
itr: 3750 lr: 9.826e-05 train loss: 0.027858 train token_acc: 0.9963 train exact_match_acc: 0.8848 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4000 lr: 9.799e-05 train loss: 0.023010 train token_acc: 0.9970 train exact_match_acc: 0.9080 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4250 lr: 9.771e-05 train loss: 0.018709 train token_acc: 0.9977 train exact_match_acc: 0.9282 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4500 lr: 9.740e-05 train loss: 0.016297 train token_acc: 0.9979 train exact_match_acc: 0.9336 (K~32.00, min=32, max=32, dt=5.34s)
itr: 4750 lr: 9.708e-05 train loss: 0.013387 train token_acc: 0.9983 train exact_match_acc: 0.9468 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5000 lr: 9.674e-05 train loss: 0.013881 train token_acc: 0.9982 train exact_match_acc: 0.9426 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5250 lr: 9.638e-05 train loss: 0.011076 train token_acc: 0.9984 train exact_match_acc: 0.9509 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5500 lr: 9.600e-05 train loss: 0.009812 train token_acc: 0.9986 train exact_match_acc: 0.9575 (K~32.00, min=32, max=32, dt=5.34s)
itr: 5750 lr: 9.561e-05 train loss: 0.007655 train token_acc: 0.9989 train exact_match_acc: 0.9641 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6000 lr: 9.519e-05 train loss: 0.008507 train token_acc: 0.9987 train exact_match_acc: 0.9580 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6250 lr: 9.476e-05 train loss: 0.007575 train token_acc: 0.9988 train exact_match_acc: 0.9631 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6500 lr: 9.432e-05 train loss: 0.006748 train token_acc: 0.9990 train exact_match_acc: 0.9690 (K~32.00, min=32, max=32, dt=5.34s)
itr: 6750 lr: 9.385e-05 train loss: 0.006757 train token_acc: 0.9988 train exact_match_acc: 0.9622 (K~32.00, min=32, max=32, dt=5.34s)
itr: 7000 lr: 9.337e-05 train loss: 0.006330 train token_acc: 0.9990 train exact_match_acc: 0.9673 (K~32.00, min=32, max=32, dt=5.34s)
itr: 7250 lr: 9.287e-05 train loss: 0.005717 train token_acc: 0.9990 train exact_match_acc: 0.9688 (K~32.00, min=32, max=32, dt=5.34s)
itr: 7500 lr: 9.235e-05 train loss: 0.005400 train token_acc: 0.9990 train exact_match_acc: 0.9675 (K~32.00, min=32, max=32, dt=5.34s)
itr: 7750 lr: 9.182e-05 train loss: 0.005523 train token_acc: 0.9989 train exact_match_acc: 0.9656 (K~32.00, min=32, max=32, dt=5.34s)
itr: 8000 lr: 9.127e-05 train loss: 0.005393 train token_acc: 0.9990 train exact_match_acc: 0.9690 (K~32.00, min=32, max=32, dt=5.34s)
itr: 8250 lr: 9.071e-05 train loss: 0.005071 train token_acc: 0.9991 train exact_match_acc: 0.9714 (K~32.00, min=32, max=32, dt=5.34s)
itr: 8500 lr: 9.013e-05 train loss: 0.004686 train token_acc: 0.9991 train exact_match_acc: 0.9700 (K~32.00, min=32, max=32, dt=5.34s)
