training:  19%|█▉        | 7749/40000 [01:45<07:19, 73.43it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861428 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.847971 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.44s)
itr: 500 lr: 1.000e-04 train loss: 4.796768 train token_acc: 0.0385 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 750 lr: 9.998e-05 train loss: 4.620944 train token_acc: 0.0413 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1000 lr: 9.994e-05 train loss: 3.975814 train token_acc: 0.0377 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1250 lr: 9.989e-05 train loss: 3.104514 train token_acc: 0.0824 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1500 lr: 9.981e-05 train loss: 2.786709 train token_acc: 0.1229 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1750 lr: 9.972e-05 train loss: 2.735247 train token_acc: 0.1293 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2000 lr: 9.960e-05 train loss: 2.705983 train token_acc: 0.1347 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2250 lr: 9.947e-05 train loss: 2.697248 train token_acc: 0.1364 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2500 lr: 9.931e-05 train loss: 2.684701 train token_acc: 0.1432 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2750 lr: 9.914e-05 train loss: 2.670701 train token_acc: 0.1458 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3000 lr: 9.895e-05 train loss: 2.653994 train token_acc: 0.1489 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
