training:  19%|█▉        | 7749/40000 [01:45<07:19, 73.37it/s]
itr: 0 lr: 2.494e-07 train loss: 4.862158 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.847844 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.44s)
itr: 500 lr: 1.000e-04 train loss: 4.798767 train token_acc: 0.0519 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 750 lr: 9.998e-05 train loss: 4.647654 train token_acc: 0.0494 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1000 lr: 9.994e-05 train loss: 4.145523 train token_acc: 0.0493 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1250 lr: 9.989e-05 train loss: 3.419876 train token_acc: 0.0708 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1500 lr: 9.981e-05 train loss: 2.897741 train token_acc: 0.1094 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1750 lr: 9.972e-05 train loss: 2.733172 train token_acc: 0.1306 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2000 lr: 9.960e-05 train loss: 2.689136 train token_acc: 0.1402 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2250 lr: 9.947e-05 train loss: 2.658064 train token_acc: 0.1435 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2500 lr: 9.931e-05 train loss: 2.636332 train token_acc: 0.1481 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2750 lr: 9.914e-05 train loss: 2.625803 train token_acc: 0.1512 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3000 lr: 9.895e-05 train loss: 2.616490 train token_acc: 0.1504 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3250 lr: 9.874e-05 train loss: 2.605869 train token_acc: 0.1582 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3500 lr: 9.851e-05 train loss: 2.595913 train token_acc: 0.1572 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3750 lr: 9.826e-05 train loss: 2.583370 train token_acc: 0.1612 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4000 lr: 9.799e-05 train loss: 2.570694 train token_acc: 0.1656 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4250 lr: 9.771e-05 train loss: 2.562270 train token_acc: 0.1644 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4500 lr: 9.740e-05 train loss: 2.550436 train token_acc: 0.1629 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4750 lr: 9.708e-05 train loss: 2.538241 train token_acc: 0.1698 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5000 lr: 9.674e-05 train loss: 2.535187 train token_acc: 0.1698 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5250 lr: 9.638e-05 train loss: 2.515619 train token_acc: 0.1706 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5500 lr: 9.600e-05 train loss: 2.508807 train token_acc: 0.1733 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5750 lr: 9.561e-05 train loss: 2.497987 train token_acc: 0.1765 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6000 lr: 9.519e-05 train loss: 2.494546 train token_acc: 0.1742 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6250 lr: 9.476e-05 train loss: 2.483858 train token_acc: 0.1769 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6500 lr: 9.432e-05 train loss: 2.471910 train token_acc: 0.1785 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6750 lr: 9.385e-05 train loss: 2.471104 train token_acc: 0.1786 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7000 lr: 9.337e-05 train loss: 2.459445 train token_acc: 0.1806 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7250 lr: 9.287e-05 train loss: 2.455738 train token_acc: 0.1829 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7500 lr: 9.235e-05 train loss: 2.447286 train token_acc: 0.1848 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7750 lr: 9.182e-05 train loss: 2.439610 train token_acc: 0.1833 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 8000 lr: 9.127e-05 train loss: 2.432727 train token_acc: 0.1840 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 8250 lr: 9.071e-05 train loss: 2.425299 train token_acc: 0.1875 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 8500 lr: 9.013e-05 train loss: 2.418634 train token_acc: 0.1889 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 8750 lr: 8.953e-05 train loss: 2.413952 train token_acc: 0.1898 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 9000 lr: 8.892e-05 train loss: 2.408315 train token_acc: 0.1905 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 9250 lr: 8.829e-05 train loss: 2.402772 train token_acc: 0.1924 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 9500 lr: 8.765e-05 train loss: 2.395871 train token_acc: 0.1934 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 9750 lr: 8.700e-05 train loss: 2.390975 train token_acc: 0.1954 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 10000 lr: 8.632e-05 train loss: 2.385005 train token_acc: 0.1955 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 10250 lr: 8.564e-05 train loss: 2.379456 train token_acc: 0.1963 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 10500 lr: 8.494e-05 train loss: 2.375494 train token_acc: 0.1990 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 10750 lr: 8.423e-05 train loss: 2.374259 train token_acc: 0.2014 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 11000 lr: 8.351e-05 train loss: 2.363266 train token_acc: 0.2003 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 11250 lr: 8.277e-05 train loss: 2.361635 train token_acc: 0.2009 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 11500 lr: 8.202e-05 train loss: 2.360327 train token_acc: 0.2025 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 11750 lr: 8.125e-05 train loss: 2.348497 train token_acc: 0.2039 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 12000 lr: 8.048e-05 train loss: 2.347347 train token_acc: 0.2041 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 12250 lr: 7.969e-05 train loss: 2.340712 train token_acc: 0.2070 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 12500 lr: 7.889e-05 train loss: 2.331875 train token_acc: 0.2110 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 12750 lr: 7.808e-05 train loss: 2.324371 train token_acc: 0.2144 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
