training:  19%|█▉        | 7748/40000 [02:17<09:30, 56.55it/s]
itr: 0 lr: 2.494e-07 train loss: 4.869268 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.776537 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.46s)
itr: 500 lr: 1.000e-04 train loss: 3.815772 train token_acc: 0.0640 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 750 lr: 9.998e-05 train loss: 2.471584 train token_acc: 0.1755 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 1000 lr: 9.994e-05 train loss: 2.278077 train token_acc: 0.2256 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 1250 lr: 9.989e-05 train loss: 2.184227 train token_acc: 0.2535 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 1500 lr: 9.981e-05 train loss: 2.089312 train token_acc: 0.2880 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 1750 lr: 9.972e-05 train loss: 1.983372 train token_acc: 0.3239 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 2000 lr: 9.960e-05 train loss: 1.846711 train token_acc: 0.3706 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 2250 lr: 9.947e-05 train loss: 1.689445 train token_acc: 0.4242 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 2500 lr: 9.931e-05 train loss: 1.506001 train token_acc: 0.4926 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 2750 lr: 9.914e-05 train loss: 1.294981 train token_acc: 0.5675 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 3000 lr: 9.895e-05 train loss: 1.061020 train token_acc: 0.6501 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 3250 lr: 9.874e-05 train loss: 0.822734 train token_acc: 0.7374 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.42s)
itr: 3500 lr: 9.851e-05 train loss: 0.595233 train token_acc: 0.8188 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=4.42s)
itr: 3750 lr: 9.826e-05 train loss: 0.420582 train token_acc: 0.8795 train exact_match_acc: 0.0146 (K~32.00, min=32, max=32, dt=4.42s)
itr: 4000 lr: 9.799e-05 train loss: 0.311587 train token_acc: 0.9176 train exact_match_acc: 0.0566 (K~32.00, min=32, max=32, dt=4.42s)
itr: 4250 lr: 9.771e-05 train loss: 0.243909 train token_acc: 0.9381 train exact_match_acc: 0.1118 (K~32.00, min=32, max=32, dt=4.42s)
itr: 4500 lr: 9.740e-05 train loss: 0.187989 train token_acc: 0.9542 train exact_match_acc: 0.2075 (K~32.00, min=32, max=32, dt=4.42s)
itr: 4750 lr: 9.708e-05 train loss: 0.149887 train token_acc: 0.9660 train exact_match_acc: 0.3176 (K~32.00, min=32, max=32, dt=4.42s)
itr: 5000 lr: 9.674e-05 train loss: 0.113447 train token_acc: 0.9766 train exact_match_acc: 0.4575 (K~32.00, min=32, max=32, dt=4.42s)
itr: 5250 lr: 9.638e-05 train loss: 0.091647 train token_acc: 0.9811 train exact_match_acc: 0.5356 (K~32.00, min=32, max=32, dt=4.42s)
itr: 5500 lr: 9.600e-05 train loss: 0.076560 train token_acc: 0.9850 train exact_match_acc: 0.6060 (K~32.00, min=32, max=32, dt=4.42s)
itr: 5750 lr: 9.561e-05 train loss: 0.065853 train token_acc: 0.9875 train exact_match_acc: 0.6594 (K~32.00, min=32, max=32, dt=4.42s)
itr: 6000 lr: 9.519e-05 train loss: 0.053878 train token_acc: 0.9888 train exact_match_acc: 0.6929 (K~32.00, min=32, max=32, dt=4.42s)
itr: 6250 lr: 9.476e-05 train loss: 0.049415 train token_acc: 0.9904 train exact_match_acc: 0.7351 (K~32.00, min=32, max=32, dt=4.42s)
itr: 6500 lr: 9.432e-05 train loss: 0.041588 train token_acc: 0.9921 train exact_match_acc: 0.7734 (K~32.00, min=32, max=32, dt=4.42s)
itr: 6750 lr: 9.385e-05 train loss: 0.034408 train token_acc: 0.9937 train exact_match_acc: 0.8154 (K~32.00, min=32, max=32, dt=4.42s)
itr: 7000 lr: 9.337e-05 train loss: 0.030514 train token_acc: 0.9943 train exact_match_acc: 0.8296 (K~32.00, min=32, max=32, dt=4.42s)
itr: 7250 lr: 9.287e-05 train loss: 0.025411 train token_acc: 0.9951 train exact_match_acc: 0.8525 (K~32.00, min=32, max=32, dt=4.42s)
itr: 7500 lr: 9.235e-05 train loss: 0.024318 train token_acc: 0.9958 train exact_match_acc: 0.8723 (K~32.00, min=32, max=32, dt=4.42s)
itr: 7750 lr: 9.182e-05 train loss: 0.019924 train token_acc: 0.9964 train exact_match_acc: 0.8899 (K~32.00, min=32, max=32, dt=4.42s)
itr: 8000 lr: 9.127e-05 train loss: 0.017973 train token_acc: 0.9967 train exact_match_acc: 0.8992 (K~32.00, min=32, max=32, dt=4.42s)
itr: 8250 lr: 9.071e-05 train loss: 0.015894 train token_acc: 0.9971 train exact_match_acc: 0.9082 (K~32.00, min=32, max=32, dt=4.42s)
itr: 8500 lr: 9.013e-05 train loss: 0.013686 train token_acc: 0.9974 train exact_match_acc: 0.9211 (K~32.00, min=32, max=32, dt=4.42s)
itr: 8750 lr: 8.953e-05 train loss: 0.012471 train token_acc: 0.9977 train exact_match_acc: 0.9297 (K~32.00, min=32, max=32, dt=4.42s)
itr: 9000 lr: 8.892e-05 train loss: 0.010986 train token_acc: 0.9979 train exact_match_acc: 0.9346 (K~32.00, min=32, max=32, dt=4.42s)
itr: 9250 lr: 8.829e-05 train loss: 0.011845 train token_acc: 0.9980 train exact_match_acc: 0.9392 (K~32.00, min=32, max=32, dt=4.42s)
itr: 9500 lr: 8.765e-05 train loss: 0.008517 train token_acc: 0.9984 train exact_match_acc: 0.9497 (K~32.00, min=32, max=32, dt=4.42s)
itr: 9750 lr: 8.700e-05 train loss: 0.007300 train token_acc: 0.9986 train exact_match_acc: 0.9548 (K~32.00, min=32, max=32, dt=4.42s)
itr: 10000 lr: 8.632e-05 train loss: 0.007862 train token_acc: 0.9986 train exact_match_acc: 0.9546 (K~32.00, min=32, max=32, dt=4.42s)
itr: 10250 lr: 8.564e-05 train loss: 0.006806 train token_acc: 0.9987 train exact_match_acc: 0.9607 (K~32.00, min=32, max=32, dt=4.42s)
itr: 10500 lr: 8.494e-05 train loss: 0.005925 train token_acc: 0.9989 train exact_match_acc: 0.9639 (K~32.00, min=32, max=32, dt=4.42s)
itr: 10750 lr: 8.423e-05 train loss: 0.006782 train token_acc: 0.9988 train exact_match_acc: 0.9624 (K~32.00, min=32, max=32, dt=4.42s)
itr: 11000 lr: 8.351e-05 train loss: 0.006324 train token_acc: 0.9988 train exact_match_acc: 0.9622 (K~32.00, min=32, max=32, dt=4.42s)
itr: 11250 lr: 8.277e-05 train loss: 0.005740 train token_acc: 0.9989 train exact_match_acc: 0.9668 (K~32.00, min=32, max=32, dt=4.42s)
itr: 11500 lr: 8.202e-05 train loss: 0.006156 train token_acc: 0.9989 train exact_match_acc: 0.9644 (K~32.00, min=32, max=32, dt=4.42s)
itr: 11750 lr: 8.125e-05 train loss: 0.004814 train token_acc: 0.9991 train exact_match_acc: 0.9719 (K~32.00, min=32, max=32, dt=4.42s)
itr: 12000 lr: 8.048e-05 train loss: 0.004139 train token_acc: 0.9992 train exact_match_acc: 0.9741 (K~32.00, min=32, max=32, dt=4.42s)
itr: 12250 lr: 7.969e-05 train loss: 0.004765 train token_acc: 0.9990 train exact_match_acc: 0.9680 (K~32.00, min=32, max=32, dt=4.42s)
itr: 12500 lr: 7.889e-05 train loss: 0.005029 train token_acc: 0.9991 train exact_match_acc: 0.9705 (K~32.00, min=32, max=32, dt=4.42s)
itr: 12750 lr: 7.808e-05 train loss: 0.003900 train token_acc: 0.9993 train exact_match_acc: 0.9763 (K~32.00, min=32, max=32, dt=4.42s)
itr: 13000 lr: 7.726e-05 train loss: 0.003732 train token_acc: 0.9992 train exact_match_acc: 0.9744 (K~32.00, min=32, max=32, dt=4.42s)
itr: 13250 lr: 7.643e-05 train loss: 0.004080 train token_acc: 0.9992 train exact_match_acc: 0.9763 (K~32.00, min=32, max=32, dt=4.42s)
itr: 13500 lr: 7.559e-05 train loss: 0.003342 train token_acc: 0.9995 train exact_match_acc: 0.9827 (K~32.00, min=32, max=32, dt=4.42s)
itr: 13750 lr: 7.474e-05 train loss: 0.002493 train token_acc: 0.9994 train exact_match_acc: 0.9822 (K~32.00, min=32, max=32, dt=4.42s)
itr: 14000 lr: 7.388e-05 train loss: 0.002815 train token_acc: 0.9994 train exact_match_acc: 0.9819 (K~32.00, min=32, max=32, dt=4.42s)
itr: 14250 lr: 7.301e-05 train loss: 0.002482 train token_acc: 0.9995 train exact_match_acc: 0.9841 (K~32.00, min=32, max=32, dt=4.42s)
itr: 14500 lr: 7.213e-05 train loss: 0.002951 train token_acc: 0.9995 train exact_match_acc: 0.9827 (K~32.00, min=32, max=32, dt=4.42s)
itr: 14750 lr: 7.124e-05 train loss: 0.002271 train token_acc: 0.9996 train exact_match_acc: 0.9873 (K~32.00, min=32, max=32, dt=4.42s)
itr: 15000 lr: 7.035e-05 train loss: 0.002141 train token_acc: 0.9996 train exact_match_acc: 0.9873 (K~32.00, min=32, max=32, dt=4.42s)
itr: 15250 lr: 6.944e-05 train loss: 0.002171 train token_acc: 0.9995 train exact_match_acc: 0.9858 (K~32.00, min=32, max=32, dt=4.42s)
itr: 15500 lr: 6.853e-05 train loss: 0.001576 train token_acc: 0.9996 train exact_match_acc: 0.9885 (K~32.00, min=32, max=32, dt=4.42s)
itr: 15750 lr: 6.761e-05 train loss: 0.002720 train token_acc: 0.9996 train exact_match_acc: 0.9871 (K~32.00, min=32, max=32, dt=4.42s)
itr: 16000 lr: 6.669e-05 train loss: 0.002148 train token_acc: 0.9996 train exact_match_acc: 0.9878 (K~32.00, min=32, max=32, dt=4.42s)
