training:  19%|█▉        | 7749/40000 [01:46<07:18, 73.47it/s]
itr: 0 lr: 2.494e-07 train loss: 4.868009 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1.49s)
itr: 250 lr: 6.259e-05 train loss: 4.840046 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.46s)
itr: 500 lr: 1.000e-04 train loss: 4.728102 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 750 lr: 9.998e-05 train loss: 4.474165 train token_acc: 0.0061 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1000 lr: 9.994e-05 train loss: 3.832149 train token_acc: 0.0261 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1250 lr: 9.989e-05 train loss: 3.146639 train token_acc: 0.0345 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1500 lr: 9.981e-05 train loss: 2.775728 train token_acc: 0.0608 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1750 lr: 9.972e-05 train loss: 2.629551 train token_acc: 0.0953 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2000 lr: 9.960e-05 train loss: 2.552769 train token_acc: 0.1215 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2250 lr: 9.947e-05 train loss: 2.495731 train token_acc: 0.1452 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2500 lr: 9.931e-05 train loss: 2.450876 train token_acc: 0.1637 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2750 lr: 9.914e-05 train loss: 2.400789 train token_acc: 0.1813 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.40s)
itr: 3000 lr: 9.895e-05 train loss: 2.340821 train token_acc: 0.2011 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3250 lr: 9.874e-05 train loss: 2.289184 train token_acc: 0.2215 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3500 lr: 9.851e-05 train loss: 2.233032 train token_acc: 0.2372 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3750 lr: 9.826e-05 train loss: 2.183904 train token_acc: 0.2575 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4000 lr: 9.799e-05 train loss: 2.133350 train token_acc: 0.2709 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4250 lr: 9.771e-05 train loss: 2.081557 train token_acc: 0.2891 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4500 lr: 9.740e-05 train loss: 2.033945 train token_acc: 0.3074 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4750 lr: 9.708e-05 train loss: 1.981798 train token_acc: 0.3278 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5000 lr: 9.674e-05 train loss: 1.928688 train token_acc: 0.3451 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5250 lr: 9.638e-05 train loss: 1.876180 train token_acc: 0.3662 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5500 lr: 9.600e-05 train loss: 1.830804 train token_acc: 0.3833 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5750 lr: 9.561e-05 train loss: 1.777269 train token_acc: 0.4023 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6000 lr: 9.519e-05 train loss: 1.735171 train token_acc: 0.4186 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6250 lr: 9.476e-05 train loss: 1.683972 train token_acc: 0.4377 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6500 lr: 9.432e-05 train loss: 1.637854 train token_acc: 0.4502 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6750 lr: 9.385e-05 train loss: 1.603594 train token_acc: 0.4632 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7000 lr: 9.337e-05 train loss: 1.567562 train token_acc: 0.4789 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7250 lr: 9.287e-05 train loss: 1.527380 train token_acc: 0.4923 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7500 lr: 9.235e-05 train loss: 1.491391 train token_acc: 0.5067 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7750 lr: 9.182e-05 train loss: 1.458257 train token_acc: 0.5179 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 8000 lr: 9.127e-05 train loss: 1.424010 train token_acc: 0.5314 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 8250 lr: 9.071e-05 train loss: 1.391843 train token_acc: 0.5442 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 8500 lr: 9.013e-05 train loss: 1.355770 train token_acc: 0.5563 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 8750 lr: 8.953e-05 train loss: 1.330444 train token_acc: 0.5643 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 9000 lr: 8.892e-05 train loss: 1.301890 train token_acc: 0.5749 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 9250 lr: 8.829e-05 train loss: 1.270682 train token_acc: 0.5827 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 9500 lr: 8.765e-05 train loss: 1.245786 train token_acc: 0.5904 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 9750 lr: 8.700e-05 train loss: 1.222138 train token_acc: 0.5996 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 10000 lr: 8.632e-05 train loss: 1.196978 train token_acc: 0.6068 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 10250 lr: 8.564e-05 train loss: 1.170408 train token_acc: 0.6165 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 10500 lr: 8.494e-05 train loss: 1.150137 train token_acc: 0.6245 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 10750 lr: 8.423e-05 train loss: 1.130527 train token_acc: 0.6315 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 11000 lr: 8.351e-05 train loss: 1.110076 train token_acc: 0.6410 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 11250 lr: 8.277e-05 train loss: 1.094068 train token_acc: 0.6441 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 11500 lr: 8.202e-05 train loss: 1.072153 train token_acc: 0.6496 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 11750 lr: 8.125e-05 train loss: 1.052025 train token_acc: 0.6578 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 12000 lr: 8.048e-05 train loss: 1.031446 train token_acc: 0.6660 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 12250 lr: 7.969e-05 train loss: 1.018616 train token_acc: 0.6699 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 12500 lr: 7.889e-05 train loss: 0.998847 train token_acc: 0.6764 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
